Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
CM_017_ICR-1,362,0.600000000000016,0.0848958162736992,1
CM_017_ICR-2,23,0.600000000000016,0.299907808138749,1
CM_017_ICR-3,66,0.600000000000016,0.349028747841683,1
CM_018_ICR-1,62,0.600000000000016,0.382666477283726,1
CM_018_ICR-2,188,0.600000000000016,0.0926564710412092,1
CM_018_ICR-3,181,0.600000000000016,0.102600987226137,1
CM_020_ICR-1,416,0.600000000000016,0.087143956575967,1
CM_020_ICR-2,27,0.600000000000016,0.259682891457796,1
CM_020_ICR-3,53,0.600000000000016,0.178235987203342,1
CM_021_ICR-1,303,0.600000000000016,0.0932678243543765,1
CM_021_ICR-2,26,0.600000000000016,0.288238264620859,1
CM_021_ICR-3,260,0.600000000000016,0.0803890416107925,1
CM_022_ICR-1,23,0.600000000000016,0.212110990827648,1
CM_022_ICR-2,28,0.600000000000016,0.265113673159546,1
CM_022_ICR-3,104,0.600000000000016,0.328778785260947,1
CM_023_ICR-1,291,0.600000000000016,0.107576815416532,1
CM_023_ICR-2,85,0.600000000000016,0.348747239477537,1
CM_023_ICR-3,6,4.9,3.11653151541746,1
CM_024_ICR-1,44,0.600000000000016,0.311775455399795,1
CM_024_ICR-2,154,0.600000000000016,0.267345860027512,1
CM_024_ICR-3,447,0.600000000000016,0.104156714345496,1
CM_025_ICR-1,425,0.600000000000016,0.109397745056387,1
CM_025_ICR-2,55,0.600000000000016,0.282428591109909,1
CM_025_ICR-3,84,0.600000000000016,0.365245435158773,1
CM_026_ICR-1,420,0.600000000000016,0.207680272928761,1
CM_026_ICR-2,84,0.600000000000016,0.305955174612365,1
CM_026_ICR-3,28,0.600000000000016,0.208813889510649,1
CM_027_ICR-1,64,0.600000000000016,0.333300545127667,1
CM_027_ICR-2,187,0.600000000000016,0.130996062072209,1
CM_027_ICR-3,123,0.600000000000016,0.17815996101126,1
CM_028_ICR-1,82,0.600000000000016,0.317526247730051,1
CM_028_ICR-2,23,0.600000000000016,0.325503009227132,1
CM_028_ICR-3,91,0.600000000000016,0.331923553725028,1
CM_029_ICR-1,29,0.600000000000016,0.270620126858082,1
CM_029_ICR-2,16,0.600000000000016,0.176566661403626,1
CM_029_ICR-3,11,0.600000000000016,0.197496428754307,1
CM_030_ICR-1,386,0.600000000000016,0.0734378650014785,1
CM_030_ICR-2,15,0.600000000000016,0.158868085307707,1
CM_030_ICR-3,37,0.600000000000016,0.223077029876727,1
CM_032_ICR-1,6,0.600000000000016,0.282604265449705,1
CM_032_ICR-2,43,0.600000000000016,0.33963834960668,1
CM_032_ICR-3,136,0.600000000000016,0.129236397623663,1
CM_033_ICR-1,215,0.600000000000016,0.170234724337008,1
CM_033_ICR-2,49,0.600000000000016,0.276071533923879,1
CM_034_ICR-1,16,0.600000000000016,0.143515173922937,1
CM_034_ICR-2,25,0.600000000000016,0.289789206185994,1
CM_034_ICR-3,22,0.600000000000016,0.234353530879905,1
