COMID,StreamOrde,TotDASqKM,logQ_m3_div_s,logDA_km2,logw_m,length_m,logwbkf_m,logd_m,logdbkf_m,logSlope,logK_m_div_s,D50_m,pred_annual_DOC,pred_annual_DO,no3_conc_mg_l,logRT_total_hz_s,logq_hz_total_m_s,totco2g_m2_day,totco2_o2g_m2_day,totco2_ang_m2_day
23099498,3,123.6267,-1.457344404,2.092112277,0.969561295,1091,1.140046326,-0.618186538,-0.136435875,-1.848054027,-3.991229124,0.000179861,0.879394518,10.42406241,1.65794139,6.974517985,-6.6712128,0.007096178,0.007068468,2.77E-05
23099500,3,121.0185,-1.466247842,2.082851766,0.964686665,980,1.135763898,-0.621802614,-0.139163594,-1.844788195,-4.002997835,0.000176877,0.836073967,10.44545234,1.682054793,6.973724088,-6.690156995,0.006940132,0.006913816,2.63E-05
23099502,2,102.4425,-1.535117887,2.010480168,0.92659106,3831,1.1022964,-0.650062526,-0.160480927,-1.819136107,-4.018709751,0.000172971,0.781818182,10.53448544,1.73896797,6.936993411,-6.706416487,0.005177049,0.005158363,1.87E-05
23099504,2,96.0075,-1.561631336,1.982305161,0.911760048,1197,1.089267159,-0.6610644,-0.168779984,-1.711297931,-3.765187466,0.000248009,0.781818182,10.50618678,1.745107621,6.583779463,-6.372224625,0.012806023,0.012759504,4.65E-05
23099506,2,92.8314,-1.575289521,1.9676949,0.904069369,1796,1.082510795,-0.666769465,-0.173083492,-1.730559911,-3.800982159,0.000235707,0.781818182,10.51130765,1.677532703,6.639016229,-6.407823243,0.011480805,0.01143915,4.17E-05
23099508,2,87.9426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099510,2,81.7722,-1.628877019,1.912605682,0.875071017,1374,1.057035355,-0.688280893,-0.189310233,-1.742660355,-3.846021811,0.000221091,0.781818182,10.51342255,1.593758285,6.675478916,-6.450261269,0.011726775,0.011684386,4.24E-05
23099512,2,76.5144,-1.65586051,1.883743177,0.859878114,273,1.043688188,-0.699551224,-0.197811795,-1.418295021,-3.15776088,0.000588061,0.781818182,10.48489661,1.507194902,5.680379397,-5.572822356,0.083915973,0.083612535,0.000303438
23099514,2,74.979,-1.664293678,1.874939644,0.855244032,827,1.039617085,-0.702988858,-0.20040491,-1.470192497,-3.256669007,0.000510938,0.781818182,10.49185916,1.486364634,5.774586461,-5.732382468,0.05742835,0.057220889,0.000207461
23099516,2,70.9866,-1.687018492,1.851176376,0.842735311,2324,1.028628007,-0.712268021,-0.207404472,-1.717193515,-3.78937734,0.000239627,0.781818182,10.50383334,1.417528816,6.569714072,-6.374070507,0.011969576,0.011926232,4.33E-05
23099518,2,61.9497,-1.742454253,1.792039208,0.811606163,1074,1.001280634,-0.735360107,-0.224823552,-1.611709591,-3.608093936,0.000310055,0.781818182,10.47550532,1.369961735,6.248831155,-6.160836317,0.023022082,0.022938576,8.35E-05
23099520,2,58.3632,-1.766918174,1.766139096,0.797972631,147,0.989303395,-0.745473672,-0.23245253,-1.422242649,-3.231679782,0.000529412,0.781818182,10.50137731,1.350749261,5.711980677,-5.656926366,0.069185001,0.068936255,0.000248747
23099522,2,55.9485,-1.783032128,1.747788447,0.788313054,1216,0.980817327,-0.752639297,-0.237857784,-1.490541145,-3.381450922,0.0004279,0.781818182,10.47617301,1.350550403,5.913788467,-5.849090126,0.046004414,0.045838032,0.000166382
23099524,2,50.7231,-1.826144495,1.705205788,0.765898014,767,0.961125416,-0.769267121,-0.25040067,-1.837131336,-4.193199564,0.000134978,0.781818182,10.46276761,1.356926334,7.045006415,-6.821598658,0.004537696,0.004521126,1.66E-05
23099526,2,47.3274,-1.854228164,1.675112647,0.750057319,671,0.947209154,-0.781017995,-0.259264721,-1.74754141,-4.022598349,0.000172017,0.781818182,10.44359654,1.367666255,6.742869134,-6.680893941,0.006762104,0.006737368,2.47E-05
23099528,2,44.6814,-1.879569196,1.650126772,0.736905032,522,0.935654694,-0.790774565,-0.266624406,-1.677860126,-3.898505192,0.000205198,0.781818182,10.46003065,1.377480101,6.549642679,-6.5172693,0.009338759,0.009304687,3.41E-05
23099530,2,42.2055,-1.904502436,1.62536905,0.723872842,1620,0.924205741,-0.800442047,-0.273916889,-1.655632095,-3.877966072,0.000211277,0.781818182,10.4619844,1.384336279,6.521592841,-6.454816632,0.01030151,0.010263907,3.76E-05
23099532,2,36.1368,-1.97161376,1.557949692,0.68838404,165,0.893028355,-0.82676819,-0.29377552,-1.338388139,-3.250396311,0.000515514,0.781818182,10.53799528,1.40380549,5.534957189,-5.70333481,0.063987539,0.0637588,0.000228739
23099534,2,33.966,-1.99895185,1.531044405,0.674221396,613,0.880586283,-0.837274259,-0.301700576,-1.511918801,-3.65025656,0.00029202,0.781818182,10.51981508,1.409425337,6.099007784,-6.198527686,0.01850113,0.018434643,6.65E-05
23099536,2,31.9428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099538,2,27.1926,-2.094636774,1.434450734,0.62337556,2162,0.835917538,-0.87499249,-0.330152613,-1.559536613,-3.841687575,0.000222457,0.781818182,10.48454415,1.426695586,6.314478703,-6.405496956,0.01216116,0.012117022,4.41E-05
23099540,2,18.7731,-2.253488884,1.273535994,0.538671826,182,0.761504178,-0.937827034,-0.377550669,-1.217102319,-3.293738509,0.000484714,0.781818182,10.44787377,1.469461457,5.40451719,-5.683128433,0.071881991,0.071619378,0.000262613
23099542,2,16.866,-2.29998185,1.227012096,0.514182163,1949,0.739989682,-0.955993846,-0.391254463,-1.446205418,-3.788551591,0.000239909,0.781818182,10.45760085,1.460149134,6.072968129,-6.334231449,0.015751683,0.015694311,5.74E-05
23099544,2,8.0352,-2.623675828,0.904996691,0.344676828,407,0.591076983,-1.081735535,-0.589944928,-1.416191601,-4.130399287,0.00014758,0.781818182,10.57511594,1.491899491,6.211973728,-6.670602121,0.007411468,0.007385082,2.64E-05
23099546,1,4.4307,-2.875857251,0.646472345,0.208592483,3590,0.47152507,-1.182685015,-0.657640846,-1.143106121,-4.037373318,0.000180566,0.781818182,10.42079847,1.501567378,5.781504769,-6.437524834,0.017616509,0.017551932,6.46E-05
23099548,7,14219.577,2.009500477,4.152886677,2.054330064,1313,2.093030165,0.186511772,0.470573155,-3.154480279,-2.540189027,0.00141462,2.285882307,10.90190373,0.419892237,7.41390489,-5.180528453,0.557730673,0.552170403,0.00556027
23099550,7,14205.2112,2.009481587,4.152447695,2.054098989,722,2.092827162,0.186340357,0.470443851,-3.245758722,-2.746069679,0.00105573,2.270822451,10.90176561,0.419764382,7.760786503,-5.431598781,0.283642096,0.280859573,0.002782523
23099552,7,14204.7531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099554,7,14203.9656,2.009479902,4.152409612,2.054078942,1495,2.092809551,0.186325486,0.470432633,-3.225256822,-2.670061064,0.001176175,2.270204386,10.90175369,0.419763427,7.730738866,-5.338168391,0.376133103,0.37244421,0.003688892
23099558,7,14186.5785,2.00945716,4.151877666,2.053798932,325,2.092563558,0.186117769,0.470275947,-3.43270302,-3.111704054,0.000627845,2.278629611,10.90158635,0.419744983,8.305628318,-5.901771734,0.103297757,0.102276401,0.001021356
23099560,7,14185.3608,2.009455596,4.151840386,2.053779308,977,2.092546318,0.186103213,0.470264966,-3.211746759,-2.606670861,0.001287068,2.281096176,10.9015746,0.419743785,7.59222657,-5.263531785,0.463531453,0.458932843,0.004598609
23099562,7,14182.7148,2.009452106,4.15175937,2.053736662,343,2.092508853,0.186071577,0.470241102,-3.256545113,-2.711309905,0.001109199,2.307547584,10.90154908,0.419740745,7.794490996,-5.391506058,0.319335709,0.31608009,0.003255619
23099564,7,14178.7845,2.009446932,4.151639002,2.053673302,2523,2.09245319,0.186024575,0.470205647,-3.144244681,-2.477384938,0.001546706,2.296379653,10.90151122,0.419734433,7.465372982,-5.100403813,0.609460783,0.603316657,0.006144126
23099566,7,14164.2504,2.00942816,4.151193596,2.053438845,1580,2.092247217,0.185850651,0.470074451,-3.161232741,-2.523151452,0.001449295,2.31513286,10.90137116,0.419601317,7.54301541,-5.153724758,0.581540061,0.575561796,0.005978265
23099568,7,14162.1723,2.009425392,4.151129874,2.053405302,788,2.092217749,0.185825769,0.470055682,-3.104135649,-2.389825848,0.001751687,2.325138459,10.9013511,0.419585129,7.182932255,-4.997069734,0.80044629,0.792101241,0.008345049
23099570,7,14153.6799,2.009414682,4.150869369,2.053268176,1829,2.092097281,0.185724046,0.469978949,-2.86776273,-1.862707441,0.003705427,2.294697991,10.90126919,0.419359265,6.58327026,-4.392041273,3.185893951,3.153322687,0.032571264
23099572,7,14146.5771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099576,7,14053.4829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099578,7,14052.4407,1.977692233,4.147751761,2.051627101,1599,2.090655576,0.184506672,0.469060646,-2.471454793,-1.164225398,0.012354117,2.306543564,10.90028859,0.445705222,5.490925007,-3.456210117,23.22213258,22.97960923,0.24252335
23099580,7,14045.4198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099582,7,14041.4643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099584,7,14041.4508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099586,7,14041.1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099588,7,14040.5832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099590,7,14040.4554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099594,7,13924.6002,1.977532709,4.143782735,2.04953785,879,2.08882014,0.182956833,0.467891554,-2.918685103,-1.997042791,0.003061366,2.287299957,10.89904021,0.443595054,6.780725567,-4.498045672,2.505750328,2.480206319,0.025544009
23099596,7,13923.5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099598,7,13920.6267,1.977527399,4.143658787,2.049472605,1349,2.088762822,0.182908434,0.467855044,-2.846712705,-1.819573937,0.003939707,2.263290218,10.89900126,0.443580497,6.499219515,-4.334907983,3.591080512,3.55534273,0.035737782
23099600,7,13917.1347,1.977522607,4.143549831,2.049415252,748,2.088712436,0.182865888,0.467822951,-2.852713325,-1.84557466,0.003796768,2.280107725,10.89896691,0.443570682,6.357151235,-4.370720913,3.285251162,3.251995727,0.033255435
23099602,7,13912.9434,1.856416194,4.143419018,2.049346394,3337,2.088651944,0.182814808,0.467784419,-2.655301274,-1.554871522,0.00573932,2.297012356,10.89892578,0.589325091,6.083305321,-3.993119971,7.871586861,7.788816016,0.082770845
23099606,7,13886.2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099608,7,13886.0424,1.856368265,4.142578487,2.048903947,4265,2.088263248,0.182486594,0.467536838,-2.669925271,-1.601141295,0.005374014,2.284117755,10.89866141,0.587716685,6.173035044,-4.044205974,7.043301261,6.970279654,0.073021607
23099610,4,114.3126,-1.477917246,2.058094103,0.951654506,669,1.124314973,-0.631470072,-0.146456059,-1.644727062,-3.481483954,0.000371188,2.66790943,9.771714514,2.21308732,6.269709204,-6.012512494,0.122952661,0.119559582,0.003393079
23099612,4,114.0489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099614,4,114.0129,-1.479398216,2.056953992,0.951054365,1179,1.12378774,-0.631915266,-0.146791883,-1.934159712,-4.127845476,0.000148117,2.551758066,9.771355548,2.216791773,7.160208841,-6.852942329,0.012913912,0.012609608,0.000304305
23099616,4,111.8286,-1.488391695,2.048552888,0.946632117,996,1.119902736,-0.635195759,-0.149266461,-2.095713011,-4.482488726,8.95E-05,2.590410314,10.58619434,2.267566212,7.681342235,-7.252588192,0.006033837,0.00593318,0.000100657
23099618,4,91.1628,-1.579005431,1.959817656,0.899922875,1593,1.078868045,-0.669845399,-0.175403765,-2.051152957,-4.507263351,8.64E-05,2.369242169,9.963771929,2.356517719,7.641146895,-7.250263684,0.005540027,0.005447314,9.27E-05
23099620,4,89.9613,-1.58511243,1.954055723,0.896889858,518,1.076203498,-0.672095338,-0.177100965,-2.046876999,-4.502198489,8.70E-05,2.207653121,9.961961854,2.372128901,7.595317235,-7.315154638,0.004253335,0.004193949,5.94E-05
23099622,4,88.5132,-1.592267361,1.947008042,0.893180037,3532,1.072944371,-0.674847341,-0.179176886,-1.765906588,-3.873135102,0.000212732,2.219375007,9.959742188,2.389039874,6.757847359,-6.429573822,0.033317532,0.032841547,0.000475985
23099624,4,74.943,-1.662028773,1.874731074,0.855134243,1392,1.039520634,-0.703070301,-0.200466345,-1.896648591,-4.23696005,0.000126838,2.495788403,10.02936594,2.685642487,7.180214447,-6.961777362,0.012819062,0.012570091,0.000248971
23099626,4,68.3496,-1.700382453,1.834735977,0.834081268,1368,1.021025314,-0.718687725,-0.212247055,-1.869149246,-4.212281718,0.000131366,2.008202447,10.05990795,2.805957582,7.06682701,-6.953114809,0.010685052,0.010569303,0.000115749
23099628,4,67.2138,-1.707221877,1.827458449,0.830250458,1949,1.017659897,-0.721529479,-0.214390679,-1.828313322,-4.112772164,0.000151325,1.840754119,10.08191504,3.031535218,6.960754749,-6.81079051,0.011093439,0.010992893,0.000100546
23099630,4,61.8354,-1.740420084,1.791237174,0.811183981,1123,1.000909742,-0.735673288,-0.225059794,-1.751526724,-3.984740865,0.000181527,1.74343828,10.11914952,3.337545739,6.750019415,-6.644165504,0.017921302,0.017775016,0.000146285
23099632,4,60.4737,-1.749304467,1.781566541,0.806093467,1303,0.996437658,-0.73944951,-0.227908317,-1.762761984,-4.017732838,0.000173211,1.67914262,10.11608932,3.374522158,6.79926795,-6.677780705,0.014608743,0.014496246,0.000112498
23099634,3,22.6179,-2.175043109,1.35445228,0.581265261,173,0.798923078,-0.906230563,-0.353716466,-1.483697899,-3.918545032,0.000199436,1.978758459,9.947746303,3.985234509,6.269938652,-6.526805091,0.026956803,0.026660948,0.000295855
23099636,3,20.1465,-2.223672659,1.304199608,0.554812813,723,0.77568425,-0.9258534,-0.368518584,-1.573356031,-4.168541049,0.000139793,2.07789125,9.888203705,4.112556325,6.591130329,-6.832387327,0.011213229,0.011072734,0.000140495
23099638,3,18.0936,-2.266921745,1.257524985,0.530243809,885,0.754100052,-0.944079068,-0.382266774,-1.517837298,-4.089693162,0.000156371,2.155854741,9.985274025,4.311657597,6.444986777,-6.727462223,0.016752663,0.016532289,0.000220375
23099640,3,16.2531,-2.312426666,1.210936207,0.505719994,933,0.732555553,-0.962271215,-0.395989677,-1.499912479,-4.096531799,0.000154858,2.270147186,10.09151235,4.553649501,6.402000966,-6.747389659,0.016691302,0.016451326,0.000239975
23099642,3,13.6683,-2.383602256,1.135714502,0.466124123,1198,0.697770052,-0.991644046,-0.41814652,-1.558235446,-4.294160226,0.000116934,2.390828768,10.21858581,4.905139532,6.653080706,-6.953895213,0.01121697,0.011040199,0.000176772
23099644,3,12.6279,-2.414416208,1.101331134,0.4480251,247,0.681869819,-1.005070183,-0.428274274,-1.529969426,-4.267244479,0.000121494,2.486619887,10.30013514,5.156548968,6.558414783,-6.955852379,0.011083721,0.010894665,0.000189057
23099646,3,12.438,-2.420850319,1.094750552,0.444561155,151,0.678826697,-1.007639791,-0.430212609,-1.424628658,-4.045260749,0.000166565,2.485605747,10.31750842,5.207447177,6.233172231,-6.677780705,0.023128671,0.022737751,0.00039092
23099648,3,12.3408,-2.424103471,1.091343314,0.442767622,251,0.677251055,-1.008970261,-0.431216224,-1.49549937,-4.202661122,0.000133175,2.495334198,10.33098877,5.235429692,6.465777695,-6.866461092,0.014689651,0.014439828,0.000249823
23099650,3,12.1086,-2.434011755,1.083093933,0.43842524,5025,0.673436213,-1.012191508,-0.433646111,-1.497722451,-4.174746596,0.000138565,2.530576123,10.34300168,5.290342866,6.457857526,-6.796967113,0.018266006,0.017943083,0.000322923
23099652,2,4.572,-2.848985117,0.660106222,0.215769204,2744,0.477829915,-1.177361212,-0.558238769,-1.331038512,-4.278788911,0.000119517,2.99548301,10.57447025,6.870135752,6.245472828,-6.92628165,0.016832731,0.016345193,0.000487538
23099654,1,2.1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099656,7,13663.1547,1.855977964,4.135550986,2.045204749,8076,2.085013453,0.179742471,0.46546686,-2.707168205,-1.687585594,0.004752675,2.305934309,11.6343164,0.579680889,6.255943324,-4.160933816,5.465641133,5.420967816,0.044673317
23099658,7,13619.4327,1.855900341,4.134159018,2.044472032,214,2.084369752,0.179198931,0.465056851,-1.912112505,-1.164225398,0.056102907,2.410515761,11.66463529,0.574776659,4.520358464,-3.158504818,49.06070686,48.62105716,0.439649708
23099660,7,13618.2411,1.993533145,4.134121019,2.04445203,138,2.08435218,0.179184093,0.465045658,-1.603320752,-1.164225398,0.189372713,2.407550208,10.89600127,0.574714016,4.147233523,-2.919629295,84.46231578,83.46047978,1.001835996
23099662,7,13618.1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099664,7,13603.8834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099666,7,13553.9262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099668,7,13502.6487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099670,7,13500.4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099672,7,13498.3701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099674,7,13488.8166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099676,7,13486.5855,1.993357858,4.12990201,2.042231191,878,2.082401143,0.17753664,0.463802933,-2.736669347,-1.680154106,0.004803143,2.399395448,10.89953523,0.408468427,6.288743149,-4.147760399,5.788648486,5.72244135,0.066207135
23099678,7,13461.462,1.995374128,4.12909223,2.041804931,6925,2.082026668,0.177220434,0.463564409,-3.394824292,-3.113956603,0.000625838,2.333651731,10.89928047,0.40672209,8.17596893,-5.929962133,0.093928274,0.092947409,0.000980865
23099680,7,13383.6354,1.930527258,4.126574097,2.040479414,355,2.080862184,0.176237145,0.462822683,-2.970445785,-2.345686845,0.001865103,2.840056191,10.90821034,0.479460982,7.101785496,-4.915441595,1.190312669,1.167557966,0.022754704
23099682,7,13380.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099684,7,12961.6893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
