COMID,FromNode,ToNode,Hydrosq,AreSqKM,pred_stream_area_m2_fill,pred_logw_m,stream_length_m,cum_totco2g_day,cum_stream_area_m2,cum_stream_length_m,TOT_urban16,TOT_forest16,TOT_wetland16,TOT_agrc16,TOT_shrub16,CAT_STREAM_LENGTH,CAT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STREAM_SLOPE,CAT_BASIN_AREA,TOT_BASIN_AREA,cum_totco2g_day_Tsurface_m2,cum_totco2g_day_Tdrain_m2
23099452,50019160,50019159,50004610,1.3563,97625.87992,2.068919898,833,2013157469,66248669.38,11414018,4.92,29.08,1.32,14.58,23.4,0.833,0,11414.02,0.033982,1.36,15156.66,30.38789288,0.132823291
23099454,50019161,50019160,50004624,1.3662,91410.08327,2.068899535,780,2013140533,66151043.5,11413185,4.92,29.09,1.32,14.58,23.4,0.78,0,11413.19,0.033984,1.37,15155.31,30.4324834,0.132834006
23099456,50019162,50019161,50004638,4.248,228045.6165,2.068878869,1946,2013128700,66059633.42,11412405,4.92,29.09,1.32,14.57,23.4,1.946,0,11412.41,0.033987,4.25,15153.94,30.47441525,0.132845234
23099458,50019163,50019162,50004654,19.9377,34447.85069,2.068814745,294,2012979961,65831587.8,11410459,4.92,29.1,1.32,14.56,23.4,0.294,0,11410.46,0.033992,19.94,15149.69,30.57772155,0.132872683
23099460,50019164,50019163,50004668,35.4222,489195.1906,2.068513805,4178,2012954567,65797139.95,11410165,4.92,29.14,1.32,14.47,23.41,4.178,0,11410.17,0.033993,35.42,15129.76,30.59334446,0.133046034
23099462,50019165,50019164,50004682,1.053,97765.17233,2.067977837,836,2011539707,65307944.76,11405987,4.92,29.2,1.32,14.48,23.33,0.836,0,11405.99,0.034006,1.05,15094.33,30.80084229,0.133264591
23099464,50019166,50019165,50004695,2.6874,170264.191,2.067961934,1456,2009148154,65210179.59,11405151,4.92,29.21,1.32,14.48,23.32,1.456,0,11405.15,0.034008,2.69,15093.28,30.81034535,0.13311541
23099466,50019167,50019166,50017303,0.0063,1589.365117,1.415894813,61,269648.643,2367162.163,820610,1.39,0.01,0,4.43,25.51,0.061,0.02,820.61,0.026663,0.01,871.02,0.113912197,0.000309578
23099468,50019168,50019167,50017503,2.5596,37467.18584,1.415892188,1438,264283.2037,2365572.798,820549,1.39,0.01,0,4.43,25.51,1.438,0,820.55,0.026641,2.56,871.01,0.111720596,0.000303422
23099470,50019169,50019168,50017702,11.0466,39201.11096,1.412027751,1518,264093.1429,2298248.16,798739,1.41,0.01,0,4.5,25.76,1.518,0,798.74,0.026579,11.05,856.41,0.11491063,0.000308372
23099472,50019170,50019169,50017903,2.1474,36175.39923,1.408270601,1413,264019.1858,2253838.809,793199,1.41,0.01,0,4.57,25.21,1.413,0,793.2,0.026715,2.15,842.45,0.117142,0.000313394
23099474,50019171,50019170,50018110,14.4504,29256.93365,1.406666673,1147,263932.0973,2208241.175,785422,1.43,0.01,0,4.6,25.26,1.147,0,785.42,0.026941,14.45,836.56,0.119521409,0.000315497
23099484,50019172,50140799,50022263,26.2224,20229.59887,1.341257114,922,67156.42532,1639794.052,605613,1.57,0.01,0,6.13,17.15,0.922,0,605.61,0.026106,26.22,628.4,0.040954183,0.000106869
23099486,50019173,50019172,50022633,1.0656,42408.62941,1.322532088,2018,56905.01302,1569090.033,566891,1.29,0.01,0,6.6,15.15,2.018,0,566.89,0.024555,1.07,578.98,0.036266251,9.83E-05
23099488,50019174,50019173,50025275,2.097,24215.27978,1.117390624,1848,43340.30374,545828.3364,168352,2.6,0.02,0,5.66,25.93,1.848,0,168.35,0.017345,2.1,236.02,0.07940281,0.00018363
23099492,50019175,50140802,50026954,2.5839,37750.63269,1.016056863,3638,33869.16289,398479.5616,138883,0.32,0.03,0,8.37,32.22,3.638,0.01,138.88,0.020305,2.58,151.51,0.084995985,0.000223544
23099494,50019176,50019175,50027573,0.612,17328.29048,1.005764502,1710,33788.58355,352691.9193,130061,0.26,0.03,0,8.76,33.68,1.71,0.01,130.06,0.021375,0.61,144.84,0.095801978,0.000233282
23099496,50019177,50019176,50028232,0.0108,1228.123011,0.9958126,124,33682.26104,321246.8913,120595,0.25,0.03,0,7.79,34.9,0.124,0.02,120.6,0.022886,0.01,138.67,0.10484852,0.000242895
23099498,50019178,50019177,50028942,1.2465,10171.52441,0.969567582,1091,33576.88019,289224.8406,110459,0.19,0.03,0,6.18,38.81,1.091,0.01,110.46,0.024624,1.25,123.63,0.116092657,0.000271592
23099500,50019179,50019178,50029710,0.5301,9034.67929,0.964689687,980,33503.3251,277004.8943,107010,0.19,0.03,0,6.31,39.27,0.98,0.01,107.01,0.024951,0.53,121.02,0.120948495,0.000276841
23099502,50019180,50019179,50030519,2.1222,32352.15477,0.926585704,3831,33194.73326,236430.1479,90681,0.07,0.03,0,1.59,44.47,3.831,0.02,90.68,0.027569,2.12,102.44,0.140399748,0.000324041
23099504,50019181,50019180,50031388,1.3113,9769.091984,0.911766239,1197,33013.52243,196968.165,82389,0,0.03,0,0.41,46.81,1.197,0.02,82.39,0.029372,1.31,96.01,0.167608417,0.000343855
23099506,50019182,50019181,50032312,1.6767,14400.438,0.904066168,1796,32886.01048,184731.7244,78785,0,0.03,0,0.03,48.38,1.796,0.02,78.79,0.029572,1.68,92.83,0.178020373,0.000354261
23099508,50019183,50019182,50033316,0.0027,225.9953716,0.891695048,29,32714.47434,166516.7078,74194,0,0.03,0,0.03,51.06,0.029,0.19,74.19,0.030193,0,87.94,0.196463615,0.000372009
23099510,50019184,50019183,50034388,1.7388,10305.23143,0.875065146,1374,11199.40724,152989.9886,67252,0,0.04,0,0.03,54.86,1.374,0.02,67.25,0.02974,1.74,81.77,0.07320353,0.000136962
23099512,50019185,50019184,50035550,0.0756,1977.1552,0.859865266,273,11058.03811,137617.1118,62339,0,0.04,0,0.03,58.61,0.273,0.04,62.34,0.030638,0.08,76.51,0.080353656,0.000144531
23099514,50019186,50019185,50036818,0.9387,5925.834821,0.855247386,827,10890.45938,133860.2603,60091,0,0.04,0,0.03,59.8,0.827,0.03,60.09,0.029789,0.94,74.98,0.081356927,0.000145245
23099516,50019187,50019186,50038220,5.3109,16179.73615,0.842746583,2324,10537.89944,123536.9786,55955,0,0.04,0,0,63.15,2.324,0.02,55.96,0.0302,5.31,70.99,0.08530158,0.000148442
23099518,50019188,50019187,50039800,2.7603,6960.019302,0.811607639,1074,10340.28212,103378.8062,50935,0,0.05,0,0,71.92,1.074,0.02,50.94,0.031802,2.76,61.95,0.10002323,0.000166913
23099520,50019189,50019188,50041567,0.0324,923.1876075,0.797960488,147,10176.58842,95210.05563,48051,0,0.05,0,0,75.64,0.147,0.04,48.05,0.030801,0.03,58.36,0.106885647,0.000174376
23099522,50019190,50019189,50043547,2.4552,7468.727747,0.788319591,1216,10110.5258,90874.79996,44978,0,0.05,0,0,76.11,1.216,0.03,44.98,0.03068,2.46,55.95,0.11125775,0.000180706
23099524,50019191,50019190,50045811,0.7362,4473.973202,0.765884493,767,9754.797028,80132.42348,41169,0,0.06,0,0,81.87,0.767,0.01,41.17,0.031091,0.74,50.72,0.121733458,0.000192326
23099526,50019192,50019191,50048384,0.6966,3773.808332,0.75007036,671,9732.584058,72299.8674,37684,0,0.06,0,0,82.43,0.671,0.02,37.68,0.032113,0.7,47.33,0.134614134,0.000205632
23099528,50019193,50019192,50051339,0.3033,2848.233138,0.736898381,522,9681.555175,66614.24507,35191,0,0.06,0,0,81.71,0.522,0.02,35.19,0.030406,0.3,44.68,0.14533761,0.000216687
23099530,50019194,50019193,50054809,4.7079,8578.035834,0.723897756,1620,9648.722615,60283.30785,31534,0,0.07,0,0,82.76,1.62,0.02,31.53,0.031082,4.71,42.21,0.16005629,0.000228589
23099532,50019195,50019194,50058925,0.036,805.1336618,0.688404916,165,9549.158378,50140.39851,28112,0,0.07,0,0,82.64,0.165,0.05,28.11,0.030238,0.04,36.14,0.190448394,0.000264227
23099534,50019196,50019195,50063894,0.3033,2895.222001,0.674248989,613,9495.883065,45691.96781,24637,0,0.07,0,0,82.91,0.613,0.03,24.64,0.030438,0.3,33.97,0.207823903,0.000279537
23099536,50019197,50019196,50070170,0,82.31033324,0.660162531,18,9412.078283,40706.32121,21896,0,0.08,0,0,82.29,0.018,0,21.9,0.027397,0,31.94,0.231219084,0.00029468
23099538,50019198,50019197,50078306,5.7924,9083.040472,0.623354541,2162,900.2129146,34674.32746,18330,0,0.09,0,0,83.61,2.162,0.03,18.33,0.030005,5.79,27.19,0.025961943,3.31E-05
23099540,50019199,50019198,50089455,0.1071,629.1340843,0.538635291,182,783.9427469,21985.43089,13231,0,0.13,0,0,86.02,0.182,0.06,13.23,0.034769,0.11,18.77,0.035657375,4.18E-05
23099542,50019200,50019199,50106294,6.606,6367.867266,0.514237729,1949,432.8627952,19191.02961,10897,0,0.14,0,0,84.5,1.949,0.04,10.9,0.025688,6.61,16.87,0.022555475,2.57E-05
23099544,50019201,50019200,50137443,0.1233,900.0595363,0.344816195,407,301.4931436,9324.781232,5838,0,0.13,0,0,84.08,0.407,0.04,5.84,0.027397,0.12,8.04,0.032332463,3.75E-05
23099546,50155213,50019201,50219491,4.4307,5803.459141,0.208561523,3590,102.2366877,5803.459141,3590,0,0.24,0,0,87.57,3.59,0.07,3.59,0.019499,4.43,4.43,0.017616509,2.31E-05
23099548,50019202,50019166,50004708,7.506,148797.2108,2.054330114,1313,2008125590,62672753.23,10583085,5.14,31.01,1.4,15.09,23.18,1.313,0,10583.09,0.034583,7.51,14219.58,32.04144523,0.141222567
23099550,50019203,50019202,50004721,0.4581,81777.94378,2.054098971,722,2008029885,62505006.39,10566478,5.15,31.04,1.41,15.09,23.19,0.722,0,10566.48,0.034617,0.46,14205.21,32.12590479,0.141358691
23099552,50019204,50019203,50004734,0.7875,47457.58556,2.054091568,419,2008006689,62423228.45,10565756,5.15,31.04,1.41,15.09,23.19,0.419,0,10565.76,0.034619,0.79,14204.75,32.16761995,0.141361635
23099554,50019205,50019204,50004747,3.1491,169324.6299,2.054079015,1495,2007803743,62375770.86,10565337,5.15,31.04,1.41,15.09,23.19,1.495,0,10565.34,0.034621,3.15,14203.97,32.18884056,0.14135511
23099558,50019206,50140804,50004790,0.1953,36785.9768,2.053798957,325,2006533571,61926465.07,10539273,5.15,31.08,1.41,15.11,23.2,0.325,0,10539.27,0.034646,0.2,14186.58,32.40187485,0.141438851
23099560,50019207,50019206,50004804,1.5552,110579.3091,2.053779297,977,2006526315,61888379.83,10537011,5.15,31.08,1.41,15.11,23.21,0.977,0,10537.01,0.034634,1.56,14185.36,32.42169726,0.141450504
23099562,50019208,50019207,50004818,0.2601,38817.78785,2.053736586,343,2006471129,61776426.47,10533882,5.15,31.09,1.41,15.11,23.21,0.343,0,10533.88,0.034607,0.26,14182.71,32.47955966,0.141473042
23099564,50019209,50019208,50004832,13.2804,285489.771,2.053673231,2523,2006453736,61731650.09,10526976,5.15,31.09,1.41,15.11,23.21,2.523,0,10526.98,0.034575,13.28,14178.78,32.50283661,0.141511028
23099566,50019210,50019209,50004846,2.0781,178688.2238,2.05343884,1580,2006276510,61444340.49,10522265,5.14,31.13,1.41,15.12,23.2,1.58,0,10522.27,0.034588,2.08,14164.25,32.65193334,0.141643681
23099568,50019211,50019210,50004862,8.4924,89111.04156,2.053405267,788,2006172595,61265652.26,10520685,5.13,31.13,1.41,15.11,23.2,0.788,0,10520.69,0.034593,8.49,14162.17,32.74547028,0.141657147
23099570,50019212,50019211,50004878,7.1028,206767.3117,2.053268179,1829,2006101267,61176541.22,10519897,5.12,31.15,1.41,15.09,23.2,1.829,0,10519.9,0.034595,7.1,14153.68,32.79200208,0.141737079
23099572,50019213,50019212,50004892,1.8522,28254.87774,2.053153472,250,2005442528,60969773.91,10518068,5.12,31.16,1.41,15.07,23.2,0.25,0,10518.07,0.034601,1.85,14146.58,32.89240552,0.14176165
23099576,50019214,50140806,50004931,1.0422,49330.80086,2.05164401,438,2002759307,60373279.93,10493073,5.09,31.37,1.42,14.82,23.26,0.438,0,10493.07,0.034661,1.04,14053.48,33.17294189,0.142509849
23099578,50019215,50019214,50004945,4.6278,180084.181,2.051627092,1599,2002282461,60323949.13,10492635,5.08,31.37,1.42,14.82,23.26,1.599,0,10492.64,0.034662,4.63,14052.44,33.19216481,0.142486462
23099580,50019216,50019215,50004959,2.2428,90525.0773,2.05151286,804,1998096015,60141253.32,10488116,5.07,31.39,1.42,14.81,23.26,0.804,0,10488.12,0.034653,2.24,14045.42,33.22338503,0.142259613
23099582,50019217,50019216,50004974,0.0135,9906.748496,2.051448397,88,1997290252,60049349.14,10485905,5.07,31.4,1.42,14.8,23.26,0.088,0,10485.91,0.034656,0.01,14041.46,33.26081433,0.142242349
23099584,50019218,50019217,50004988,0.3357,40752.74024,2.051448234,362,1996726703,60039442.39,10485817,5.07,31.4,1.42,14.8,23.26,0.362,0,10485.82,0.034656,0.34,14041.45,33.25691617,0.142202315
23099586,50019219,50019218,50005001,0.5319,61466.06669,2.051442862,546,1996397575,59998689.65,10485455,5.07,31.4,1.42,14.8,23.26,0.546,0,10485.46,0.034658,0.53,14041.12,33.27401959,0.142182217
23099588,50019220,50019219,50005014,0.1278,32646.16098,2.051434069,290,1995991648,59937223.58,10484909,5.07,31.4,1.42,14.8,23.26,0.29,0,10484.91,0.034659,0.13,14040.58,33.30136982,0.142158775
23099590,50019221,50019220,50005029,0.5814,19587.60274,2.051432116,174,1995529052,59904577.42,10484619,5.07,31.4,1.42,14.8,23.26,0.174,0,10484.62,0.03466,0.58,14040.46,33.31179582,0.142127042
23099594,50019222,50140807,50005071,1.0998,98520.5267,2.049537848,879,1993914100,59409494.6,10296786,5.08,31.66,1.43,14.68,23.19,0.879,0,10296.79,0.034536,1.1,13924.6,33.5622128,0.143193636
23099596,50019223,50019222,50005087,1.4652,25217.51636,2.049519788,225,1993667232,59310974.07,10295907,5.08,31.66,1.43,14.68,23.19,0.225,0,10295.91,0.034539,1.47,13923.5,33.6138002,0.143187218
23099598,50019224,50019223,50005103,3.492,151176.5935,2.049472661,1349,1993479085,59283775.19,10293109,5.08,31.67,1.43,14.69,23.18,1.349,0,10293.11,0.034539,3.49,13920.63,33.62604825,0.143203223
23099600,50019225,50019224,50005120,2.8602,83814.05441,2.049415176,748,1992936198,59132598.6,10291760,5.08,31.68,1.43,14.69,23.18,0.748,0,10291.76,0.034543,2.86,13917.13,33.70283473,0.143200229
23099602,50019226,50019225,50005136,12.6063,373854.4895,2.049346339,3337,1992657495,59047220.57,10289190,5.08,31.69,1.43,14.69,23.17,3.337,0,10289.19,0.034537,12.61,13912.94,33.74684661,0.143223323
23099606,50019227,50140810,50005180,0.225,23727.03727,2.048907696,212,1988780158,58564675.33,10271946,5.08,31.75,1.44,14.61,23.16,0.212,0,10271.95,0.034468,0.23,13886.27,33.9586986,0.143219177
23099608,50019228,50019227,50005193,19.3959,477334.6737,2.048903909,4265,1988533911,58540948.3,10271734,5.08,31.75,1.44,14.61,23.16,4.265,0,10271.73,0.034468,19.4,13886.04,33.96825588,0.143203816
23099610,50019229,50019659,50030518,0.2637,5985.226965,0.951649506,669,5530.078299,267909.1426,105481,5.68,0,0.11,42.01,23.11,0.669,0.02,105.48,0.018771,0.26,114.31,0.020641618,4.84E-05
23099612,50019230,50019229,50031387,0.036,455.7185566,0.951128942,51,4794.178718,261923.9157,104812,5.6,0,0.11,41.99,23.16,0.051,0.02,104.81,0.018701,0.04,114.05,0.018303707,4.20E-05
23099614,50019231,50019230,50032311,2.1843,10533.39013,0.95104875,1179,4120.577886,261468.1971,104761,5.6,0,0.11,41.98,23.16,1.179,0.01,104.76,0.018519,2.18,114.01,0.015759385,3.61E-05
23099616,50019232,50019231,50033315,20.6658,8808.286963,0.946635183,996,3984.550608,250934.807,103582,5.52,0,0.1,41.29,23.37,0.996,0.01,103.58,0.018633,20.67,111.83,0.015878828,3.56E-05
23099618,50019233,50019232,50034387,1.2015,12651.40187,0.899916104,1593,3931.402842,242126.52,102586,3.13,0,0.04,32.98,27.68,1.593,0.01,102.59,0.018715,1.2,91.16,0.016236977,4.31E-05
23099620,50019234,50019233,50035549,0.2394,4085.259207,0.896886808,518,3861.313734,229475.1181,100993,3.02,0,0.04,32.54,27.81,0.518,0.01,100.99,0.018913,0.24,89.96,0.016826721,4.29E-05
23099622,50019235,50019234,50036817,4.1841,27618.54096,0.89317203,3532,3837.353959,224074.6547,98863,2.96,0,0.03,31.6,28.24,3.532,0.02,98.86,0.018916,4.18,88.51,0.017125337,4.34E-05
23099624,50019236,50019235,50038219,0.8901,9971.798142,0.855125397,1392,2679.860558,188379.0224,89769,2.27,0,0.03,25.01,31.77,1.392,0.01,89.77,0.018269,0.89,74.94,0.014225897,3.58E-05
23099626,50019237,50019236,50039799,1.1358,9336.140217,0.834082941,1368,2531.09692,176780.5161,87495,2.03,0,0.02,22.75,34.03,1.368,0.01,87.5,0.017943,1.14,68.35,0.014317737,3.70E-05
23099628,50019238,50019237,50041566,5.3784,13184.4585,0.830237874,1949,2431.339779,167444.3759,86127,2.01,0,0.01,21.52,34.61,1.949,0.01,86.13,0.018112,5.38,67.21,0.014520283,3.62E-05
23099630,50019239,50019238,50043546,1.3617,7270.49094,0.811201357,1123,2285.078793,154259.9174,84178,1.86,0,0,18.1,36.34,1.123,0.02,84.18,0.018413,1.36,61.84,0.014813173,3.70E-05
23099632,50019240,50019239,50045810,1.5327,8337.539088,0.806079858,1303,2154.78213,146989.4265,83055,1.79,0,0,17.1,36.92,1.303,0.02,83.06,0.01842,1.53,60.47,0.014659436,3.56E-05
23099634,50019241,50019240,50048383,0.0378,659.6466546,0.581287496,173,1431.016702,52468.12356,31079,1.47,0,0,25.33,20.63,0.173,0.03,31.08,0.021236,0.04,22.62,0.027274021,6.33E-05
23099636,50019242,50019241,50051338,0.4446,2593.887343,0.554853659,723,1412.087986,48925.15741,28461,1.41,0,0,28.44,21.8,0.723,0.03,28.46,0.021434,0.44,20.15,0.028862206,7.01E-05
23099638,50019243,50019242,50054808,0.3474,3000.454739,0.530199583,885,1382.648471,44857.67906,26184,1.58,0,0,31.67,23.61,0.885,0.03,26.18,0.020626,0.35,18.09,0.030823005,7.64E-05
23099640,50019244,50019243,50058924,0.2448,2989.5212,0.505677793,933,1329.956106,39685.13923,22917,1.76,0,0,35.25,25.74,0.933,0.03,22.92,0.020506,0.24,16.25,0.033512698,8.18E-05
23099642,50019245,50019244,50063893,1.0404,3504.135903,0.466154227,1198,1277.002044,33234.71401,18988,2.09,0,0,41.92,26.52,1.198,0.03,18.99,0.020537,1.04,13.67,0.038423741,9.34E-05
23099644,50019246,50019245,50070169,0.1899,692.9821581,0.448064924,247,1237.696256,29730.57811,17790,2.27,0,0,45.37,28.16,0.247,0.03,17.79,0.020236,0.19,12.63,0.041630413,9.80E-05
23099646,50019247,50019246,50078305,0.0972,420.2793986,0.444599749,151,1230.015435,29037.59595,17543,2.3,0,0,46.06,28.55,0.151,0.04,17.54,0.018814,0.1,12.44,0.04235941,9.89E-05
23099648,50019248,50019247,50089454,0.2322,695.7309823,0.442754655,251,1220.294931,28617.31655,17392,2.32,0,0,46.43,28.61,0.251,0.03,17.39,0.016676,0.23,12.34,0.042641836,9.89E-05
23099650,50019249,50019248,50106293,3.429,13789.906,0.438453558,5025,1210.074886,27921.58557,17141,2.36,0,0,47.32,28.43,5.025,0.03,17.14,0.015169,3.43,12.11,0.04333833,9.99E-05
23099652,50019250,50019249,50137442,1.7739,4509.75876,0.215674181,2744,868.1948847,7615.26708,6332,2.05,0,0,65.16,25.3,2.744,0.05,6.33,0.017378,1.77,4.57,0.114007148,0.000189977
23099654,50155214,50019250,50219490,2.1051,2080.322841,0.039006135,1904,528.1196156,2080.322841,1904,2.82,0,0,94.96,1.28,1.904,0.03,1.9,0.015789,2.11,2.11,0.253864259,0.000250294
23099656,50019251,50019228,50005207,43.722,896191.9919,2.045204672,8076,1985132644,57534227.72,10032290,5.08,32.26,1.45,14.16,23.04,8.076,0,10032.29,0.034858,43.72,13663.15,34.50350726,0.145290994
23099658,50019252,50019251,50005221,1.1916,23707.50253,2.044471989,214,1980234380,56638035.73,10024214,5.06,32.37,1.46,14.07,23.05,0.214,0.01,10024.21,0.034887,1.19,13619.43,34.9629777,0.145397743
23099660,50019253,50019252,50005237,0.0909,15287.31154,2.044452013,138,1979071273,56614328.22,10024000,5.04,32.37,1.46,14.07,23.05,0.138,0.02,10024,0.034886,0.09,13618.24,34.95707421,0.14532504
23099662,50019254,50019253,50005253,0.0378,13847.15383,2.044450502,125,1977780072,56599040.91,10023862,5.04,32.37,1.46,14.07,23.05,0.125,0,10023.86,0.034885,0.04,13618.15,34.94370293,0.145231186
23099664,50019255,50019254,50005269,43.1181,765934.1605,2.044210826,6918,1977282313,56561494.81,10013665,5.03,32.4,1.46,14.01,23.07,6.918,0,10013.67,0.034916,43.12,13603.88,34.95809861,0.145346939
23099666,50019256,50019255,50005284,51.2775,351285.6051,2.043369892,3179,1971775189,55782747.5,9999812,4.97,32.52,1.46,13.91,23.1,3.179,0,9999.81,0.034963,51.28,13553.93,35.3474018,0.145476271
23099668,50019257,50019256,50005300,2.1735,23710.55784,2.042503336,215,1968523332,55431461.9,9996633,4.96,32.65,1.46,13.78,23.06,0.215,0,9996.63,0.034974,2.17,13502.65,35.5127443,0.145787926
23099670,50019258,50019257,50005315,2.1051,19849.01753,2.042466593,180,1968251468,55407751.34,9996418,4.96,32.65,1.46,13.78,23.05,0.18,0,9996.42,0.034975,2.11,13500.48,35.5230346,0.145791221
23099672,50019259,50019258,50005328,9.5535,285692.1281,2.042430861,2591,1968011919,55387902.32,9996238,4.96,32.66,1.46,13.77,23.06,2.591,0,9996.24,0.034975,9.55,13498.37,35.53143984,0.145796264
23099674,50019260,50019259,50005341,2.2311,44088.873,2.042269066,400,1966116520,55102210.19,9993647,4.95,32.68,1.46,13.74,23.06,0.4,0,9993.65,0.034984,2.23,13488.82,35.6812642,0.145758971
23099676,50019261,50019260,50005354,1.2285,96766.65003,2.042231268,878,1965581504,55058121.32,9993247,4.95,32.68,1.46,13.74,23.06,0.878,0,9993.25,0.034986,1.23,13486.59,35.70011939,0.145743402
23099678,50019262,50019261,50005367,53.6166,762473.4203,2.041804899,6925,1965020443,54935296.94,9985235,4.91,32.75,1.46,13.63,23.1,6.925,0,9985.24,0.035008,53.62,13461.46,35.7697246,0.145973798
23099680,50019263,50019262,50005381,0.0864,38967.96864,2.040479494,355,1964926901,54156172.76,9973916,4.89,32.94,1.46,13.35,23.19,0.355,0,9973.92,0.035045,0.09,13383.64,36.28260272,0.146815582
23099682,50019264,50019263,50005395,2.016,104048.3212,2.040426708,948,1964880517,54114204.49,9971269,4.89,32.94,1.45,13.35,23.19,0.948,0,9971.27,0.035055,2.02,13380.55,36.30988455,0.14684602
