Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O
56,329.153569,329.15349418162043,329.1536719246791,1206628.4,-9999,430850.8,17.81,-1,-0.5400002303416989,0.9484649133004828,0,0.5690789479802897,9,1.3529411764705883,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H23 O1 N4 P1,17,23,1,4,1,-9999,-9999,N/A
57,331.083533,331.0834589812468,331.0831957802191,872515.4,-9999,409210.6,12.33,-1,0.7949694549074151,0.8916591896701804,0,0.5349955138021082,9,1.1111111111111112,0.1111111111111111,S2 O2,de-protonated,0,-9999,C18 H20 O2 S2,18,20,2,-9999,-9999,2,-9999,N/A
57,331.083533,331.0834589812468,331.08366381086904,872515.4,-9999,409210.6,12.33,-1,-0.6186642369807,0.9329080305094304,0,0.5597448183056581,15,0.6666666666666666,0.16666666666666666,N4 O3,de-protonated,0,-9999,C18 H12 O3 N4,18,12,3,4,-9999,-9999,-9999,N/A
58,333.062522,333.0624488011853,333.06246033532904,1161777.1,-9999,505729.8,17.07,-1,-0.03463057258946518,0.9997824165187694,0,0.5998694499112617,9,1.0588235294117647,0.17647058823529413,S2 O3,de-protonated,0,-9999,C17 H18 O3 S2,17,18,3,-9999,-9999,2,-9999,N/A
59,333.09917,333.0990968163694,333.0988458446791,2110261.5,-9999,470863.9,32.61,-1,0.753445091303431,0.902122733008674,0,0.5412736398052044,8,1.2222222222222223,0.1111111111111111,S2 O2,de-protonated,0,-9999,C18 H22 O2 S2,18,22,2,-9999,-9999,2,-9999,N/A
59,333.09917,333.0990968163694,333.0993138753291,2110261.5,-9999,470863.9,32.61,-1,-0.6516343643514778,0.925845343552576,0,0.5555072061315455,14,0.7777777777777778,0.16666666666666666,N4 O3,de-protonated,0,-9999,C18 H14 O3 N4,18,14,3,4,-9999,-9999,-9999,N/A
60,333.135591,333.1355178314594,333.1352313540291,1296186,-9999,369315.6,19.27,-1,0.8599433604538748,0.8744311028529513,0,0.5246586617117708,7,1.368421052631579,0.05263157894736842,S2 O1,de-protonated,0,-9999,C19 H26 O1 S2,19,26,1,-9999,-9999,2,-9999,N/A
60,333.135591,333.1355178314594,333.13569938467913,1296186,-9999,369315.6,19.27,-1,-0.5449827804092898,0.9475350122828354,0,0.5685210073697012,13,0.9473684210526316,0.10526315789473684,N4 O2,de-protonated,0,-9999,C19 H18 O2 N4,19,18,2,4,-9999,-9999,-9999,N/A
61,335.042024,335.04195162133647,335.04172489043907,1257576,-9999,429186.3,18.63,-1,0.676724361628981,0.9202632675635214,0,0.5521579605381128,9,1,0.25,S2 O4,de-protonated,0,-9999,C16 H16 O4 S2,16,16,4,-9999,-9999,2,-9999,N/A
61,335.042024,335.04195162133647,335.04219292108905,1257576,-9999,429186.3,18.63,-1,-0.7202070595474293,0.9101761665912496,0,0.5461056999547498,15,0.5,0.3125,N4 O5,de-protonated,0,-9999,C16 H8 O5 N4,16,8,5,4,-9999,-9999,-9999,N/A
62,335.078467,335.0783946364356,335.07811039978907,2605100.5,-9999,477693.5,40.71,-1,0.8482698143675305,0.8776007449369251,0,0.526560446962155,8,1.1764705882352942,0.17647058823529413,S2 O3,de-protonated,0,-9999,C17 H20 O3 S2,17,20,3,-9999,-9999,2,-9999,N/A
62,335.078467,335.0783946364356,335.07857843043905,2605100.5,-9999,477693.5,40.71,-1,-0.5485101564446265,0.9468720865620068,0,0.568123251937204,14,0.7058823529411765,0.2352941176470588,N4 O4,de-protonated,0,-9999,C17 H12 O4 N4,17,12,4,4,-9999,-9999,-9999,N/A
63,335.114899,335.1148266515301,335.11449590913907,2948401.3,-9999,407841.5,46.33,-1,0.9869533997493196,0.8379934502802359,0,0.5027960701681415,7,1.3333333333333333,0.1111111111111111,S2 O2,de-protonated,0,-9999,C18 H24 O2 S2,18,24,2,-9999,-9999,2,-9999,N/A
63,335.114899,335.1148266515301,335.1149639397891,2948401.3,-9999,407841.5,46.33,-1,-0.4096751078602423,0.9700058240813438,0,0.5820034944488063,13,0.8888888888888888,0.16666666666666666,N4 O3,de-protonated,0,-9999,C18 H16 O3 N4,18,16,3,4,-9999,-9999,-9999,N/A
64,335.151278,335.1512056666027,335.1508814184891,1237813.9,-9999,472201.5,18.05,-1,0.9674690760994998,0.8438037631225507,0,0.5062822578735304,6,1.4736842105263157,0.05263157894736842,S2 O1,de-protonated,0,-9999,C19 H28 O1 S2,19,28,1,-9999,-9999,2,-9999,N/A
64,335.151278,335.1512056666027,335.1513494491391,1237813.9,-9999,472201.5,18.05,-1,-0.4290077799776729,0.9671562552906542,0,0.5802937531743925,12,1.0526315789473684,0.10526315789473684,N4 O2,de-protonated,0,-9999,C19 H20 O2 N4,19,20,2,4,-9999,-9999,-9999,N/A
65,337.057781,337.05770945650875,337.05737495489905,1926188.8,-9999,424914.1,29.16,-1,0.9924174177907078,0.8363505633500814,0,0.5018103380100488,8,1.125,0.25,S2 O4,de-protonated,0,-9999,C16 H18 O4 S2,16,18,4,-9999,-9999,2,-9999,N/A
65,337.057781,337.05770945650875,337.0578429855491,1926188.8,-9999,424914.1,29.16,-1,-0.3961606089851117,0.97192450959227,0,0.583154705755362,14,0.625,0.3125,N4 O5,de-protonated,0,-9999,C16 H10 O5 N4,16,10,5,4,-9999,-9999,-9999,N/A
67,337.094211,337.0941394716025,337.0942284948991,4151601.5,-9999,433488,65.1,-1,-0.2640902426400233,0.9874248416681248,0,0.5924549050008749,13,0.8235294117647058,0.2352941176470588,N4 O4,de-protonated,0,-9999,C17 H14 O4 N4,17,14,4,4,-9999,-9999,-9999,N/A
68,337.130567,337.13049548666555,337.13061400424914,3603254.3,-9999,441412.7,56.24,-1,-0.3515479718067653,0.9778250474094714,0,0.5866950284456828,12,1,0.16666666666666666,N4 O3,de-protonated,0,-9999,C18 H18 O3 N4,18,18,3,4,-9999,-9999,-9999,N/A
69,337.166995,337.1669235017585,337.1669995135991,956091.1,-9999,529739.2,13.49,-1,-0.22544270550243584,0.9908203693842054,0,0.5944922216305232,11,1.1578947368421053,0.10526315789473684,N4 O2,de-protonated,0,-9999,C19 H22 O2 N4,19,22,2,4,-9999,-9999,-9999,N/A
70,337.206796,337.2067245182489,337.2067563262691,1548864.4,-9999,538651.7,23.07,-1,-0.09432794450193592,0.9983868155179046,0,0.5990320893107428,5,1.7647058823529411,0.0588235294117647,N4 S1 O1,de-protonated,0,-9999,C17 H30 O1 N4 S1,17,30,1,4,-9999,1,-9999,N/A
71,339.037144,339.03707327660226,339.03710754065906,1483190,-9999,455107.3,22,-1,-0.10106285136866076,0.9981484537963612,0,0.5988890722778167,14,0.5333333333333333,0.4,N4 O6,de-protonated,0,-9999,C15 H8 O6 N4,15,8,6,4,-9999,-9999,-9999,N/A
72,339.073499,339.0734282916649,339.07349305000906,3849787,-9999,424901.6,60.22,-1,-0.1909861592401765,0.9934033836244036,0,0.5960420301746422,13,0.75,0.3125,N4 O5,de-protonated,0,-9999,C16 H12 O5 N4,16,12,5,4,-9999,-9999,-9999,N/A
73,339.109952,339.1098813067682,339.10987855935906,5692992,-9999,412345.2,89.99,-1,0.00810182577683136,0.9982403598019024,0.9870502361982502,0.9937643103604414,12,0.9411764705882352,0.2352941176470588,N4 O4,de-protonated,0,-9999,C17 H16 O4 N4,17,16,4,4,-9999,-9999,-9999,N/A
74,339.146371,339.1463003218574,339.14626406870906,2002244.9,-9999,417335.1,30.38,-1,0.10689531970192964,0.9979288046315022,0,0.5987572827789013,11,1.1111111111111112,0.16666666666666666,N4 O3,de-protonated,0,-9999,C18 H20 O3 N4,18,20,3,4,-9999,-9999,-9999,N/A
76,340.113351,340.1132807224984,340.1132333944291,1151690,-9999,603464.2,16.64,-1,0.13915386023167484,0.9964926297486058,0.9870502361982502,0.9927156723284636,12,1,0.25,13C1 N4 O4,de-protonated,1,73,C16 H16 O4 N4 13C1,16,16,4,4,-9999,-9999,1,N/A
77,340.204766,340.2046957603736,340.2047044405991,1552150.8,-9999,387467.6,23.11,-1,-0.02551471315752626,0.9998818837748789,0,0.5999291302649273,4,1.7777777777777777,0.16666666666666666,N1 P1 O3,de-protonated,0,-9999,C18 H32 O3 N1 P1,18,32,3,1,1,-9999,-9999,N/A
78,341.052865,341.0527951117596,341.0527576051191,2282061.5,-9999,494496,34.9,-1,0.1099731337386501,0.997807949291119,0,0.5986847695746714,13,0.6666666666666666,0.4,N4 O6,de-protonated,0,-9999,C15 H10 O6 N4,15,10,6,4,-9999,-9999,-9999,N/A
79,341.089293,341.0892231268526,341.0891431144691,4608850.5,-9999,381325.2,72.47,-1,0.23457909784899456,0.990065040100903,0,0.5940390240605418,12,0.875,0.3125,N4 O5,de-protonated,0,-9999,C16 H14 O5 N4,16,14,5,4,-9999,-9999,-9999,N/A
80,341.125572,341.1255021418837,341.1255286238191,3402839.8,-9999,387023.2,53,-1,-0.0776310570646279,0.9989070824606776,0,0.5993442494764065,11,1.0588235294117647,0.2352941176470588,N4 O4,de-protonated,0,-9999,C17 H18 O4 N4,17,18,4,4,-9999,-9999,-9999,N/A
81,343.068615,343.0685459469291,343.0684076695791,2395758.3,-9999,469562.8,36.19,-1,0.4030605760039129,0.9709524719096432,0,0.5825714831457858,12,0.8,0.4,N4 O6,de-protonated,0,-9999,C15 H12 O6 N4,15,12,6,4,-9999,-9999,-9999,N/A
82,343.104994,343.1049249620017,343.10479317892907,3588211.8,-9999,446659.7,55.17,-1,0.3840898618668926,0.9735868719403716,0,0.5841521231642229,11,1,0.3125,N4 O5,de-protonated,0,-9999,C16 H16 O5 N4,16,16,5,4,-9999,-9999,-9999,N/A
83,343.141443,343.1413739771033,343.14117868827907,1492345,-9999,520517.9,21.81,-1,0.5691209226544894,0.9429226926496208,0,0.5657536155897724,10,1.1764705882352942,0.2352941176470588,N4 O4,de-protonated,0,-9999,C17 H20 O4 N4,17,20,4,4,-9999,-9999,-9999,N/A
84,345.063087,345.0630187732825,345.0629283659791,1096853.4,-9999,448228.9,15.52,-1,0.2620023654072157,0.9876216612546326,0,0.5925729967527795,16,0.5555555555555556,0.2222222222222222,N4 O4,de-protonated,0,-9999,C18 H10 O4 N4,18,10,4,4,-9999,-9999,-9999,N/A
85,345.084459,345.0843907821374,345.08405773403905,1218712.6,-9999,415782.2,17.46,-1,0.9651216591746408,0.8444986340951658,0,0.5066991804570995,11,0.9333333333333332,0.4,N4 O6,de-protonated,0,-9999,C15 H14 O6 N4,15,14,6,4,-9999,-9999,-9999,N/A
86,345.099569,345.09950078839785,345.0993138753291,1369242.9,-9999,392581.3,19.85,-1,0.5416210964744025,0.9481632458777342,0,0.5688979475266405,15,0.7368421052631579,0.15789473684210523,N4 O3,de-protonated,0,-9999,C19 H14 O3 N4,19,14,3,4,-9999,-9999,-9999,N/A
87,345.120757,345.1206887971765,345.1204432433891,1089950.1,-9999,561439.2,15.41,-1,0.7115017154612714,0.9122368490982312,0,0.5473421094589387,10,1.125,0.3125,N4 O5,de-protonated,0,-9999,C16 H18 O5 N4,16,18,5,4,-9999,-9999,-9999,N/A
88,345.136024,345.135955803502,345.13569938467913,1333408.4,-9999,559231.2,19.28,-1,0.7429507388389364,0.904696922308805,0,0.542818153385283,14,0.9,0.1,N4 O2,de-protonated,0,-9999,C20 H18 O2 N4,20,18,2,4,-9999,-9999,-9999,N/A
89,347.04249600000003,347.04242859339513,347.04219292108905,1051459.4,-9999,463942.8,14.79,-1,0.6790883381989014,0.9197282321821316,0,0.5518369393092789,16,0.4705882352941176,0.29411764705882354,N4 O5,de-protonated,0,-9999,C17 H8 O5 N4,17,8,5,4,-9999,-9999,-9999,N/A
90,347.078849,347.07878160845695,347.07857843043905,1841097,-9999,407633.1,27.36,-1,0.5853948659608047,0.9397135980970625,0,0.5638281588582374,15,0.6666666666666666,0.2222222222222222,N4 O4,de-protonated,0,-9999,C18 H12 O4 N4,18,12,4,4,-9999,-9999,-9999,N/A
91,347.115289,347.1152216235549,347.1149639397891,2518990.5,-9999,446735.6,38.14,-1,0.742358562829828,0.9048413196867082,0,0.5429047918120249,14,0.8421052631578947,0.15789473684210523,N4 O3,de-protonated,0,-9999,C19 H16 O3 N4,19,16,3,4,-9999,-9999,-9999,N/A
92,347.151678,347.1516106386316,347.1513494491391,1589204.3,-9999,478413.9,23.35,-1,0.7523793092544956,0.9023854725407326,0,0.5414312835244396,13,1,0.1,N4 O2,de-protonated,0,-9999,C20 H20 O2 N4,20,20,2,4,-9999,-9999,-9999,N/A
94,349.094622,349.0945554436359,349.0942284948991,4350982,-9999,406241.8,66.28,-1,0.9365629968234062,0.4264309004306142,0.8370420509349343,0.5906753606323423,14,0.7777777777777778,0.2222222222222222,N4 O4,de-protonated,0,-9999,C18 H14 O4 N4,18,14,4,4,-9999,-9999,-9999,N/A
100,351.146673,351.14660729384565,351.14626406870906,3279186.3,-9999,430585.7,49.48,-1,0.9774420852792964,0.8408392235631412,0,0.5045035341378847,12,1.0526315789473684,0.15789473684210523,N4 O3,de-protonated,0,-9999,C19 H20 O3 N4,19,20,3,4,-9999,-9999,-9999,N/A
102,353.053371,353.0533060838324,353.05362698498914,2962319.5,-9999,418543.4,44.5,-1,-0.9089303499496226,0.8607900685263877,0,0.5164740411158326,13,0.8235294117647058,0.0588235294117647,N4 S2 O1,de-protonated,0,-9999,C17 H14 O1 N4 S2,17,14,1,4,-9999,2,-9999,N/A
107,354.093153,354.09308851463686,354.09343991226905,1151808.1,-9999,442483.9,16.12,-1,-0.9923867334961304,0.8363598056143997,0,0.5018158833686398,7,1.375,0.25,N1 S1 P1 O4,de-protonated,0,-9999,C16 H22 O4 N1 P1 S1,16,22,4,1,1,1,-9999,N/A
110,355.069023,355.06895891896124,355.06927704944906,4217320,-9999,371949.1,64.17,-1,-0.8959673741873504,0.8644521716468588,0,0.5186713029881153,12,0.9411764705882352,0.0588235294117647,N4 S2 O1,de-protonated,0,-9999,C17 H16 O1 N4 S2,17,16,1,4,-9999,2,-9999,N/A
114,357.048386,357.0483227390547,357.04854160455915,1696451.5,-9999,375316.1,24.27,-1,-0.6129852917674269,0.934092770648262,0,0.5604556623889573,12,0.875,0.125,N4 S2 O2,de-protonated,0,-9999,C16 H14 O2 N4 S2,16,14,2,4,-9999,2,-9999,N/A
115,357.084768,357.08470475412855,357.0849271139091,4217162,-9999,423427.2,63.17,-1,-0.6227083913455987,0.9320586060571624,0,0.5592351636342975,11,1.0588235294117647,0.0588235294117647,N4 S2 O1,de-protonated,0,-9999,C17 H18 O1 N4 S2,17,18,1,4,-9999,2,-9999,N/A
