Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
96,303.043929,303.0439203573223,303.0441214734591,842338.4,-9999,374118.4,12.05,-1,-0.6636529882689146,0.9231935179247784,0,0.553916110754867,15,0.5625,0.0625,N4 P1 O1,de-protonated,0,-9999,C16 H9 O1 N4 P1,16,9,1,4,1,-9999,-9999,N/A,N/A,N/A
97,303.05916,303.0591513432452,303.059106288589,1472147.9,-9999,583501.5,22.52,-1,0.14866623461549838,0.9959977153420236,0,0.5975986292052142,5,1.6,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H16 O3 N4 S2,10,16,3,4,-9999,2,-9999,N/A,N/A,N/A
99,303.095561,303.0955523096018,303.0954917979391,1251095.5,-9999,545546.3,18.84,-1,0.19964553874955332,0.9927938461014708,0,0.5956763076608825,4,1.818181818181818,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H20 O2 N4 S2,11,20,2,4,-9999,2,-9999,N/A,N/A,N/A
101,305.038441,305.03843051391,305.03837084369906,2441049.3,-9999,511466.8,38.63,-1,0.1956154262348107,0.99308084271209,0,0.595848505627254,5,1.5555555555555556,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H14 O4 N4 S2,9,14,4,4,-9999,2,-9999,N/A,N/A,N/A
102,305.074848,305.0748374802611,305.07475635304905,1983836.8,-9999,489433.8,31.03,-1,0.26592568011789885,0.987250561463871,0,0.5923503368783226,4,1.8,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H18 O3 N4 S2,10,18,3,4,-9999,2,-9999,N/A,N/A,N/A
103,305.11122,305.1112094466446,305.11114186239905,1577312.5,-9999,543875,24.27,-1,0.221506973214619,0.99113667160771,0,0.594682002964626,3,2,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H22 O2 N4 S2,11,22,2,4,-9999,2,-9999,N/A,N/A,N/A
104,307.01776,307.01774768453976,307.0176353988091,1718817,-9999,518236.8,26.43,-1,0.3657305565512732,0.9760217911701432,0,0.5856130747020858,5,1.5,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H12 O5 N4 S2,8,12,5,4,-9999,2,-9999,N/A,N/A,N/A
105,307.054117,307.05410465093706,307.0540209081591,3596068.8,-9999,548935,57.44,-1,0.2727297878289033,0.9865942362772572,0,0.5919565417663543,4,1.7777777777777777,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H16 O4 N4 S2,9,16,4,4,-9999,2,-9999,N/A,N/A,N/A
106,307.090505,307.09049261730576,307.0904064175091,3165480.5,-9999,558719.2,50.33,-1,0.2806984356009725,0.9858050771459548,0,0.5914830462875729,3,2,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H20 O3 N4 S2,10,20,3,4,-9999,2,-9999,N/A,N/A,N/A
107,307.126896,307.1268835836716,307.1267919268591,1809452.1,-9999,636044.5,27.93,-1,0.2984331387693194,0.9839696319090022,0,0.5903817791454014,2,2.1818181818181817,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H24 O2 N4 S2,11,24,2,4,-9999,2,-9999,N/A,N/A,N/A
110,309.033412,309.03339782158895,309.03328546326907,3287023.8,-9999,572757.7,52.33,-1,0.36357999337657904,0.9762995960322036,0,0.5857797576193222,4,1.75,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H14 O5 N4 S2,8,14,5,4,-9999,2,-9999,N/A,N/A,N/A
111,309.068824,309.0688097888597,309.068604888259,856563.4,-9999,842543.7,12.19,-1,0.6629615478636568,0.9233471854945716,0,0.5540083112967429,12,0.8333333333333334,0.16666666666666666,P1 O3,de-protonated,0,-9999,C18 H15 O3 P1,18,15,3,-9999,1,-9999,-9999,N/A,N/A,N/A
112,309.069811,309.0697967879475,309.06967097261906,4335091.5,-9999,527492.1,69.64,-1,0.407077562917168,0.9703793024025982,0,0.5822275814415588,3,2,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H18 O4 N4 S2,9,18,4,4,-9999,2,-9999,N/A,N/A,N/A
113,309.106198,309.10618375431704,309.106056481969,5091831.5,-9999,572171.9,82.14,-1,0.4117433009461467,0.9697068615591709,0,0.5818241169355024,2,2.2,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H22 O3 N4 S2,10,22,3,4,-9999,2,-9999,N/A,N/A,N/A
114,309.142596,309.1425817206765,309.1424419913191,1780987,-9999,444999.1,27.46,-1,0.4519902103569952,0.963609560508118,0,0.5781657363048708,1,2.363636363636364,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H26 O2 N4 S2,11,26,2,4,-9999,2,-9999,N/A,N/A,N/A
117,311.049075,311.04905895862805,311.04893552772904,3483330,-9999,508284.2,55.57,-1,0.3968214801951392,0.9718320938566002,0,0.5830992563139601,3,2,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H16 O5 N4 S2,8,16,5,4,-9999,2,-9999,N/A,N/A,N/A
118,311.084492,311.08447592589414,311.08425495271905,913733.9,-9999,651467.2,13.13,-1,0.7103322382005377,0.9125121246363214,0,0.5475072747817928,11,0.9444444444444444,0.16666666666666666,P1 O3,de-protonated,0,-9999,C18 H17 O3 P1,18,17,3,-9999,1,-9999,-9999,N/A,N/A,N/A
119,311.085462,311.0854459249976,311.08532103707904,5993670,-9999,541623.4,97.03,-1,0.40145873210357613,0.9711795416382908,0,0.5827077249829745,2,2.2222222222222223,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H20 O4 N4 S2,9,20,4,4,-9999,2,-9999,N/A,N/A,N/A
120,311.12078,311.1207638923552,311.1206404620691,998985.7,-9999,691042.6,14.54,-1,0.3967280535941876,0.971845167377816,0,0.5831071004266896,10,1.105263157894737,0.10526315789473684,P1 O2,de-protonated,0,-9999,C19 H21 O2 P1,19,21,2,-9999,1,-9999,-9999,N/A,N/A,N/A
120,311.12078,311.1207638923552,311.12083716655906,998985.7,-9999,691042.6,14.54,-1,-0.2355168637864333,0.9899858481287556,0,0.5939915088772534,2,2.2222222222222223,0.8888888888888888,N4 O8,de-protonated,0,-9999,C9 H20 O8 N4,9,20,8,4,-9999,-9999,-9999,N/A,N/A,N/A
121,311.121838,311.1218218913774,311.12170654642904,5361354,-9999,511559.9,86.59,-1,0.3707389935915584,0.9753687733525028,0,0.5852212640115017,1,2.4,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H24 O3 N4 S2,10,24,3,4,-9999,2,-9999,N/A,N/A,N/A
126,313.028412,313.0283941292411,313.0284714089991,1226516.8,-9999,597550,18.16,-1,-0.24687772853563433,0.9890018807097474,0,0.5934011284258484,17,0.4117647058823529,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H7 O1 N4 P1,17,7,1,4,1,-9999,-9999,N/A,N/A,N/A
126,313.028412,313.0283941292411,313.0282000828391,1226516.8,-9999,597550,18.16,-1,0.6199007054067857,0.9326488310242904,0,0.5595892986145742,3,2,0.8571428571428571,N4 S2 O6,de-protonated,0,-9999,C7 H14 O6 N4 S2,7,14,6,4,-9999,2,-9999,N/A,N/A,N/A
127,313.043521,313.04350311527674,313.0434562241291,963094.4,-9999,497566.5,13.84,-1,0.14979117659517455,0.9959370401117672,0,0.5975622240670603,7,1.2727272727272727,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H14 O3 N4 S2,11,14,3,4,-9999,2,-9999,N/A,N/A,N/A
129,313.064747,313.0647290956588,313.0645855921891,5388696.5,-9999,508223.6,86.41,-1,0.45838295452548783,0.9625925336662732,0,0.5775555201997639,2,2.25,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H18 O5 N4 S2,8,18,5,4,-9999,2,-9999,N/A,N/A,N/A
130,313.100175,313.10015706291466,313.0999050171791,1096092.5,-9999,666656.5,16.02,-1,0.8050009966139958,0.8890662039638618,0,0.533439722378317,10,1.0555555555555556,0.16666666666666666,P1 O3,de-protonated,0,-9999,C18 H19 O3 P1,18,19,3,-9999,1,-9999,-9999,N/A,N/A,N/A
131,313.101131,313.1011130620311,313.1009711015391,6760860.5,-9999,547116.6,108.91,-1,0.45340163444671255,0.9633861525274912,0,0.5780316915164947,1,2.4444444444444446,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H22 O4 N4 S2,9,22,4,4,-9999,2,-9999,N/A,N/A,N/A
135,315.022891,315.0228712858593,315.0227207792391,1065325.5,-9999,613472,15.51,-1,0.4777643334981348,0.9594287230144322,0,0.5756572338086593,7,1.2,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H12 O4 N4 S2,10,12,4,4,-9999,2,-9999,N/A,N/A,N/A
136,315.044033,315.044013266319,315.0441214734591,3164271.8,-9999,534654.9,49.93,-1,-0.34346662173992887,0.9788220910109242,0,0.5872932546065545,16,0.5294117647058824,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H9 O1 N4 P1,17,9,1,4,1,-9999,-9999,N/A,N/A,N/A
136,315.044033,315.044013266319,315.0438501472991,3164271.8,-9999,534654.9,49.93,-1,0.5177660817609395,0.9525210475238948,0,0.5715126285143368,2,2.2857142857142856,0.8571428571428571,N4 S2 O6,de-protonated,0,-9999,C7 H16 O6 N4 S2,7,16,6,4,-9999,2,-9999,N/A,N/A,N/A
137,315.059292,315.059272252216,315.059106288589,1242481.5,-9999,521977.7,18.42,-1,0.5267698144330739,0.9508969808037592,0,0.5705381884822555,6,1.4545454545454546,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H16 O3 N4 S2,11,16,3,4,-9999,2,-9999,N/A,N/A,N/A
138,315.079484,315.0794642335536,315.07916957228906,1003123.7,-9999,827485,14.49,-1,0.9351975408191918,0.8532574053357176,0,0.5119544432014306,10,1,0.2352941176470588,P1 O4,de-protonated,0,-9999,C17 H17 O4 P1,17,17,4,-9999,1,-9999,-9999,N/A,N/A,N/A
139,315.080391,315.0803712327154,315.0802356566491,5003892,-9999,559345.2,80.1,-1,0.4302906083204799,0.966962827182201,0,0.5801776963093206,1,2.5,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H20 O5 N4 S2,8,20,5,4,-9999,2,-9999,N/A,N/A,N/A
140,315.095711,315.09569121855594,315.0954917979391,899445.4,-9999,595879.4,12.79,-1,0.6328894638516319,0.9298991838423696,0,0.5579395103054218,5,1.6666666666666667,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H20 O2 N4 S2,12,20,2,4,-9999,2,-9999,N/A,N/A,N/A
143,316.08372,316.08369930539635,316.0835301328491,1031266.8,-9999,601544,14.95,-1,0.5352146857780741,0.949350853680743,0,0.5696105122084458,9,1.1176470588235294,0.0588235294117647,N1 S2 O1,de-protonated,0,-9999,C17 H19 O1 N1 S2,17,19,1,1,-9999,2,-9999,N/A,N/A,N/A
144,317.038523,317.038501422927,317.03837084369906,2038349.5,-9999,566892.4,31.46,-1,0.4118720002988532,0.9696882110415546,0,0.5818129266249327,6,1.4,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H14 O4 N4 S2,10,14,4,4,-9999,2,-9999,N/A,N/A,N/A
145,317.059711,317.0596894033442,317.0597715379191,2042448,-9999,568949.7,31.53,-1,-0.2590507604930913,0.9878973031726956,0,0.5927383819036173,15,0.6470588235294118,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H11 O1 N4 P1,17,11,1,4,1,-9999,-9999,N/A,N/A,N/A
146,317.074999,317.0749773892143,317.07475635304905,1512273.6,-9999,462522.2,22.84,-1,0.6971105735877527,0.9155984575928838,0,0.5493590745557303,5,1.6363636363636365,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H18 O3 N4 S2,11,18,3,4,-9999,2,-9999,N/A,N/A,N/A
148,317.111353,317.1113313556144,317.11114186239905,1163861.8,-9999,545873.9,17.12,-1,0.5975608875181977,0.9372628453931094,0,0.5623577072358656,4,1.8333333333333333,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H22 O2 N4 S2,12,22,2,4,-9999,2,-9999,N/A,N/A,N/A
150,317.147682,317.1476603220376,317.1475273717491,1445977.9,-9999,609248.7,21.59,-1,0.4192064481932983,0.968616308638145,0,0.581169785182887,3,2,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H26 O1 N4 S2,13,26,1,4,-9999,2,-9999,N/A,N/A,N/A
152,319.017841,319.0178175935576,319.0176353988091,1554223,-9999,593898.8,23.35,-1,0.5711118392447234,0.9425343750672048,0,0.5655206250403229,6,1.3333333333333333,0.5555555555555556,N4 S2 O5,de-protonated,0,-9999,C9 H12 O5 N4 S2,9,12,5,4,-9999,2,-9999,N/A,N/A,N/A
153,319.054214,319.0541905599402,319.05402090815903,3159091.3,-9999,499410.9,49.47,-1,0.531733719201828,0.9499908392620948,0,0.5699945035572569,5,1.6,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H16 O4 N4 S2,10,16,4,4,-9999,2,-9999,N/A,N/A,N/A
154,319.090605,319.09058152630604,319.0904064175091,2095159.4,-9999,489559.5,32.15,-1,0.5487748720444258,0.9468221828689376,0,0.5680933097213626,4,1.818181818181818,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H20 O3 N4 S2,11,20,3,4,-9999,2,-9999,N/A,N/A,N/A
155,319.126996,319.126972492672,319.1267919268591,1811259.6,-9999,516769.2,27.53,-1,0.565812139498666,0.9435654046947998,0,0.5661392428168799,3,2,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H24 O2 N4 S2,12,24,2,4,-9999,2,-9999,N/A,N/A,N/A
156,319.163476,319.16345245895565,319.1631774362091,896191.9,-9999,696935.6,12.64,-1,0.8616994879334399,0.8739515246832897,0,0.5243709148099738,2,2.1538461538461537,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H28 O1 N4 S2,13,28,1,4,-9999,2,-9999,N/A,N/A,N/A
158,321.033481,321.03345573061796,321.03328546326907,3163418.8,-9999,516776,49.54,-1,0.530372882196417,0.950240014231823,0,0.5701440085390937,5,1.5555555555555556,0.5555555555555556,N4 S2 O5,de-protonated,0,-9999,C9 H14 O5 N4 S2,9,14,5,4,-9999,2,-9999,N/A,N/A,N/A
159,321.069884,321.06985869697274,321.06967097261906,4158239,-9999,519504.2,65.73,-1,0.5846841687381009,0.9398553999549236,0,0.5639132399729542,4,1.8,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H18 O4 N4 S2,10,18,4,4,-9999,2,-9999,N/A,N/A,N/A
160,321.106287,321.1062616633276,321.106056481969,3083555.3,-9999,565524.1,48.24,-1,0.6389831472778587,0.928592387649829,0,0.5571554325898974,3,2,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H22 O3 N4 S2,11,22,3,4,-9999,2,-9999,N/A,N/A,N/A
161,321.142638,321.1426126297304,321.1424419913191,1748775.6,-9999,526296.5,26.51,-1,0.5313480530535041,0.95006151455097,0,0.5700369087305819,2,2.1666666666666665,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H26 O2 N4 S2,12,26,2,4,-9999,2,-9999,N/A,N/A,N/A
