Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O
32,283.053813,283.0538689407043,283.0540209081591,2459612.5,-9999,507406.8,39.92,-1,-0.5368849885327276,0.9490424352095174,0,0.5694254611257104,2,2.2857142857142856,0.5714285714285714,N4 S2 O4,de-protonated,0,-9999,C7 H16 O4 N4 S2,7,16,4,4,-9999,2,-9999,N/A,-9999
33,283.090183,283.0902389422878,283.0904064175091,5179360.5,-9999,521457.4,86.25,-1,-0.5915962445454659,0.938469876396374,0,0.5630819258378243,1,2.5,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H20 O3 N4 S2,8,20,3,4,-9999,2,-9999,N/A,-9999
37,285.033105,285.03316102687813,285.03328546326907,880035.6,-9999,786865.7,13.01,-1,-0.4365679283083586,0.9660085561958468,0,0.5796051337175081,2,2.3333333333333335,0.8333333333333334,N4 S2 O5,de-protonated,0,-9999,C6 H14 O5 N4 S2,6,14,5,4,-9999,2,-9999,N/A,-9999
39,285.088047,285.0881030292702,285.0880804860391,1257193.1,-9999,469666.9,19.43,-1,0.07907461822658189,0.9988660818880756,0,0.5993196491328454,10,0.9333333333333332,0.26666666666666666,N2 O4,de-protonated,0,-9999,C15 H14 O4 N2,15,14,4,2,-9999,-9999,-9999,N/A,-9999
48,289.079714,289.0797702030583,289.0798417334791,1015222.5,-9999,699729.9,15.21,-1,-0.2474417461857711,0.9889518495723572,0,0.5933711097434143,4,1.8,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H18 O2 N4 S2,10,18,2,4,-9999,2,-9999,N/A,-9999
50,291.05901,291.05906628923225,291.0591062885891,1500666.8,-9999,521908.8,23.26,-1,-0.1374269210795701,0.9965789963387705,0,0.5979473978032622,4,1.7777777777777777,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H16 O3 N4 S2,9,16,3,4,-9999,2,-9999,N/A,-9999
51,291.095389,291.0954452908161,291.0954917979391,1209726.3,-9999,620137.5,18.37,-1,-0.15976586480611693,0.9953792072754072,0,0.5972275243652442,3,2,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H20 O2 N4 S2,10,20,2,4,-9999,2,-9999,N/A,-9999
52,293.038243,293.03829937540354,293.03837084369906,1830719,-9999,517525.1,28.81,-1,-0.24388715822617257,0.9892652931454994,0,0.5935591758872996,4,1.75,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H14 O4 N4 S2,8,14,4,4,-9999,2,-9999,N/A,-9999
53,293.074647,293.0747033769885,293.07475635304905,2469058.8,-9999,530122.3,39.54,-1,-0.18075954819095624,0.994088882842683,0,0.5964533297056098,3,2,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H18 O3 N4 S2,9,18,3,4,-9999,2,-9999,N/A,-9999
54,293.11102,293.1110763785721,293.11114186239905,3142854.3,-9999,525846.4,50.87,-1,-0.2234095454590708,0.9909844509099042,0,0.5945906705459425,2,2.2,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H22 O2 N4 S2,10,22,2,4,-9999,2,-9999,N/A,-9999
55,293.147501,293.1475573801603,293.1475273717491,911945.9,-9999,627881.7,13.36,-1,0.1023662436607279,0.9981004332900272,0,0.5988602599740163,1,2.363636363636364,0.09090909090909093,N4 S2 O1,de-protonated,0,-9999,C11 H26 O1 N4 S2,11,26,1,4,-9999,2,-9999,N/A,-9999
57,293.187261,293.1873173818914,293.1870662532291,1008333.8,-9999,583365.5,14.98,-1,0.8565475465685266,0.8753564282803707,0,0.5252138569682224,5,1.625,0.1875,N2 O3,de-protonated,0,-9999,C16 H26 O3 N2,16,26,3,2,-9999,-9999,-9999,N/A,-9999
60,295.05393,295.0539864631619,295.0540209081591,2603655.8,-9999,533061.2,41.8,-1,-0.11674132449239268,0.9975301749425004,0,0.5985181049655002,3,2,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H16 O4 N4 S2,8,16,4,4,-9999,2,-9999,N/A,-9999
62,295.09031,295.0903664647458,295.0904064175091,4230795.5,-9999,535507.5,69.16,-1,-0.13539160349939078,0.9966794101558352,0,0.5980076460935011,2,2.2222222222222223,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H20 O3 N4 S2,9,20,3,4,-9999,2,-9999,N/A,-9999
63,295.126716,295.1267724663308,295.1267919268591,4524175,-9999,527481.6,74.09,-1,-0.06593955144349314,0.9992113678104388,0,0.5995268206862632,1,2.4,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H24 O2 N4 S2,10,24,2,4,-9999,2,-9999,N/A,-9999
66,297.069622,297.0696785509205,297.06967097261906,5197137.5,-9999,539021.6,84.82,-1,0.02551018225681834,0.9998819257188172,0,0.5999291554312902,2,2.25,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H18 O4 N4 S2,8,18,4,4,-9999,2,-9999,N/A,-9999
67,297.08828,297.0883365517328,297.0880804860391,1259347.3,-9999,630698.2,19.07,-1,0.8619184362047136,0.8738916823076894,0,0.5243350093846136,11,0.875,0.25,N2 O4,de-protonated,0,-9999,C16 H14 O4 N2,16,14,4,2,-9999,-9999,-9999,N/A,-9999
68,297.105971,297.10602755250306,297.10605648196906,7108949,-9999,465763.5,116.75,-1,-0.0973708390209742,0.9982811493549728,0,0.5989686896129838,1,2.4444444444444446,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H22 O3 N4 S2,9,22,3,4,-9999,2,-9999,N/A,-9999
70,297.160996,297.16105255489873,297.16085150473907,4729690.5,-9999,532477.9,77.02,-1,0.6765701425407733,0.9287506506947398,0.962441786779781,0.9422271051287564,9,1.2222222222222223,0.1111111111111111,N2 O2,de-protonated,0,-9999,C18 H22 O2 N2,18,22,2,2,-9999,-9999,-9999,N/A,-9999
73,298.164328,298.16438459858153,298.16420633980914,1186239.6,-9999,620700.9,17.84,-1,0.5978543654921155,0.9372031836810608,0.962441786779781,0.947298624920549,9,1.2941176470588236,0.1176470588235294,13C1 N2 O2,de-protonated,1,70,C17 H22 O2 N2 13C1,17,22,2,2,-9999,-9999,1,N/A,-9999
74,299.04891,299.04896663709417,299.04893552772904,2971161.3,-9999,561294.8,47.65,-1,0.10402767383187632,0.998038333011412,0,0.5988229998068473,2,2.2857142857142856,0.7142857142857143,N4 S2 O5,de-protonated,0,-9999,C7 H16 O5 N4 S2,7,16,5,4,-9999,2,-9999,N/A,-9999
75,299.085258,299.0853146386767,299.0853210370791,8342557,-9999,542740.4,137.35,-1,-0.0213932343942211,0.9999169597410644,0,0.5999501758446386,1,2.5,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H20 O4 N4 S2,8,20,4,4,-9999,2,-9999,N/A,-9999
76,299.103898,299.1039546394883,299.1037305504991,1346846.8,-9999,634039,20.52,-1,0.749201585545216,0.9031670982065576,0,0.5419002589239345,10,1,0.25,N2 O4,de-protonated,0,-9999,C16 H16 O4 N2,16,16,4,2,-9999,-9999,-9999,N/A,-9999
87,303.043815,303.0438718110232,303.0441214734591,950835.6,-9999,680979.5,13.81,-1,-0.8238484701464167,0.8841275001375948,0,0.5304765000825569,15,0.5625,0.0625,N4 P1 O1,de-protonated,0,-9999,C16 H9 O1 N4 P1,16,9,1,4,1,-9999,-9999,N/A,-9999
88,303.059079,303.0591358116878,303.059106288589,1027637.2,-9999,556286.8,15.08,-1,0.09741696635325998,0.9982795218345478,0,0.5989677131007287,5,1.6,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H16 O3 N4 S2,10,16,3,4,-9999,2,-9999,N/A,-9999
91,305.038356,305.03841289786095,305.03837084369906,1596549,-9999,653591.6,24.51,-1,0.137865153746887,0.9965571811356084,0,0.597934308681365,5,1.5555555555555556,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H14 O4 N4 S2,9,14,4,4,-9999,2,-9999,N/A,-9999
92,305.074821,305.07487789944855,305.07475635304905,1955720.9,-9999,464404.2,30.47,-1,0.3984151325764532,0.9716086414198648,0,0.5829651848519188,4,1.8,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H18 O3 N4 S2,10,18,3,4,-9999,2,-9999,N/A,-9999
93,305.11113,305.1111869010294,305.11114186239905,1667340.8,-9999,466145.6,25.69,-1,0.14761385001500543,0.9960540663125558,0,0.5976324397875334,3,2,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H22 O2 N4 S2,11,22,2,4,-9999,2,-9999,N/A,-9999
94,305.147546,305.1476029026148,305.1475273717491,960272.6,-9999,696806.1,13.96,-1,0.24752245683485136,0.9889446810105832,0,0.5933668086063498,2,2.1666666666666665,0.08333333333333333,N4 S2 O1,de-protonated,0,-9999,C12 H26 O1 N4 S2,12,26,1,4,-9999,2,-9999,N/A,-9999
96,307.054082,307.054138985621,307.0540209081591,2964060.5,-9999,496232.7,46.85,-1,0.3845494730374503,0.9735244657316864,0,0.5841146794390117,4,1.7777777777777777,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H16 O4 N4 S2,9,16,4,4,-9999,2,-9999,N/A,-9999
97,307.090401,307.0904579872023,307.0904064175091,3683680.5,-9999,558430.8,58.69,-1,0.16793000406630856,0.9948961280562756,0,0.5969376768337653,3,2,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H20 O3 N4 S2,10,20,3,4,-9999,2,-9999,N/A,-9999
98,307.126811,307.12686798878747,307.1267919268591,3229540.5,-9999,596356.6,51.22,-1,0.24765644151455515,0.9889327757067125,0,0.5933596654240274,2,2.1818181818181817,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H24 O2 N4 S2,11,24,2,4,-9999,2,-9999,N/A,-9999
99,307.163246,307.1633029903738,307.1631774362091,949736.4,-9999,440825.7,13.68,-1,0.4087539585470829,0.9701385234792168,0,0.5820831140875301,1,2.3333333333333335,0.08333333333333333,N4 S2 O1,de-protonated,0,-9999,C12 H28 O1 N4 S2,12,28,1,4,-9999,2,-9999,N/A,-9999
102,309.033352,309.0334090717939,309.03328546326907,1747252.4,-9999,604317,26.81,-1,0.3999845022323857,0.9713877690404285,0,0.582832661424257,4,1.75,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H14 O5 N4 S2,8,14,5,4,-9999,2,-9999,N/A,-9999
103,309.069742,309.0697990733783,309.06967097261906,4651064.5,-9999,521877.6,74.62,-1,0.4144721118638244,0.9693102437574104,0,0.5815861462544462,3,2,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H18 O4 N4 S2,9,18,4,4,-9999,2,-9999,N/A,-9999
104,309.105389,309.1054460749302,309.1051871020991,1283644.4,-9999,646469.3,19.18,-1,0.8378145756000855,0.8804123792718461,0,0.5282474275631076,3,2,0.8888888888888888,N4 O8,de-protonated,0,-9999,C9 H18 O8 N4,9,18,8,4,-9999,-9999,-9999,N/A,-9999
105,309.106119,309.106176074962,309.106056481969,7135292.5,-9999,527847.8,115.52,-1,0.3868995461775112,0.973204268275098,0,0.5839225609650588,2,2.2,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H22 O3 N4 S2,10,22,3,4,-9999,2,-9999,N/A,-9999
106,309.142523,309.14258007654695,309.1424419913191,3896896.5,-9999,551804.9,62.2,-1,0.4466718543794448,0.9644455812796368,0,0.578667348767782,1,2.363636363636364,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H26 O2 N4 S2,11,26,2,4,-9999,2,-9999,N/A,-9999
107,309.182229,309.1822860782757,309.1819808727991,1057220.9,-9999,497519.3,15.45,-1,0.9871386286209166,0.83793785267046,0,0.5027627116022759,5,1.625,0.25,N2 O4,de-protonated,0,-9999,C16 H26 O4 N2,16,26,4,2,-9999,-9999,-9999,N/A,-9999
111,311.049033,311.04909015955207,311.04893552772904,3294485,-9999,537503.5,52.28,-1,0.4971302112325353,0.9561476363450794,0,0.5736885818070476,3,2,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H16 O5 N4 S2,8,16,5,4,-9999,2,-9999,N/A,-9999
112,311.085402,311.0854591611355,311.08532103707904,8204569,-9999,501384.9,133.12,-1,0.444006988094898,0.9648610340292202,0,0.5789166204175321,2,2.2222222222222223,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H20 O4 N4 S2,9,20,4,4,-9999,2,-9999,N/A,-9999
114,311.121075,311.12113216268864,311.12083716655906,1362333.3,-9999,695576.5,20.47,-1,0.9481722030231218,0.8494825258519314,0,0.5096895155111588,2,2.2222222222222223,0.8888888888888888,N4 O8,de-protonated,0,-9999,C9 H20 O8 N4,9,20,8,4,-9999,-9999,-9999,N/A,-9999
115,311.121799,311.1218561627201,311.12170654642904,10385693,-9999,523396.3,169.02,-1,0.480893129390953,0.6391410807754384,0.9252838293532616,0.7535981802065677,1,2.4,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H24 O3 N4 S2,10,24,3,4,-9999,2,-9999,N/A,-9999
117,311.17403,311.17408716499415,311.17413258747905,1457955.3,-9999,528299.2,22.04,-1,-0.14597127506887875,0.996141225863442,0,0.5976847355180652,0,2.4166666666666665,0.4166666666666667,N2 P1 O5,de-protonated,0,-9999,C12 H29 O5 N2 P1,12,29,5,2,1,-9999,-9999,N/A,-9999
122,312.125155,312.12521220640394,312.1250613814991,1957519.3,-9999,574731,30.04,-1,0.4832194639164104,0.6390110277435733,0.9252838293532616,0.7535201483874486,1,2.6666666666666665,0.3333333333333333,13C1 N4 S2 O3,de-protonated,1,115,C9 H24 O3 N4 S2 13C1,9,24,3,4,-9999,2,1,N/A,-9999
125,313.064697,313.06475424730945,313.0645855921891,6880763,-9999,522142.3,110.5,-1,0.5387230882633678,0.9487020390201952,0,0.5692212234121172,2,2.25,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H18 O5 N4 S2,8,18,5,4,-9999,2,-9999,N/A,-9999
126,313.098374,313.0984312487756,313.0982512468991,944127.1,-9999,693846.2,13.48,-1,0.5749054036500856,0.9417911534110656,0,0.5650746920466393,15,0.7,0.1,N2 O2,de-protonated,0,-9999,C20 H14 O2 N2,20,14,2,2,-9999,-9999,-9999,N/A,-9999
127,313.101078,313.10113524889334,313.1009711015391,12149247,-9999,532624.2,196.59,-1,0.5242633189273268,0.6319193350729254,0.9246029286024552,0.7489927724847374,1,2.4444444444444446,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H22 O4 N4 S2,9,22,4,4,-9999,2,-9999,N/A,-9999
130,313.172601,313.17265825200735,313.1726760358791,1118599.6,-9999,572437.6,16.33,-1,-0.05678615373300885,0.9994150595070784,0,0.599649035704247,8,1.35,0.05,P1 O1,de-protonated,0,-9999,C20 H27 O1 P1,20,27,1,-9999,1,-9999,-9999,N/A,-9999
133,314.104445,314.1045022925777,314.1043259366091,1697396.1,-9999,581392.7,25.79,-1,0.561456669193525,0.6296042515352253,0.9246029286024552,0.7476037223621173,1,2.75,0.5,13C1 N4 S2 O4,de-protonated,1,127,C8 H22 O4 N4 S2 13C1,8,22,4,4,-9999,2,1,N/A,-9999
135,315.043939,315.0439963334811,315.0441214734591,2476003,-9999,549512.5,38.51,-1,-0.3972141342689188,0.9717771166245448,0,0.5830662699747268,16,0.5294117647058824,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H9 O1 N4 P1,17,9,1,4,1,-9999,-9999,N/A,-9999
135,315.043939,315.0439963334811,315.0438501472991,2476003,-9999,549512.5,38.51,-1,0.46401852294281815,0.9616850282354036,0,0.577011016941242,2,2.2857142857142856,0.8571428571428571,N4 S2 O6,de-protonated,0,-9999,C7 H16 O6 N4 S2,7,16,6,4,-9999,2,-9999,N/A,-9999
137,315.080367,315.0804243350671,315.0802356566491,8380135,-9999,527963.3,134.99,-1,0.5988265738265857,0.9370053594630504,0,0.5622032156778303,1,2.5,0.625,N4 S2 O5,de-protonated,0,-9999,C8 H20 O5 N4 S2,8,20,5,4,-9999,2,-9999,N/A,-9999
140,316.083693,316.0837503787496,316.0835301328491,1219423.1,-9999,575246.2,17.97,-1,0.6967965094569815,0.9156711900556104,0,0.5494027140333662,9,1.1176470588235294,0.0588235294117647,N1 S2 O1,de-protonated,0,-9999,C17 H19 O1 N1 S2,17,19,1,1,-9999,2,-9999,N/A,-9999
142,317.038503,317.03856042031987,317.03837084369906,1213394.8,-9999,665422.4,17.87,-1,0.5979611247298073,0.9371814740625328,0,0.5623088844375197,6,1.4,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H14 O4 N4 S2,10,14,4,4,-9999,2,-9999,N/A,-9999
143,317.059648,317.05970542124044,317.0597715379191,2745301.3,-9999,519224.5,42.91,-1,-0.20853064505969812,0.9921407451648208,0,0.5952844470988924,15,0.6470588235294118,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H11 O1 N4 P1,17,11,1,4,1,-9999,-9999,N/A,-9999
144,317.074874,317.0749314219034,317.07475635304905,1178455.3,-9999,573283.5,17.3,-1,0.5521374717625344,0.9461864065986572,0,0.5677118439591944,5,1.6363636363636365,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H18 O3 N4 S2,11,18,3,4,-9999,2,-9999,N/A,-9999
147,317.111249,317.11130642348706,317.11114186239905,1128283.6,-9999,552385.7,16.48,-1,0.5189382090037749,0.9523110519273972,0,0.5713866311564383,4,1.8333333333333333,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H22 O2 N4 S2,12,22,2,4,-9999,2,-9999,N/A,-9999
149,317.147694,317.1477514250738,317.1475273717491,2294240,-9999,643689.4,35.26,-1,0.7064640439015868,0.9134199955747768,0,0.5480519973448661,3,2,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H26 O1 N4 S2,13,26,1,4,-9999,2,-9999,N/A,-9999
150,319.05416,319.054217508077,319.05402090815903,2403532,-9999,499210.1,37.03,-1,0.6161963337633538,0.9334240413061784,0,0.5600544247837069,5,1.6,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H16 O4 N4 S2,10,16,4,4,-9999,2,-9999,N/A,-9999
151,319.075349,319.0754065089995,319.0754216023791,1132110.8,-9999,501981.4,16.41,-1,-0.04730348557200349,0.9995940692485856,0,0.5997564415491513,14,0.7647058823529411,0.0588235294117647,N4 P1 O1,de-protonated,0,-9999,C17 H13 O1 N4 P1,17,13,1,4,1,-9999,-9999,N/A,-9999
152,319.090581,319.0906385096626,319.0904064175091,2226896.8,-9999,530504.2,34.17,-1,0.7273554730645477,0.9084688320028258,0,0.5450812992016955,4,1.818181818181818,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H20 O3 N4 S2,11,20,3,4,-9999,2,-9999,N/A,-9999
154,319.12692500000003,319.126982511245,319.1267919268591,2013653.3,-9999,537350.6,30.71,-1,0.5972058464730625,0.9373349882984932,0,0.562400992979096,3,2,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H24 O2 N4 S2,12,24,2,4,-9999,2,-9999,N/A,-9999
155,319.163333,319.1633905128301,319.1631774362091,1307225.9,-9999,481235.5,19.25,-1,0.6676102887203422,0.92231145007099,0,0.553386870042594,2,2.1538461538461537,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H28 O1 N4 S2,13,28,1,4,-9999,2,-9999,N/A,-9999
157,321.033477,321.0335345942519,321.03328546326907,2153416.3,-9999,524969.4,32.97,-1,0.776028511963347,0.8964864741169148,0,0.5378918844701489,5,1.5555555555555556,0.5555555555555556,N4 S2 O5,de-protonated,0,-9999,C9 H14 O5 N4 S2,9,14,5,4,-9999,2,-9999,N/A,-9999
158,321.069837,321.0698945958349,321.06967097261906,3568589,-9999,533388.1,55.92,-1,0.6964943626341691,0.915741137167824,0,0.5494446823006943,4,1.8,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H18 O4 N4 S2,10,18,4,4,-9999,2,-9999,N/A,-9999
159,321.106235,321.1062925974196,321.106056481969,4364241.5,-9999,527164.6,68.83,-1,0.7353192063445725,0.9065507400068388,0,0.5439304440041033,3,2,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H22 O3 N4 S2,11,22,3,4,-9999,2,-9999,N/A,-9999
160,321.142665,321.1427225990057,321.1424419913191,2926550.5,-9999,528113,45.51,-1,0.873779513074976,0.8706333243188179,0,0.5223799945912907,2,2.1666666666666665,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H26 O2 N4 S2,12,26,2,4,-9999,2,-9999,N/A,-9999
161,321.179013,321.17907060058815,321.17882750066906,1047515.1,-9999,698075,15.04,-1,0.7568989555786071,0.9012692495859904,0,0.5407615497515942,1,2.3076923076923075,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H30 O1 N4 S2,13,30,1,4,-9999,2,-9999,N/A,-9999
165,323.04914,323.04919768200926,323.04893552772904,3952849.3,-9999,545773,61.32,-1,0.8115002137166661,0.8873729927854291,0,0.5324237956712574,4,1.7777777777777777,0.5555555555555556,N4 S2 O5,de-protonated,0,-9999,C9 H16 O5 N4 S2,9,16,5,4,-9999,2,-9999,N/A,-9999
167,323.085508,323.0855656835926,323.08532103707904,6847190,-9999,521553.6,107.63,-1,0.7572195257702553,0.9011898766847743,0,0.5407139260108647,3,2,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H20 O4 N4 S2,10,20,4,4,-9999,2,-9999,N/A,-9999
169,323.1219,323.121957685177,323.12170654642904,7698139,-9999,499562.3,121.25,-1,0.7772264842247811,0.9039440939433014,0.9312166568995758,0.9148531191258112,2,2.1818181818181817,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H24 O3 N4 S2,11,24,3,4,-9999,2,-9999,N/A,-9999
170,323.158313,323.1583706867624,323.1580920557791,3295455.8,-9999,591003.9,50.8,-1,0.8622126140496755,0.8738112608972975,0,0.5242867565383785,1,2.3333333333333335,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H28 O2 N4 S2,12,28,2,4,-9999,2,-9999,N/A,-9999
174,324.125235,324.1252927288599,324.1250613814991,1634146,-9999,613356.7,24.22,-1,0.7137595587625799,0.9117043450237144,0.9312166568995758,0.9195092697740588,2,2.4,0.3,13C1 N4 S2 O3,de-protonated,1,169,C10 H24 O3 N4 S2 13C1,10,24,3,4,-9999,2,1,N/A,-9999
175,325.06481,325.0648677697669,325.0645855921891,6324194.5,-9999,546771,99.26,-1,0.8680661946925508,0.8722068701292788,0,0.5233241220775673,3,2,0.5555555555555556,N4 S2 O5,de-protonated,0,-9999,C9 H18 O5 N4 S2,9,18,5,4,-9999,2,-9999,N/A,-9999
177,325.098167,325.0982247712192,325.0982512468991,895975.1,-9999,614048.8,12.4,-1,-0.08143901060536456,0.9987972994437688,0,0.5992783796662613,16,0.6666666666666666,0.09523809523809525,N2 O2,de-protonated,0,-9999,C21 H14 O2 N2,21,14,2,2,-9999,-9999,-9999,N/A,-9999
178,325.101196,325.1012537713511,325.100971101539,12885992,-9999,543963.4,204.25,-1,0.8694831366019488,0.5917716957816554,0.9252838293532616,0.725176549210298,2,2.2,0.4,N4 S2 O4,de-protonated,0,-9999,C10 H22 O4 N4 S2,10,22,4,4,-9999,2,-9999,N/A,-9999
181,325.137549,325.13760677293374,325.13735661088907,7679980.5,-9999,506151.8,120.95,-1,0.7694041905018215,0.8673890712632304,0.9222616714450228,0.8893381113359473,1,2.363636363636364,0.2727272727272727,N4 S2 O3,de-protonated,0,-9999,C11 H26 O3 N4 S2,11,26,3,4,-9999,2,-9999,N/A,-9999
182,325.173933,325.17399077451785,325.17374212023907,1967601.6,-9999,596027.3,29.55,-1,0.764681296701701,0.8993348462802545,0,0.5396009077681527,0,2.5,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H30 O2 N4 S2,12,30,2,4,-9999,2,-9999,N/A,-9999
183,325.18966,325.18971777520255,325.1897826519391,1711603.8,-9999,606721.8,25.45,-1,-0.19950422796644224,0.9928040068642024,0,0.5956824041185215,0,2.3846153846153846,0.38461538461538464,N2 P1 O5,de-protonated,0,-9999,C13 H31 O5 N2 P1,13,31,5,2,1,-9999,-9999,N/A,-9999
