Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
65,313.092948,313.0929418693301,313.0928910843791,983389.2,-9999,762505.6,14.4,-1,0.16220410118537282,0.9952374313044756,0,0.5971424587826853,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,-9999,C14 H18 O8,14,18,8,-9999,-9999,-9999,-9999,N/A,-9999,N/A
66,319.082355,319.08234873827894,319.0823264003491,859360,-9999,702025.1,12.25,-1,0.07000679139822584,0.9991111241924217,0,0.599466674515453,9,1,0.4375,O7,de-protonated,0,-9999,C16 H16 O7,16,16,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A
66,319.082355,319.08234873827894,319.0821642090191,859360,-9999,702025.1,12.25,-1,0.5783126747682855,0.9411199227933346,0,0.5646719536760008,4,1.9090909090909092,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H21 O1 N4 P1 S2,11,21,1,4,1,2,-9999,N/A,-9999,N/A
67,319.118676,319.1186697374842,319.1187119096991,1478499.4,-9999,641480.8,22.49,-1,-0.13215212177129956,0.9968361624005933,0,0.5981016974403559,8,1.1764705882352942,0.35294117647058826,O6,de-protonated,0,-9999,C17 H20 O6,17,20,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
68,319.119345,319.1193387374696,319.11958128956906,874083.4,-9999,752168.3,12.49,-1,-0.7600664881500493,0.9004838044599831,0,0.5402902826759899,7,1.3333333333333333,0.05555555555555555,S2 O1,de-protonated,0,-9999,C18 H24 O1 S2,18,24,1,-9999,-9999,2,-9999,N/A,-9999,N/A
69,321.097972,321.09796569417625,321.0979764648091,2145567.3,-9999,671240.1,33.53,-1,-0.03354313525581753,0.9997958653145166,0,0.5998775191887099,8,1.125,0.4375,O7,de-protonated,0,-9999,C16 H18 O7,16,18,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A
69,321.097972,321.09796569417625,321.09781427347906,2145567.3,-9999,671240.1,33.53,-1,0.47157187144335794,0.960452679712358,0,0.5762716078274148,3,2.090909090909091,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H23 O1 N4 P1 S2,11,23,1,4,1,2,-9999,N/A,-9999,N/A
70,321.098586,321.0985796941628,321.0988458446791,1161759.4,-9999,875615.7,17.25,-1,-0.8288740981539149,0.8827960288631692,0,0.5296776173179015,7,1.2941176470588236,0.1176470588235294,S2 O2,de-protonated,0,-9999,C17 H22 O2 S2,17,22,2,-9999,-9999,2,-9999,N/A,-9999,N/A
71,321.134387,321.13438069337946,321.13436197415905,1362978.9,-9999,646403.6,20.58,-1,0.05829092935294185,0.999383657783524,0,0.5996301946701144,7,1.2941176470588236,0.35294117647058826,O6,de-protonated,0,-9999,C17 H22 O6,17,22,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
72,323.077246,323.07723965086876,323.0772410199191,1706981.4,-9999,640724,25.98,-1,-0.00423753254624822,0.999996741788934,0,0.5999980450733603,8,1.0666666666666669,0.5333333333333333,O8,de-protonated,0,-9999,C15 H16 O8,15,16,8,-9999,-9999,-9999,-9999,N/A,-9999,N/A
72,323.077246,323.07723965086876,323.0770788285891,1706981.4,-9999,640724,25.98,-1,0.49778300661481695,0.956034964483818,0,0.5736209786902907,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2,-9999,N/A,-9999,N/A
