Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
31,326.187665,326.18764646209354,326.1874006058591,1847208.3,-9999,579954.4,28.6,-1,0.7537269494710088,0.902053199175616,0,0.5412319195053696,9,1.3157894736842106,0.10526315789473684,N3 O2,de-protonated,0,-9999,C19 H25 O2 N3,19,25,2,3,-9999,-9999,-9999
32,327.108543,327.10852456472173,327.10854114883904,994300.9,-9999,494823.6,14.48,-1,-0.05069912649200153,0.9995337127834582,0,0.5997202276700748,6,1.3333333333333333,0.5333333333333333,O8,de-protonated,0,-9999,C15 H20 O8,15,20,8,-9999,-9999,-9999,-9999
32,327.108543,327.10852456472173,327.1083789575091,994300.9,-9999,494823.6,14.48,-1,0.44513446306171495,0.9646855422153154,0,0.5788113253291892,1,2.5,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H25 O2 N4 P1 S2,10,25,2,4,1,2,-9999
33,333.097961,333.09794323221826,333.0979764648091,909647.2,-9999,547141.5,12.88,-1,-0.09976821595957812,0.9981955447611724,0,0.5989173268567034,9,1.0588235294117647,0.4117647058823529,O7,de-protonated,0,-9999,C17 H18 O7,17,18,7,-9999,-9999,-9999,-9999
33,333.097961,333.09794323221826,333.09781427347906,909647.2,-9999,547141.5,12.88,-1,0.38714976103303944,0.9731700678173306,0,0.5839020406903983,4,1.9166666666666667,0.08333333333333333,N4 S2 P1 O1,de-protonated,0,-9999,C12 H23 O1 N4 P1 S2,12,23,1,4,1,2,-9999
34,333.134358,333.13434023627457,333.13436197415905,882387.1,-9999,659262.5,12.44,-1,-0.06525260364040522,0.9992277075959236,0,0.5995366245575542,8,1.2222222222222223,0.3333333333333333,O6,de-protonated,0,-9999,C18 H22 O6,18,22,6,-9999,-9999,-9999,-9999
35,335.077198,335.0771804527963,335.0772410199191,911908.6,-9999,520640,12.92,-1,-0.1807557045318273,0.9940891334828038,0,0.5964534800896822,9,1,0.5,O8,de-protonated,0,-9999,C16 H16 O8,16,16,8,-9999,-9999,-9999,-9999
35,335.077198,335.0771804527963,335.0770788285891,911908.6,-9999,520640,12.92,-1,0.3032860605492251,0.9834484160352835,0,0.5900690496211701,4,1.9090909090909092,0.18181818181818185,N4 S2 P1 O2,de-protonated,0,-9999,C11 H21 O2 N4 P1 S2,11,21,2,4,1,2,-9999
36,335.113647,335.1136294568584,335.1136265292691,1357736.6,-9999,509023.5,20.19,-1,0.00873610945490204,0.999986152003199,0,0.5999916912019193,8,1.1764705882352942,0.4117647058823529,O7,de-protonated,0,-9999,C17 H20 O7,17,20,7,-9999,-9999,-9999,-9999
36,335.113647,335.1136294568584,335.1134643379391,1357736.6,-9999,509023.5,20.19,-1,0.4927254105972865,0.9569043798451186,0,0.5741426279070712,3,2.0833333333333335,0.08333333333333333,N4 S2 P1 O1,de-protonated,0,-9999,C12 H25 O1 N4 P1 S2,12,25,1,4,1,2,-9999
37,335.150038,335.150020460914,335.1500120386191,967980.6,-9999,705476.7,13.83,-1,0.02512992573098731,0.9998854193302814,0,0.5999312515981688,7,1.3333333333333333,0.3333333333333333,O6,de-protonated,0,-9999,C18 H24 O6,18,24,6,-9999,-9999,-9999,-9999
38,337.092884,337.0928666774364,337.0928910843791,1734918.9,-9999,559709.6,25.96,-1,-0.07240420477418313,0.999049231322792,0,0.5994295387936752,8,1.125,0.5,O8,de-protonated,0,-9999,C16 H18 O8,16,18,8,-9999,-9999,-9999,-9999
38,337.092884,337.0928666774364,337.09272889304907,1734918.9,-9999,559709.6,25.96,-1,0.4087432789983595,0.9701400603137756,0,0.5820840361882653,3,2.090909090909091,0.18181818181818185,N4 S2 P1 O2,de-protonated,0,-9999,C11 H23 O2 N4 P1 S2,11,23,2,4,1,2,-9999
39,337.129351,337.1293336815005,337.12927659372906,1609739,-9999,579882.7,23.94,-1,0.16933495665191714,0.994810592675959,0,0.5968863556055753,7,1.2941176470588236,0.4117647058823529,O7,de-protonated,0,-9999,C17 H22 O7,17,22,7,-9999,-9999,-9999,-9999
39,337.129351,337.1293336815005,337.12911440239907,1609739,-9999,579882.7,23.94,-1,0.6504306275006551,0.9261086844127764,0,0.5556652106476658,2,2.25,0.08333333333333333,N4 S2 P1 O1,de-protonated,0,-9999,C12 H27 O1 N4 P1 S2,12,27,1,4,1,2,-9999
40,337.205515,337.20549768998865,337.2054189157491,1034387.8,-9999,541777.1,14.69,-1,0.2336090559338955,0.9901466318737352,0,0.594087979124241,0,2.125,0.3125,S1 O5,de-protonated,0,-9999,C16 H34 O5 S1,16,34,5,-9999,-9999,1,-9999
41,339.07221,339.0721928980243,339.0721556394891,1169645.8,-9999,623037.6,16.86,-1,0.10988379488377815,0.997811505457728,0,0.5986869032746368,8,1.0666666666666669,0.6,O9,de-protonated,0,-9999,C15 H16 O9,15,16,9,-9999,-9999,-9999,-9999
41,339.07221,339.0721928980243,339.07199344815905,1169645.8,-9999,623037.6,16.86,-1,0.5882227642013402,0.93914786839387,0,0.563488721036322,3,2.1,0.3,N4 S2 P1 O3,de-protonated,0,-9999,C10 H21 O3 N4 P1 S2,10,21,3,4,1,2,-9999
42,339.108537,339.1085199020728,339.10854114883904,1593202,-9999,495705.1,23.68,-1,-0.06265476575003037,0.999287955092081,0,0.5995727730552486,7,1.25,0.5,O8,de-protonated,0,-9999,C16 H20 O8,16,20,8,-9999,-9999,-9999,-9999
42,339.108537,339.1085199020728,339.1083789575091,1593202,-9999,495705.1,23.68,-1,0.4156327960940872,0.9691407999372328,0,0.5814844799623395,2,2.272727272727273,0.18181818181818185,N4 S2 P1 O2,de-protonated,0,-9999,C11 H25 O2 N4 P1 S2,11,25,2,4,1,2,-9999
43,339.144982,339.1449649061345,339.1449266581891,948854.4,-9999,566049.3,13.31,-1,0.11277758379050454,0.9976948543977124,0,0.5986169126386275,6,1.411764705882353,0.4117647058823529,O7,de-protonated,0,-9999,C17 H24 O7,17,24,7,-9999,-9999,-9999,-9999
43,339.144982,339.1449649061345,339.14476446685904,948854.4,-9999,566049.3,13.31,-1,0.591013916274535,0.9385871528380884,0,0.5631522917028531,1,2.4166666666666665,0.08333333333333333,N4 S2 P1 O1,de-protonated,0,-9999,C12 H29 O1 N4 P1 S2,12,29,1,4,1,2,-9999
44,339.199959,339.1999419122614,339.1999396121491,4984829,-9999,527171.9,78.21,-1,0.00678099274070456,0.9999634892839404,0.966821072841958,0.9867065227071472,4,1.6842105263157894,0.15789473684210523,S1 O3,de-protonated,0,-9999,C19 H32 O3 S1,19,32,3,-9999,-9999,1,-9999
45,340.203305,340.2032880240803,340.20329444721915,1274741.6,-9999,596698.3,18.55,-1,-0.01888029591540554,0.9999353218816288,0.966821072841958,0.9866896222657604,4,1.7777777777777777,0.16666666666666666,13C1 S1 O3,de-protonated,1,44,C18 H32 O3 S1 13C1,18,32,3,-9999,-9999,1,1
45,340.203305,340.2032880240803,340.2030506703191,1274741.6,-9999,596698.3,18.55,-1,0.6976826360350616,0.9154659072954292,0,0.5492795443772576,9,1.35,0.1,N3 O2,de-protonated,0,-9999,C20 H27 O2 N3,20,27,2,3,-9999,-9999,-9999
46,341.087816,341.0877991226555,341.0878057039491,879585.9,-9999,501211.8,12.2,-1,-0.0192950127968035,0.999932449385937,0,0.5999594696315621,7,1.2,0.6,O9,de-protonated,0,-9999,C15 H18 O9,15,18,9,-9999,-9999,-9999,-9999
46,341.087816,341.0877991226555,341.0876435126191,879585.9,-9999,501211.8,12.2,-1,0.4562171611172802,0.962938570752089,0,0.5777631424512534,2,2.3,0.3,N4 S2 P1 O3,de-protonated,0,-9999,C10 H23 O3 N4 P1 S2,10,23,3,4,1,2,-9999
47,341.124261,341.12424412671714,341.12419121329907,1135846.4,-9999,498502,16.32,-1,0.15511482163016616,0.9956437504082708,0,0.5973862502449625,6,1.375,0.5,O8,de-protonated,0,-9999,C16 H22 O8,16,22,8,-9999,-9999,-9999,-9999
47,341.124261,341.12424412671714,341.1240290219691,1135846.4,-9999,498502,16.32,-1,0.63057635863973,0.9303924300290224,0,0.5582354580174135,1,2.4545454545454546,0.18181818181818185,N4 S2 P1 O2,de-protonated,0,-9999,C11 H27 O2 N4 P1 S2,11,27,2,4,1,2,-9999
48,347.077257,347.07724079015463,347.0772410199191,890606,-9999,565353.1,12.18,-1,-6.6199803859773e-4,0.9999999204816764,0,0.5999999522890057,10,0.9411764705882352,0.4705882352941176,O8,de-protonated,0,-9999,C17 H16 O8,17,16,8,-9999,-9999,-9999,-9999
48,347.077257,347.07724079015463,347.0770788285891,890606,-9999,565353.1,12.18,-1,0.46664437215282695,0.9612586916708072,0,0.5767552150024843,5,1.75,0.16666666666666666,N4 S2 P1 O2,de-protonated,0,-9999,C12 H21 O2 N4 P1 S2,12,21,2,4,1,2,-9999
49,347.113669,347.1136527942126,347.1136265292691,1188083,-9999,515667.4,16.89,-1,0.07566670254679976,0.9989616640859486,0,0.5993769984515691,9,1.1111111111111112,0.3888888888888889,O7,de-protonated,0,-9999,C18 H20 O7,18,20,7,-9999,-9999,-9999,-9999
49,347.113669,347.1136527942126,347.1134643379391,1188083,-9999,515667.4,16.89,-1,0.5429241239010457,0.9479201472616806,0,0.5687520883570083,4,1.9230769230769231,0.07692307692307693,N4 S2 P1 O1,de-protonated,0,-9999,C13 H25 O1 N4 P1 S2,13,25,1,4,1,2,-9999
