Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S
21,287.077233,287.0772323027459,287.0772410199191,1416826,-9999,691990,22.16,-1,-0.03036525336645127,0.9998327094852546,0,0.5998996256911527,5,1.3333333333333333,0.6666666666666666,O8,de-protonated,0,N/A,C12 H16 O8,12,16,8,-9999,-9999,-9999
22,289.035353,289.0353523001168,289.0353762069691,861078.6,-9999,709492.8,12.69,-1,-0.08271254747812885,0.9987594133801924,0,0.5992556480281154,10,0.7142857142857143,0.5,O7,de-protonated,0,N/A,C14 H10 O7,14,10,7,-9999,-9999,-9999
22,289.035353,289.0353523001168,289.0352140156391,861078.6,-9999,709492.8,12.69,-1,0.4784347062518868,0.9593171379814636,0,0.575590282788878,5,1.6666666666666667,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,N/A,C9 H15 O1 N4 P1 S2,9,15,1,4,1,2
23,293.030286,293.030285294753,293.0302908265391,1239889.9,-9999,605975,19.03,-1,-0.01887786437154009,0.9999353385394684,0,0.599961203123681,9,0.7692307692307693,0.6153846153846154,O8,de-protonated,0,N/A,C13 H10 O8,13,10,8,-9999,-9999,-9999
23,293.030286,293.030285294753,293.0301286352091,1239889.9,-9999,605975,19.03,-1,0.5346192373940126,0.949460593984812,0,0.5696763563908872,4,1.875,0.25,N4 S2 P1 O2,de-protonated,0,N/A,C8 H15 O2 N4 P1 S2,8,15,2,4,1,2
24,293.066704,293.06670329470415,293.0666763358891,1161556.6,-9999,642476,17.7,-1,0.09198867436221068,0.9984657745488832,0,0.5990794647293298,8,1,0.5,O7,de-protonated,0,N/A,C14 H14 O7,14,14,7,-9999,-9999,-9999
24,293.066704,293.06670329470415,293.06651414455905,1161556.6,-9999,642476,17.7,-1,0.6454171185549411,0.9272010488697556,0,0.5563206293218534,3,2.111111111111111,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,N/A,C9 H19 O1 N4 P1 S2,9,19,1,4,1,2
25,293.103061,293.10306029465534,293.1030618452391,1172439.5,-9999,654154.6,17.89,-1,-0.00529023392380671,0.9999949218856312,0,0.5999969531313787,7,1.2,0.4,O6,de-protonated,0,N/A,C15 H18 O6,15,18,6,-9999,-9999,-9999
26,293.175775,293.1757742945577,293.1758328639391,936925.3,-9999,683256,13.89,-1,-0.1997756118655679,0.9927844871011884,0,0.5956706922607129,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,N/A,C17 H26 O4,17,26,4,-9999,-9999,-9999
27,293.179181,293.17918029455313,293.17920416725906,1608541.5,-9999,646340.7,25.28,-1,-0.08142700977678452,0.9987976536636898,0,0.5992785921982139,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,N/A,C14 H30 O4 S1,14,30,4,-9999,-9999,1
