Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
140,311.040833,311.0408555182022,311.0406933192391,1538629.5,-9999,441069.6,22.81,-1,0.5214718414022501,0.9518556687974954,0,0.5711134012784972,3,2.125,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H17 O3 N4 P1 S2,8,17,3,4,1,2,-9999,N/A,-9999
141,311.076088,311.0761104394857,311.07620944871906,1481417.5,-9999,726179.3,21.89,-1,-0.3182796701606557,0.9817867967377104,0,0.5890720780426262,3,2.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H17 O7 N4 P1,8,17,7,4,1,-9999,-9999,N/A,-9999
142,311.076894,311.07691643768607,311.0770788285891,3013833.5,-9999,422321.9,46.54,-1,-0.522027864091169,0.9517554643696168,0,0.5710532786217701,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2,-9999,N/A,-9999
143,311.077365,311.07738743663447,311.0772410199191,3965641.8,-9999,437514,61.84,-1,0.4706763982515741,0.9605997351146413,0,0.5763598410687847,7,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,-9999,C14 H16 O8,14,16,8,-9999,-9999,-9999,-9999,N/A,-9999
143,311.077365,311.07738743663447,311.0770788285891,3965641.8,-9999,437514,61.84,-1,0.99206295280516,0.8364573187980251,0,0.5018743912788151,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2,-9999,N/A,-9999
144,311.113603,311.1136253557232,311.1136265292691,4631245.5,-9999,305493.1,72.54,-1,-0.00377208135884933,0.999997418242958,0,0.5999984509457748,6,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,-9999,C15 H20 O7,15,20,7,-9999,-9999,-9999,-9999,N/A,-9999
144,311.113603,311.1136253557232,311.1134643379391,4631245.5,-9999,305493.1,72.54,-1,0.5175532483717411,0.9525591322796548,0,0.5715354793677929,1,2.5,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H25 O1 N4 P1 S2,10,25,1,4,1,2,-9999,N/A,-9999
145,311.149763,311.149785274986,311.1500120386191,1165393.9,-9999,456425.2,16.81,-1,-0.7287919790843023,0.9081240899606184,0,0.544874453976371,5,1.5,0.375,O6,de-protonated,0,-9999,C16 H24 O6,16,24,6,-9999,-9999,-9999,-9999,N/A,-9999
146,311.150197,311.150219274017,311.1500120386191,1226961.9,-9999,458082.6,17.8,-1,0.6660304994076871,0.9226641070518428,0,0.5535984642311056,5,1.5,0.375,O6,de-protonated,0,-9999,C16 H24 O6,16,24,6,-9999,-9999,-9999,-9999,N/A,-9999
148,311.168724,311.16874623265034,311.16863948322913,17767636,-9999,468377.8,283.79,-1,0.34305970352240495,0.969803468865266,0.9917367620626664,0.9785767861442262,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999,N/A,-9999
153,312.171686,312.1717059932618,312.17199431829914,2083142.3,-9999,1034767,31.3,-1,0.4698499355902746,0.96073522944262,0.9917367620626664,0.9731358424906384,4,1.75,0.1875,13C1 S1 O3,de-protonated,1,148,C16 H28 O3 S1 13C1,16,28,3,-9999,-9999,1,1,N/A,-9999
153,312.171686,312.1717059932618,312.1717505413991,2083142.3,-9999,1034767,31.3,-1,-0.1427039352692979,0.9963117224543858,0,0.5977870334726315,9,1.2777777777777777,0.1111111111111111,N3 O2,de-protonated,0,-9999,C18 H23 O2 N3,18,23,2,3,-9999,-9999,-9999,N/A,-9999
154,312.172121,312.17214099229057,312.17199431829914,3063110.3,-9999,511809.8,46.92,-1,0.4698499355902746,0.96073522944262,0.9917367620626664,0.9731358424906384,4,1.75,0.1875,13C1 S1 O3,de-protonated,1,148,C16 H28 O3 S1 13C1,16,28,3,-9999,-9999,1,1,N/A,-9999
156,313.056403,313.0564210178877,313.0565055750291,1808684.6,-9999,515921.2,26.92,-1,-0.2701018503058345,0.9868496409261972,0,0.5921097845557184,7,1.0769230769230769,0.6923076923076923,O9,de-protonated,0,-9999,C13 H14 O9,13,14,9,-9999,-9999,-9999,-9999,N/A,-9999
156,313.056403,313.0564210178877,313.056343383699,1808684.6,-9999,515921.2,26.92,-1,0.24798791124906625,0.9889032956599204,0,0.5933419773959522,2,2.375,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H19 O3 N4 P1 S2,8,19,3,4,1,2,-9999,N/A,-9999
