Sorting code,Citation,Study Codes,Data point code,Scientific Name,Common Name 2,Nativity,Authority,sp_code,variety,Subspecies,Species,Genus,plant form,Subfamily,Family,Order,Subclass,Class,Subdivision,Division,Superdivision,Subkingdom,Kingdom,Plant type,Clade,Latitude 2,Longitude 2,Lat_DD,Long_DD,"State, Territory, or Region",Country,Continent,"Elev (m, asl) 3",Source for elevation data,Stream order,Stream order 2,Land use,Duration (d),Duration (dd) 2,# sampling dates,mesh size category,T50 (d),k (d),n,estimated k?,equation used,min (ºC),max (ºC),range (ºC),mean (ºC),estimated mean?
23,Goncalves et al. 2006 JNABS,ST,NG23,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,37.28,-8.01,37.4667,-8.0169,"near Almodovar, Southern (Mediterranean)",Portugal,Europe,270,Reported value,4,4,shrubland,92,1224,6,coarse,50.59,0.0137,18,no,exponential,6.5,20,13.5,13.3,N
24,Goncalves et al. 2006 JNABS,ST,NG24,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,37.28,-8.01,37.4667,-8.0169,"near Almodovar, Southern (Mediterranean)",Portugal,Europe,270,Reported value,4,4,shrubland,92,1224,6,fine,74.53,0.0093,18,no,exponential,6.5,20,13.5,13.3,N
25,Goncalves et al. 2006 JNABS,,NG25,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-19.164,-43.312,-19.0194,-43.0083,"Serra do Cipo National Park, Minas Gerais (tropical Cerrado)",Brazil,South America,1450,Reported value,3,3,shrubland,75,1163,6,coarse,50.97,0.0136,18,no,exponential,14.5,16.5,2,15.5,N
26,Goncalves et al. 2006 JNABS,,NG26,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-19.164,-43.312,-19.0194,-43.0083,"Serra do Cipo National Park, Minas Gerais (tropical Cerrado)",Brazil,South America,1450,Reported value,3,3,shrubland,75,1163,6,fine,48.47,0.0143,18,no,exponential,14.5,16.5,2,15.5,N
27,Goncalves et al. 2007 Freshwater Biology,,NG27,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.06,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,forest - unspecified,35,371,4,coarse,121.6,0.0057,12,no,exponential,7.5,12.4,4.9,10.6,N
28,Goncalves et al. 2007 Freshwater Biology,,NG28,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.06,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,forest - unspecified,35,371,4,fine,147.48,0.0047,12,no,exponential,7.5,12.4,4.9,10.6,N
29,Goncalves et al. 2007 Freshwater Biology,,NG29,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.06,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,forest - unspecified,63,1058,6,coarse,126.03,0.0055,18,no,exponential,14.4,19.2,4.8,16.8,Y
30,Goncalves et al. 2007 Freshwater Biology,,NG30,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.06,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,forest - unspecified,63,1058,6,fine,150.68,0.0046,18,no,exponential,14.4,19.2,4.8,16.8,Y
31,Goncalves et al. 2007 Freshwater Biology,,NG31,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-19.1604,-43.3102,-19.0028,-43.0056,"Serra do Cipo National Park, Minas Gerais (tropical Cerrado)",Brazil,South America,1450,Reported value,3,3,forest - unspecified,75,1163,6,coarse,330.07,0.0021,18,no,exponential,14.5,16.5,2,15.5,N
32,Goncalves et al. 2007 Freshwater Biology,,NG32,Protium brasiliense,,,Engl.,brasiliense,,,brasiliense,Protium,tree,,Burseraceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-19.1604,-43.3102,-19.0028,-43.0056,"Serra do Cipo National Park, Minas Gerais (tropical Cerrado)",Brazil,South America,1450,Reported value,3,3,forest - unspecified,75,1163,6,fine,433.22,0.0016,18,no,exponential,14.5,16.5,2,15.5,N
33,Graca and Pereira 1995,,NG33,Pinus pinaster,maritime pine,,Aiton,pinaster,,,pinaster,Pinus,tree,,Pinaceae,Pinales,Pinidae,Pinopsida,Pinicae,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,coniferous needle,Gymnosperm,45.12,-8.25,38.0333,-8.3728,"Mondego River Basin, Central",Portugal,Europe,50,Google Earth,3,3,forest - unspecified,160,2288,9,coarse,177.73,0.0039,18,no,exponential,13,16,3,14.3,N
34,Graca and Pereira 1995,,NG34,Pinus pinaster,maritime pine,,Aiton,pinaster,,,pinaster,Pinus,tree,,Pinaceae,Pinales,Pinidae,Pinopsida,Pinicae,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,coniferous needle,Gymnosperm,45.12,-8.25,38.0333,-8.3728,"Mondego River Basin, Central",Portugal,Europe,50,Google Earth,3,3,forest - unspecified,160,2288,9,fine,266.6,0.0026,18,no,exponential,13,16,3,14.3,N
35,Gulis et al. 2006 Freshwater Biology,,NG35,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.0444,-8.121,40.0789,-8.2058,"Vouga and Mondego river basins, Central",Portugal,Europe,620,Reported value,,,forest - unspecified,26,278,5,coarse,15.02,0.0461,22,no,exponential,,,0,10.7,N
36,Gulis et al. 2006 Freshwater Biology,,NG36,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3201,-8.0915,40.5336,-8.1542,"Vouga and Mondego river basins, Central",Portugal,Europe,210,Reported value,,,forest - unspecified,26,286,5,coarse,6.17,0.1124,22,no,exponential,,,0,11,N
37,Gulis et al. 2006 Freshwater Biology,,NG37,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.0521,-8.1206,40.0892,-8.2017,"Vouga and Mondego river basins, Central",Portugal,Europe,520,Reported value,,,forest - unspecified,26,276,2,coarse,17.65,0.0393,6,no,exponential,,,0,10.6,N
38,Gulis et al. 2006 Freshwater Biology,,NG38,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3205,-8.0931,40.5347,-8.1586,"Vouga and Mondego river basins, Central",Portugal,Europe,215,Reported value,,,forest - unspecified,26,281,2,coarse,15.52,0.0447,6,no,exponential,,,0,10.8,N
39,Gulis et al. 2006 Freshwater Biology,,NG39,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3544,-8.103,40.5956,-8.1675,"Vouga and Mondego river basins, Central",Portugal,Europe,805,Reported value,,,forest - unspecified,26,247,2,coarse,10.02,0.0692,6,no,exponential,,,0,9.5,N
40,Gulis et al. 2006 Freshwater Biology,,NG40,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3412,-8.0904,40.57,-8.1511,"Vouga and Mondego river basins, Central",Portugal,Europe,455,Reported value,,,forest - unspecified,26,278,2,coarse,10.38,0.0667,6,no,exponential,,,0,10.7,N
41,Gulis et al. 2006 Freshwater Biology,,NG41,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3159,-8.1353,40.5331,-8.2314,"Vouga and Mondego river basins, Central",Portugal,Europe,570,Reported value,,,forest - unspecified,22,253,2,coarse,32.84,0.0211,6,no,exponential,,,0,11.5,N
42,Gulis et al. 2006 Freshwater Biology,,NG42,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3404,-8.0903,40.5678,-8.1508,"Vouga and Mondego river basins, Central",Portugal,Europe,430,Reported value,,,forest - unspecified,22,242,2,coarse,7.72,0.0898,6,no,exponential,,,0,11,N
43,Gulis et al. 2006 Freshwater Biology,,NG43,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3129,-8.1108,40.5247,-8.1856,"Vouga and Mondego river basins, Central",Portugal,Europe,255,Reported value,,,forest - unspecified,22,227,2,coarse,13.85,0.0501,6,no,exponential,,,0,10.3,N
44,Gulis et al. 2006 Freshwater Biology,,NG44,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3228,-8.0718,40.5411,-8.1217,"Vouga and Mondego river basins, Central",Portugal,Europe,245,Reported value,,,forest - unspecified,22,242,2,coarse,4.68,0.1482,6,no,exponential,,,0,11,N
45,Gulis et al. 2006 Freshwater Biology,,NG45,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.0444,-8.121,40.0789,-8.2058,"Vouga and Mondego river basins, Central",Portugal,Europe,620,Reported value,,,forest - unspecified,57,610,5,coarse,31.07,0.0223,22,no,exponential,,,0,10.7,N
46,Gulis et al. 2006 Freshwater Biology,,NG46,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3201,-8.0915,40.5336,-8.1542,"Vouga and Mondego river basins, Central",Portugal,Europe,210,Reported value,,,forest - unspecified,57,627,5,coarse,11.45,0.0606,22,no,exponential,,,0,11,N
47,Gulis et al. 2006 Freshwater Biology,,NG47,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.0521,-8.1206,40.0892,-8.2017,"Vouga and Mondego river basins, Central",Portugal,Europe,520,Reported value,,,forest - unspecified,57,604,2,coarse,47.39,0.0146,6,no,exponential,,,0,10.6,N
48,Gulis et al. 2006 Freshwater Biology,,NG48,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3205,-8.0931,40.5347,-8.1586,"Vouga and Mondego river basins, Central",Portugal,Europe,215,Reported value,,,forest - unspecified,57,616,2,coarse,26.98,0.0257,6,no,exponential,,,0,10.8,N
49,Gulis et al. 2006 Freshwater Biology,,NG49,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3544,-8.103,40.5956,-8.1675,"Vouga and Mondego river basins, Central",Portugal,Europe,805,Reported value,,,forest - unspecified,57,542,2,coarse,69.75,0.0099,6,no,exponential,,,0,9.5,N
50,Gulis et al. 2006 Freshwater Biology,,NG50,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3412,-8.0904,40.57,-8.1511,"Vouga and Mondego river basins, Central",Portugal,Europe,455,Reported value,,,forest - unspecified,57,610,2,coarse,35.55,0.0195,6,no,exponential,,,0,10.7,N
51,Gulis et al. 2006 Freshwater Biology,,NG51,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3159,-8.1353,40.5331,-8.2314,"Vouga and Mondego river basins, Central",Portugal,Europe,570,Reported value,,,forest - unspecified,42,483,2,coarse,90.17,0.0077,6,no,exponential,,,0,11.5,N
52,Gulis et al. 2006 Freshwater Biology,,NG52,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3404,-8.0903,40.5678,-8.1508,"Vouga and Mondego river basins, Central",Portugal,Europe,430,Reported value,,,forest - unspecified,42,462,2,coarse,18.96,0.0366,6,no,exponential,,,0,11,N
53,Gulis et al. 2006 Freshwater Biology,,NG53,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3129,-8.1108,40.5247,-8.1856,"Vouga and Mondego river basins, Central",Portugal,Europe,255,Reported value,,,forest - unspecified,42,433,2,coarse,42.49,0.0163,6,no,exponential,,,0,10.3,N
54,Gulis et al. 2006 Freshwater Biology,,NG54,Quercus sp.,oak,US,L.,quercus-sp,,,quercus-sp,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.3228,-8.0718,40.5411,-8.1217,"Vouga and Mondego river basins, Central",Portugal,Europe,245,Reported value,,,forest - unspecified,42,462,2,coarse,13.44,0.0516,6,no,exponential,,,0,11,N
