partnerid,part.str,k
62,62 4,0.000292812
63,63 1,0.000201028
63,63 2,0.000200694
65,65 1,0.00074975
65,65 2,0.000348396
65,65 3,0.004947853
66,66 1,0.000203021
66,66 2,0.000227008
66,66 3,0.000198246
66,66 4,0.000175161
68,68 1,0.004132857
68,68 2,0.008511577
68,68 3,0.000178221
68,68 4,0.006340365
72,72 1,0.016784308
72,72 2,0.00653352
72,72 3,0.005861731
72,72 4,0.020263106
73,73 1,0.005435843
73,73 2,0.006933515
73,73 3,0.008966768
73,73 4,0.000712126
74,74 1,0.002375891
74,74 3,0.004149063
74,74 4,0.003755068
75,75 1,0.008217189
75,75 2,0.002016127
75,75 3,0.000986799
75,75 4,0.001077135
77,77 1,0.006581211
77,77 2,0.000373336
77,77 3,0.000695711
77,77 4,0.002159321
78,78 1,0.002146571
78,78 2,0.000370571
78,78 3,0.003009408
78,78 4,0.000592938
79,79 1,0.011069436
79,79 2,0.008899833
79,79 3,0.000656987
79,79 4,0.000455003
80,80 1,0.000769193
80,80 2,0.001462825
80,80 3,0.002024091
80,80 4,0.001601143
82,82 1,0.002507851
82,82 2,0.00478052
82,82 3,0.004789914
83,83 1,0.002359164
83,83 2,0.002263645
83,83 3,0.002333595
84,84 1,0.000677254
84,84 2,0.003622727
84,84 3,0.000954722
84,84 4,0.000496556
85,85 3,0.00503711
85,85 5,0.004055755
85,85 6,0.004778562
85,85 7,0.000471679
85,85 8,0.008788007
87,87 1,0.007765493
87,87 2,0.007091993
87,87 3,0.006621098
87,87 4,0.005602505
89,89 1,0.001438582
89,89 2,0.003007645
89,89 3,0.002145339
89,89 4,0.001835529
90,90 1,0.001919214
90,90 3,0.006783537
91,91 1,0.000307147
91,91 2,0.004507974
91,91 3,0.003055179
93,93 1,0.000473363
93,93 2,0.001210575
93,93 3,0.000262834
93,93 4,0.000192328
94,94 1,0.003316264
94,94 2,0.000561096
94,94 3,0.001015265
94,94 4,0.000459481
97,97 1,0.006132279
97,97 2,0.006727765
97,97 3,0.00565945
97,97 4,0.006891221
98,98 1,0.007643363
98,98 2,0.002753044
98,98 3,0.002236039
98,98 4,0.001019825
99,99 2,0.005063457
99,99 3,0.005360412
99,99 4,0.005363863
100,100 1,0.005558986
100,100 2,0.001358204
100,100 3,0.003306044
100,100 4,0.003059272
101,101 1,0.006179071
101,101 3,0.001877286
101,101 4,0.003449123
102,102 1,0.003466088
102,102 2,0.013778139
102,102 3,0.002416139
102,102 4,0.000465224
103,103 1,0.000975327
103,103 2,0.001452341
103,103 3,0.001881341
103,103 5,0.000713825
103,103 6,0.000512309
104,104 1,0.001344682
104,104 2,0.000222248
104,104 3,0.000224514
104,104 4,0.000453863
105,105 1,0.011541406
105,105 2,0.008690863
105,105 3,0.009616363
105,105 4,0.009214816
107,107 1,0.005049484
109,109 1,0.001125721
109,109 2,0.002007049
109,109 3,0.001501278
109,109 4,0.002630262
110,110 1,0.004414788
110,110 2,0.001937383
110,110 3,0.003242305
110,110 4,0.00659758
111,111 2,0.009363226
111,111 3,0.006763294
111,111 4,0.010764574
112,112 3,0.000320362
113,113 1,0.003655571
113,113 2,0.002296104
113,113 3,0.008574993
113,113 4,0.007494037
116,116 1,0.000501084
116,116 2,0.000894277
116,116 3,0.001047482
116,116 4,0.000449501
116,116 11,0.000456426
116,116 12,0.000924282
116,116 13,0.000645514
116,116 14,0.000703247
119,119 1,0.003032314
119,119 2,0.006545285
119,119 3,0.005424984
119,119 4,0.004088167
120,120 1,0.000543194
120,120 3,0.000187513
120,120 4,0.000154404
121,121 1,0.000468983
121,121 2,0.000472056
121,121 3,0.000315058
121,121 4,0.000414178
122,122 1,0.001231649
122,122 2,0.006558318
122,122 3,0.005570925
122,122 4,0.002008973
123,123 1,0.011622199
123,123 2,0.000679098
123,123 3,0.008333495
123,123 4,0.00092214
124,124 1,0.001258384
124,124 2,0.000524414
124,124 3,0.000692352
124,124 4,0.000315771
125,125 1,0.000188553
125,125 2,0.000161681
125,125 3,0.000280491
125,125 4,0.000168345
126,126 1,0.006280344
126,126 3,0.005472899
126,126 4,0.009832041
127,127 1,0.00044864
127,127 2,0.000258406
127,127 3,0.000179525
127,127 4,0.000270425
129,129 2,0.007113703
129,129 3,0.010878743
129,129 4,0.009870645
130,130 1,0.008332482
130,130 2,0.005421112
130,130 3,0.003183627
130,130 4,0.00038817
131,131 2,0.00310002
131,131 4,0.013139227
132,132 1,0.000357629
132,132 2,0.002357162
132,132 3,0.000316938
132,132 4,0.002100602
133,133 1,0.0005912
133,133 2,0.002074432
133,133 3,0.000812282
133,133 4,0.002685956
134,134 1,0.001459369
134,134 3,0.003474153
134,134 4,0.001669018
