partnerid,part.str,k
55,55 2,0.003760552
56,56 1,0.002227927
56,56 2,0.002017492
56,56 3,0.004901525
56,56 4,0.001670808
57,57 1,0.04998197
57,57 2,0.051816296
57,57 3,0.013511021
57,57 4,0.008069626
57,57 5,0.020423997
57,57 6,0.018755352
57,57 7,0.001831618
57,57 8,0.020862952
57,57 9,0.003491874
57,57 10,0.024499347
57,57 11,0.007613852
57,57 12,0.002799368
58,58 1,0.038612055
58,58 3,0.101224676
58,58 4,0.112310587
59,59 1,0.006742109
59,59 2,0.035432139
59,59 3,0.023805356
59,59 4,0.009974562
61,61 1,0.006821348
61,61 2,0.004930238
61,61 3,0.006947716
61,61 4,0.004662205
62,62 1,0.002255531
62,62 2,0.001974426
62,62 3,0.001850614
62,62 4,0.002378806
63,63 1,0.00231405
63,63 2,0.002642141
64,64 1,0.05371223
64,64 2,0.003511452
64,64 3,0.005733987
64,64 4,0.069718292
65,65 1,0.00617017
65,65 2,0.003615682
65,65 3,0.051466601
65,65 4,0.031506733
66,66 1,0.002111723
66,66 2,0.002190982
66,66 3,0.001795992
66,66 4,0.001901395
67,67 1,0.00345377
68,68 1,0.02746748
68,68 2,0.073178014
68,68 3,0.001750624
68,68 4,0.051226848
69,69 1,0.003909058
69,69 2,0.00220639
69,69 3,0.001968239
69,69 4,0.021950121
70,70 1,0.034215174
70,70 2,0.021682881
70,70 3,0.033195561
70,70 4,0.067519614
71,71 1,0.02008292
71,71 2,0.023102732
71,71 3,0.045048897
71,71 4,0.033514673
72,72 1,0.113096579
72,72 2,0.03858162
72,72 3,0.039025952
72,72 4,0.132893096
73,73 1,0.046597749
73,73 2,0.05181307
73,73 3,0.078115557
73,73 4,0.005203578
74,74 1,0.046174124
74,74 2,0.07860262
74,74 3,0.08145504
74,74 4,0.072158583
75,75 1,0.063789299
75,75 2,0.014375483
75,75 3,0.008167789
75,75 4,0.009127787
77,77 1,0.069680799
77,77 2,0.003814881
77,77 3,0.006453892
77,77 4,0.021337863
78,78 1,0.035563949
78,78 2,0.005262963
78,78 3,0.047347438
78,78 4,0.007555179
79,79 1,0.05900023
79,79 2,0.038194029
79,79 3,0.002786543
79,79 4,0.002122856
80,80 1,0.006307118
80,80 2,0.012368963
80,80 3,0.017683864
80,80 4,0.01473435
81,81 1,0.007919933
81,81 2,0.066835902
81,81 3,0.048325329
81,81 4,0.036416702
82,82 1,0.044749617
82,82 2,0.090314026
82,82 3,0.090594063
82,82 4,0.109042549
83,83 1,0.009359365
83,83 2,0.008312349
83,83 3,0.009821636
83,83 4,0.007303656
84,84 1,0.011224636
84,84 2,0.065397364
84,84 3,0.015651702
84,84 4,0.007668422
85,85 2,0.098293411
85,85 3,0.116443941
85,85 5,0.082698262
85,85 6,0.103276903
85,85 7,0.008224147
85,85 8,0.177758682
86,86 1,0.007752762
86,86 2,0.010463304
86,86 3,0.064493759
86,86 4,0.078041317
87,87 1,0.138992606
87,87 2,0.123101288
87,87 3,0.121731697
87,87 4,0.101589441
88,88 1,0.002823471
88,88 2,0.070286033
88,88 3,0.05952418
88,88 4,0.032421317
89,89 1,0.008040962
89,89 2,0.018418919
89,89 3,0.013802667
89,89 4,0.011931986
90,90 1,0.017785014
90,90 2,0.020930627
90,90 3,0.057553723
90,90 4,0.004876395
91,91 1,0.002992642
91,91 2,0.042895954
91,91 3,0.026791514
91,91 4,0.045395679
92,92 1,0.04993602
92,92 2,0.113316941
92,92 3,0.20011864
92,92 4,0.104721405
93,93 1,0.005232562
93,93 2,0.012475927
93,93 3,0.002954863
93,93 4,0.002429724
94,94 1,0.031447572
94,94 2,0.005002269
94,94 3,0.008664597
94,94 4,0.004839551
96,96 1,0.069432616
96,96 2,0.013595308
96,96 3,0.089190492
96,96 4,0.067122498
97,97 1,0.095371842
97,97 2,0.101578147
97,97 3,0.08778674
97,97 4,0.103826446
98,98 1,0.027779824
98,98 2,0.009290408
98,98 3,0.006967896
98,98 4,0.005887806
99,99 2,0.10735681
99,99 3,0.11074638
99,99 4,0.114016257
100,100 1,0.155891467
100,100 2,0.038893098
100,100 3,0.084826171
100,100 4,0.084291446
101,101 1,0.051040001
101,101 2,0.005258854
101,101 3,0.012793415
101,101 4,0.030537192
102,102 1,0.029269424
102,102 2,0.10601708
102,102 3,0.017765435
102,102 4,0.00391468
103,103 1,0.009187923
103,103 2,0.018509675
103,103 3,0.028317299
103,103 5,0.003085044
103,103 6,0.002580114
104,104 1,0.012280928
104,104 2,0.002345978
104,104 3,0.002464643
104,104 4,0.004546947
105,105 1,0.092035306
105,105 2,0.072704201
105,105 3,0.068919603
105,105 4,0.065994892
106,106 1,0.047015378
106,106 2,0.027686677
106,106 3,0.027586431
106,106 4,0.04849731
107,107 1,0.119584936
107,107 2,0.08149376
107,107 3,0.060816238
107,107 4,0.018241968
108,108 1,0.009885772
108,108 2,0.008451419
108,108 3,0.008677228
108,108 4,0.009016394
109,109 1,0.017720116
109,109 2,0.020207208
109,109 3,0.016838601
109,109 4,0.033171245
110,110 1,0.042437999
110,110 2,0.018475396
110,110 3,0.031860777
110,110 4,0.073028976
111,111 2,0.050935184
111,111 3,0.038923337
111,111 4,0.066501632
112,112 1,0.002145363
112,112 2,0.002669252
112,112 3,0.003555955
112,112 4,0.004732439
113,113 1,0.025747978
113,113 2,0.01456567
113,113 3,0.057069106
113,113 4,0.054952109
114,114 1,0.110175529
114,114 2,0.080864251
114,114 3,0.03774121
115,115 1,0.004895934
115,115 2,0.006087097
115,115 3,0.004188042
115,115 4,0.003821132
116,116 1,0.001488649
116,116 2,0.002468547
116,116 3,0.001863822
116,116 4,0.001874599
116,116 11,0.002893213
116,116 12,0.003802274
116,116 13,0.003243626
116,116 14,0.003650046
117,117 1,0.009948395
117,117 2,0.009503273
117,117 3,0.012433685
117,117 4,0.004195807
118,118 1,0.00436536
118,118 2,0.009373939
118,118 3,0.004297746
118,118 4,0.005644033
119,119 1,0.034472417
119,119 2,0.064973186
119,119 3,0.034559368
119,119 4,0.026756573
120,120 1,0.005400318
120,120 2,0.00219484
120,120 3,0.002237082
120,120 4,0.001991783
121,121 1,0.002848577
121,121 2,0.002805267
121,121 3,0.002194234
121,121 4,0.002658227
122,122 1,0.006444148
122,122 2,0.037646787
122,122 3,0.032518027
122,122 4,0.010354655
123,123 1,0.012168586
123,123 2,0.001894115
123,123 3,0.01105699
123,123 4,0.002398983
124,124 1,0.014041028
124,124 2,0.005845122
124,124 3,0.007647713
124,124 4,0.003788512
125,125 1,0.00247822
125,125 2,0.002121126
125,125 3,0.003825403
125,125 4,0.002333554
126,126 1,0.065105783
126,126 3,0.055961701
126,126 4,0.110073134
127,127 1,0.004136669
127,127 2,0.002604911
127,127 3,0.001873634
127,127 4,0.002474564
128,128 1,0.0624738
128,128 2,0.030206719
128,128 3,0.014018091
128,128 4,0.014823127
129,129 1,0.061010191
129,129 2,0.061893389
129,129 3,0.097576467
129,129 4,0.092025892
130,130 1,0.162388811
130,130 2,0.111792674
130,130 3,0.062619187
130,130 4,0.006407958
131,131 1,0.052553199
131,131 2,0.013622015
131,131 3,0.054671134
131,131 4,0.057015081
132,132 1,0.002833788
132,132 2,0.015668234
132,132 3,0.002439727
132,132 4,0.018897264
133,133 1,0.004870396
133,133 2,0.015687312
133,133 3,0.006549774
133,133 4,0.021671648
134,134 1,0.014778497
134,134 2,0.014170675
134,134 3,0.038525703
134,134 4,0.016472283
135,135 1,0.014532998
135,135 2,0.013259533
135,135 3,0.031314636
135,135 4,0.009727176
