Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
197,270.142746,270.14276569943485,270.1428021896591,1639820.6,-9999,627396.5,25.58,-1,-0.1350775366403029,0.996694772323237,0.9992406253009558,0.9977131135143246,4,1.6923076923076923,0.38461538461538464,13C1 O5,de-protonated,1,192,C13 H22 O5 13C1,13,22,5,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
198,270.179133,270.17915267009425,270.1791876990091,1988241.9,-9999,585795.3,31.43,-1,-0.12965067794353216,0.9969546215084896,0.9995313299381922,0.9979853048803706,3,1.8571428571428572,0.2857142857142857,13C1 O4,de-protonated,1,194,C14 H26 O4 13C1,14,26,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
199,270.215513,270.2155326407593,270.2155732083591,1868951.1,-9999,578948.7,29.42,-1,-0.15013050252835766,0.995918649058006,0.997416266547304,0.9965176960537252,2,2,0.2,13C1 O3,de-protonated,1,196,C15 H30 O3 13C1,15,30,3,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
204,271.082323,271.08234194180847,271.0823264003491,919826.2,-9999,523105.2,13.48,-1,0.05733114215487788,0.9994037814051562,0,0.5996422688430937,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
205,271.118649,271.1186679125171,271.1187119096991,3315607.3,-9999,633636.8,53.71,-1,-0.16228013802589009,0.9952329757964764,0,0.5971397854778857,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
207,271.155052,271.1550708831636,271.15509741904907,4075676.5,-9999,570022.9,66.48,-1,-0.0978623884271986,0.998263766391122,0,0.5989582598346732,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
210,271.19142,271.1914388538383,271.19148292839907,13698210,-9999,596197.1,228.06,-1,-0.1625219210434773,0.9956813610054818,0.998519300471476,0.9968165367918794,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
211,271.227806,271.2278248244985,271.2278684377491,1910310.8,-9999,568126.6,30.12,-1,-0.16079929719757052,0.9953193760727708,0,0.5971916256436625,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
215,272.19478,272.1947980447806,272.1948377634691,2194990.8,-9999,581031.9,34.89,-1,-0.1459200651860348,0.9961439276455676,0.998519300471476,0.9970940767759308,2,2,0.2857142857142857,13C1 O4,de-protonated,1,210,C14 H28 O4 13C1,14,28,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
217,273.097947,273.09796431651336,273.0979764648091,2112172.8,-9999,532664.7,33.2,-1,-0.04448328731587318,0.9996410205288228,0,0.5997846123172936,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
218,273.134362,273.1343792871502,273.13436197415905,4256946,-9999,562222.9,68.89,-1,0.06338635317809281,0.9992712357443078,0,0.5995627414465846,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
219,273.170725,273.170742257829,273.17074748350905,3338934.8,-9999,541786.3,53.61,-1,-0.01912972058003163,0.9999336017454926,0,0.5999601610472955,2,1.8571428571428572,0.35714285714285715,O5,de-protonated,0,-9999,C14 H26 O5,14,26,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
221,273.207137,273.2071542284682,273.2071329928591,4915644,-9999,556330.8,79.85,-1,0.07772714007984163,0.9991953598065396,0.98347302218521,0.9929064247580076,1,2,0.26666666666666666,O4,de-protonated,0,-9999,C15 H30 O4,15,30,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
222,274.093233,274.09324951396616,274.0932254370091,1296438.4,-9999,605558.9,19.62,-1,0.08784221872898233,0.9986008752849126,0,0.5991605251709475,4,1.5454545454545454,0.6363636363636364,N1 O7,de-protonated,0,-9999,C11 H17 O7 N1,11,17,7,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
