Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
125,278.062892,278.06299380987195,278.06285159089913,1253316.8,-9999,877298.6,19.03,-1,0.5114634048103568,0.953642862652618,0.961036644096401,0.9566003752301312,4,1.875,0.75,13C1 N2 P1 O6,de-protonated,1,114,C8 H15 O6 N2 P1 13C1,8,15,6,2,1,-9999,1,N/A,-9999
128,279.160039,279.1601381251505,279.16018279947906,1346895.3,-9999,798289,20.59,-1,-0.16003116234973755,0.9953638841731104,0,0.5972183305038662,5,1.5,0.25,O4,de-protonated,0,-9999,C16 H24 O4,16,24,4,-9999,-9999,-9999,-9999,N/A,-9999
131,281.17575,281.17584419270077,281.1758328639391,3969867.3,-9999,767665.7,64.5,-1,0.04029066636832733,0.9997054908657343,0,0.5998232945194406,4,1.625,0.25,O4,de-protonated,0,-9999,C16 H26 O4,16,26,4,-9999,-9999,-9999,-9999,N/A,-9999
133,282.040743,282.0408350760608,282.0407959400291,858550.4,-9999,897599.7,12.31,-1,0.13876018016967362,0.996512412474732,0,0.5979074474848393,12,0.6,0.3333333333333333,N1 O5,de-protonated,0,-9999,C15 H9 O5 N1,15,9,5,1,-9999,-9999,-9999,N/A,-9999
134,283.155042,283.15513134936833,283.15509741904907,1300543.9,-9999,864238,19.65,-1,0.11982944884649062,0.9973979519580636,0,0.5984387711748382,4,1.6,0.3333333333333333,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,N/A,-9999
136,283.191446,283.19153526028765,283.19148292839907,11371076,-9999,810501.4,186.92,-1,0.18479329971865296,0.9915856175380476,0.9937135575524174,0.9924367935437955,3,1.75,0.25,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,N/A,-9999
143,283.194191,283.19428025357064,283.19447410919906,1182148.6,-9999,570324.1,17.69,-1,-0.6845318187589138,0.9184903166853527,0,0.5510941900112116,3,1.9333333333333331,0.06666666666666667,N2 P1 O1,de-protonated,0,-9999,C15 H29 O1 N2 P1,15,29,1,2,1,-9999,-9999,N/A,-9999
148,283.227851,283.2279401712045,283.2278684377491,1814088.8,-9999,832025.7,28.18,-1,0.25327117629827106,0.9884282143235972,0,0.5930569285941584,2,1.8823529411764703,0.17647058823529413,O3,de-protonated,0,-9999,C17 H32 O3,17,32,3,-9999,-9999,-9999,-9999,N/A,-9999
149,284.19482,284.194906805029,284.1948377634691,2066879.3,-9999,807462.4,32.38,-1,0.24293741740170496,0.9893482901501384,0.9937135575524174,0.99109439711105,3,1.8666666666666667,0.26666666666666666,13C1 O4,de-protonated,1,136,C15 H28 O4 13C1,15,28,4,-9999,-9999,-9999,1,N/A,-9999
150,285.134374,285.134458505938,285.13436197415905,1544241.9,-9999,742702.8,23.7,-1,0.33854838929556363,0.9794180175744858,0,0.5876508105446915,4,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,N/A,-9999
151,285.170747,285.17083141693325,285.17074748350905,2019126.4,-9999,815073.4,31.58,-1,0.29432690746855145,0.9844042959987076,0,0.5906425775992246,3,1.7333333333333334,0.3333333333333333,O5,de-protonated,0,-9999,C15 H26 O5,15,26,5,-9999,-9999,-9999,-9999,N/A,-9999
153,285.207146,285.2072303278648,285.2071329928591,21318458,-9999,820986.2,352.13,-1,0.34127830073460086,0.9779214346831588,0.9982404726320993,0.986049049862735,2,1.875,0.25,O4,de-protonated,0,-9999,C16 H30 O4,16,30,4,-9999,-9999,-9999,-9999,N/A,-9999
167,286.210509,286.2105908726331,286.21048782792906,3637684.5,-9999,807032.7,58.47,-1,0.3600311952275149,0.976754609962824,0.9982404726320993,0.9853489550305342,2,2,0.26666666666666666,13C1 O4,de-protonated,1,153,C15 H30 O4 13C1,15,30,4,-9999,-9999,-9999,1,N/A,-9999
168,287.150042,287.1501215735935,287.1500120386191,1413926.1,-9999,823705,21.36,-1,0.38145558003461866,0.9739431927694758,0,0.5843659156616855,3,1.7142857142857142,0.42857142857142855,O6,de-protonated,0,-9999,C14 H24 O6,14,24,6,-9999,-9999,-9999,-9999,N/A,-9999
169,287.18643,287.18650948455195,287.1863975479691,1657898.5,-9999,842963.4,25.38,-1,0.3897697935009926,0.9728106951061368,0,0.5836864170636822,2,1.8666666666666667,0.3333333333333333,O5,de-protonated,0,-9999,C15 H28 O5,15,28,5,-9999,-9999,-9999,-9999,N/A,-9999
174,287.222827,287.2229063954884,287.2227830573191,9481263,-9999,797212.7,154.28,-1,0.4294163854413072,0.9707280578909536,0.9970363071908752,0.9812513576109224,1,2,0.25,O4,de-protonated,0,-9999,C16 H32 O4,16,32,4,-9999,-9999,-9999,-9999,N/A,-9999
180,287.22575,287.22582938833585,287.2257742381191,889263.3,-9999,749758.9,12.71,-1,0.1920099856192192,0.9933327055464284,0,0.595999623327857,1,2.2,0.06666666666666667,N2 P1 O1,de-protonated,0,-9999,C15 H33 O1 N2 P1,15,33,1,2,1,-9999,-9999,N/A,-9999
