Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,34S
92,301.035049,301.0350899191413,301.0353762069691,996316.1,-9999,832831.1,14.27,-1,-0.9510105802592588,0.8486520389647363,0,0.5091912233788417,11,0.6666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H10 O7,15,10,7,-9999,-9999,-9999,-9999,-9999,-9999
92,301.035049,301.0350899191413,301.03521401563904,996316.1,-9999,832831.1,14.27,-1,-0.41223249633002174,0.9696359404987452,0,0.5817815642992471,6,1.5,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H15 O1 N4 P1 S2,10,15,1,4,1,2,-9999,-9999,-9999
94,301.129017,301.12905808857727,301.12927659372906,1020005.6,-9999,678197.1,14.65,-1,-0.725619090459502,0.9088848065021362,0,0.5453308839012817,4,1.5714285714285714,0.5,O7,de-protonated,0,-9999,C14 H22 O7,14,22,7,-9999,-9999,-9999,-9999,-9999,-9999
95,301.165386,301.16542715415517,301.1656621030791,1120489.3,-9999,698600,16.28,-1,-0.7801318460600636,0.8954483788107501,0,0.5372690272864501,3,1.7333333333333334,0.4,O6,de-protonated,0,-9999,C15 H26 O6,15,26,6,-9999,-9999,-9999,-9999,-9999,-9999
97,301.201779,301.20182021977627,301.2020476124291,3938285,-9999,722939.8,62.09,-1,-0.7549505544483857,0.9017510990572064,0,0.5410506594343238,2,1.875,0.3125,O5,de-protonated,0,-9999,C16 H30 O5,16,30,5,-9999,-9999,-9999,-9999,-9999,-9999
99,303.217476,303.2175208543298,303.2176976768891,5174457.5,-9999,745436.5,82.18,-1,-0.5831538219951639,0.941313836812637,0.9617687567731424,0.9494958047968391,1,2,0.3125,O5,de-protonated,0,-9999,C16 H32 O5,16,32,5,-9999,-9999,-9999,-9999,-9999,-9999
100,303.217881,303.21792585506006,303.2176976768891,1165497.8,-9999,868945,17.01,-1,0.7525226024714204,0.902350164692323,0,0.5414100988153938,1,2,0.3125,O5,de-protonated,0,-9999,C16 H32 O5,16,32,5,-9999,-9999,-9999,-9999,-9999,-9999
101,304.220832,304.22087866350597,304.2210525119591,1180448.3,-9999,762519.7,17.25,-1,-0.5714543806048479,0.9424674436526356,0.9617687567731424,0.9501879689008382,1,2.1333333333333333,0.3333333333333333,13C1 O5,de-protonated,1,99,C15 H32 O5 13C1,15,32,5,-9999,-9999,-9999,1,-9999,-9999
102,305.174969,305.17501738393423,305.174801292739,1025410.3,-9999,601084.7,14.73,-1,0.7080899022854711,0.9130388981990818,0,0.547823338919449,2,2.25,0.25,N4 P1 O3,de-protonated,0,-9999,C12 H27 O3 N4 P1,12,27,3,4,1,-9999,-9999,-9999,-9999
103,305.175672,305.1757203852019,305.1758328639391,1280386.4,-9999,777396.2,18.88,-1,-0.368570263746652,0.975652576659518,0,0.5853915459957109,6,1.4444444444444444,0.2222222222222222,O4,de-protonated,0,-9999,C18 H26 O4,18,26,4,-9999,-9999,-9999,-9999,-9999,-9999
104,306.981467,306.98151864127584,306.9812498894591,2015037.1,-9999,513585.5,30.55,-1,0.8754665532323419,0.8701672564411861,0,0.5221003538647117,6,1.1428571428571428,0.8571428571428571,N4 S2 O6,de-protonated,0,-9999,C7 H8 O6 N4 S2,7,8,6,4,-9999,2,-9999,-9999,-9999
108,307.154948,307.15499995408373,307.15509741904907,1158223.3,-9999,772197.5,16.74,-1,-0.31731514845359127,0.9818960130541032,0,0.5891376078324619,6,1.411764705882353,0.29411764705882354,O5,de-protonated,0,-9999,C17 H24 O5,17,24,5,-9999,-9999,-9999,-9999,-9999,-9999
109,307.19062,307.1906720184048,307.19045135719904,971538.9,-9999,486853.7,13.73,-1,0.7183205233517533,0.9106244674342476,0,0.5463746804605485,1,2.4166666666666665,0.25,N4 P1 O3,de-protonated,0,-9999,C12 H29 O3 N4 P1,12,29,3,4,1,-9999,-9999,-9999,-9999
110,307.191384,307.19143601978243,307.19148292839907,1438803,-9999,604576.1,21.26,-1,-0.15270155341501887,0.9957779602554462,0,0.5974667761532677,5,1.5555555555555556,0.2222222222222222,O4,de-protonated,0,-9999,C18 H28 O4,18,28,4,-9999,-9999,-9999,-9999,-9999,-9999
111,307.194754,307.19480602585895,307.1948542317191,871891.4,-9999,732074,12.13,-1,-0.15692274618260196,0.9955418390101776,0,0.5973251034061065,0,2.1333333333333333,0.26666666666666666,S1 O4,de-protonated,0,-9999,C15 H32 O4 S1,15,32,4,-9999,-9999,1,-9999,-9999,-9999
114,309.170673,309.1707285886878,309.17074748350905,2692898.5,-9999,637672.8,41.47,-1,-0.06111451817646707,0.9993225215917736,0,0.5995935129550641,5,1.5294117647058822,0.29411764705882354,O5,de-protonated,0,-9999,C17 H26 O5,17,26,5,-9999,-9999,-9999,-9999,-9999,-9999
115,309.173386,309.17344159357964,309.1737386643091,2981410.8,-9999,484375.3,46.12,-1,-0.9608536958630308,0.8457591493316783,0,0.507455489599007,5,1.6875,0.125,N2 P1 O2,de-protonated,0,-9999,C16 H27 O2 N2 P1,16,27,2,2,1,-9999,-9999,-9999,-9999
116,309.174043,309.17409859476425,309.17411878682907,4776739,-9999,690907.4,75.05,-1,-0.06530968666770601,0.9992263563239802,0,0.599535813794388,0,2.142857142857143,0.35714285714285715,S1 O5,de-protonated,0,-9999,C14 H30 O5 S1,14,30,5,-9999,-9999,1,-9999,-9999,-9999
118,309.207053,309.20710865428543,309.2071329928591,4703014.5,-9999,698078,73.86,-1,-0.07871284672868277,0.9986259399054358,0.9804084347139784,0.9913389378288529,4,1.6666666666666667,0.2222222222222222,O4,de-protonated,0,-9999,C18 H30 O4,18,30,4,-9999,-9999,-9999,-9999,-9999,-9999
119,310.210401,310.2104584634472,310.21048782792906,1050256.9,-9999,699084.4,15,-1,-0.0946598616532978,0.998375451977198,0.9804084347139784,0.9911886450719104,4,1.7647058823529411,0.2352941176470588,13C1 O4,de-protonated,1,118,C17 H30 O4 13C1,17,30,4,-9999,-9999,-9999,1,-9999,-9999
121,311.150005,311.15006415767067,311.1500120386191,1308149.3,-9999,622481.3,19.15,-1,0.16750457840842842,0.9949218894114884,0,0.596953133646893,5,1.5,0.375,O6,de-protonated,0,-9999,C16 H24 O6,16,24,6,-9999,-9999,-9999,-9999,-9999,-9999
125,311.164008,311.16406718291984,311.1642366087091,1176630.8,-9999,593209.3,17.03,-1,-0.5444899165942055,0.9476273360542864,0,0.5685764016325718,5,1.7857142857142858,0.14285714285714285,N4 P1 O2,de-protonated,0,-9999,C14 H25 O2 N4 P1,14,25,2,4,1,-9999,-9999,-9999,-9999
126,311.164415,311.1644741836537,311.1646167312291,1057270.8,-9999,612339.2,15.11,-1,-0.45810984847575154,0.9626362522977312,0,0.5775817513786387,0,2.3333333333333335,0.4166666666666667,N2 S1 O5,de-protonated,0,-9999,C12 H28 O5 N2 S1,12,28,5,2,-9999,1,-9999,-9999,-9999
126,311.164415,311.1644741836537,311.1642366087091,1057270.8,-9999,612339.2,15.11,-1,0.7635033742798635,0.8996286374269601,0,0.539777182456176,5,1.7857142857142858,0.14285714285714285,N4 P1 O2,de-protonated,0,-9999,C14 H25 O2 N4 P1,14,25,2,4,1,-9999,-9999,-9999,-9999
130,311.168624,311.168683191243,311.16863948322913,20431864,-9999,701814.7,327.31,-1,0.14046407106915348,0.99678980570587,0.9950593731605002,0.996097632687722,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999,-9999,-9999
131,311.186371,311.18643022324306,311.1863975479691,1093113.1,-9999,742846.2,15.68,-1,0.10500225666248332,0.9980014420260038,0,0.5988008652156023,4,1.6470588235294117,0.29411764705882354,O5,de-protonated,0,-9999,C17 H28 O5,17,28,5,-9999,-9999,-9999,-9999,-9999,-9999
134,311.222749,311.2228082888372,311.2227830573191,7135229,-9999,673783.3,113.05,-1,0.08107220774447568,0.9941680111088252,0.999216285786201,0.9961873209797756,3,1.7777777777777777,0.2222222222222222,O4,de-protonated,0,-9999,C18 H32 O4,18,32,4,-9999,-9999,-9999,-9999,-9999,-9999
140,312.171988,312.1720490004337,312.17199431829914,3617891.5,-9999,730151.8,55.86,-1,0.17516668864490748,0.9961303466255002,0.9950593731605002,0.9957019572395,4,1.75,0.1875,13C1 S1 O3,de-protonated,1,130,C16 H28 O3 S1 13C1,16,28,3,-9999,-9999,1,1,-9999,-9999
140,312.171988,312.1720490004337,312.1717505413991,3617891.5,-9999,730151.8,55.86,-1,0.9560731682613606,0.8471666319009417,0,0.508299979140565,9,1.2777777777777777,0.1111111111111111,N3 O2,de-protonated,0,-9999,C18 H23 O2 N3,18,23,2,3,-9999,-9999,-9999,-9999,-9999
141,312.226152,312.2262130980981,312.2261378923891,1397097.3,-9999,769881.5,20.4,-1,0.2408693568889908,0.9895279196440137,0.999216285786201,0.9934032661008886,3,1.8823529411764703,0.2352941176470588,13C1 O4,de-protonated,1,134,C17 H32 O4 13C1,17,32,4,-9999,-9999,-9999,1,-9999,-9999
142,313.129304,313.129366726594,313.12927659372906,1789643.5,-9999,679111.2,26.66,-1,0.28784553758504916,0.9850785048671346,0,0.5910471029202807,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H22 O7,15,22,7,-9999,-9999,-9999,-9999,-9999,-9999
143,313.164356,313.16441878979714,313.1644353128291,950479.3,-9999,814328.9,13.26,-1,-0.05276152104826477,0.9978126806468516,0.9950593731605002,0.996711357652311,4,1.6470588235294117,0.17647058823529413,34S1 O3,de-protonated,1,130,C17 H28 O3 34S1,17,28,3,-9999,-9999,-9999,-9999,-9999,1
144,313.165657,313.165719792143,313.1656621030791,1412047.5,-9999,645882,20.63,-1,0.1842126097756528,0.993861585975702,0,0.5963169515854212,4,1.625,0.375,O6,de-protonated,0,-9999,C16 H26 O6,16,26,6,-9999,-9999,-9999,-9999,-9999,-9999
145,313.202088,313.20215085783263,313.2020476124291,1098707.4,-9999,724560.7,15.63,-1,0.3296447271326239,0.9804758747108532,0,0.5882855248265119,3,1.7647058823529411,0.29411764705882354,O5,de-protonated,0,-9999,C17 H30 O5,17,30,5,-9999,-9999,-9999,-9999,-9999,-9999
153,313.238471,313.23853392343574,313.23843312177905,18998488,-9999,714760.6,301.48,-1,0.32180488096906174,0.9749903779186128,0.9989318427435518,0.9845669638485884,2,1.8888888888888888,0.2222222222222222,O4,de-protonated,0,-9999,C18 H34 O4,18,34,4,-9999,-9999,-9999,-9999,-9999,-9999
155,314.241855,314.24191973266244,314.24178795684907,3727685.8,-9999,719046.6,57.61,-1,0.4193452889544077,0.9685958466482094,0.9989318427435518,0.9807302450863464,2,2,0.2352941176470588,13C1 O4,de-protonated,1,153,C17 H34 O4 13C1,17,34,4,-9999,-9999,-9999,1,-9999,-9999
156,315.063752,315.06381821464544,315.0639134309991,887968.8,-9999,787566.3,12.26,-1,-0.3022128196778621,0.983564384942783,0,0.5901386309656698,6,1.3076923076923077,0.5384615384615384,P1 O7,de-protonated,0,-9999,C13 H17 O7 P1,13,17,7,-9999,1,-9999,-9999,-9999,-9999
157,315.145013,315.14507936116917,315.1449266581891,1274281.8,-9999,760781.2,18.43,-1,0.4845484320288803,0.9582928815034348,0,0.5749757289020608,4,1.6,0.4666666666666667,O7,de-protonated,0,-9999,C15 H24 O7,15,24,7,-9999,-9999,-9999,-9999,-9999,-9999
159,315.181408,315.1814744267939,315.1813121675391,1571757.9,-9999,683693.6,23.18,-1,0.5148124223848148,0.9530483163233046,0,0.5718289897939827,3,1.75,0.375,O6,de-protonated,0,-9999,C16 H28 O6,16,28,6,-9999,-9999,-9999,-9999,-9999,-9999
161,315.196658,315.1967244542916,315.19656830882906,2869679.5,-9999,665767.9,43.91,-1,0.4953907441888429,0.9564472093667248,0,0.5738683256200349,7,1.4,0.15,O3,de-protonated,0,-9999,C20 H28 O3,20,28,3,-9999,-9999,-9999,-9999,-9999,-9999
162,315.217753,315.2178194923285,315.2176976768891,1520817.9,-9999,724189.3,22.37,-1,0.3864486045591994,0.9732658521404612,0,0.5839595112842767,2,1.8823529411764703,0.29411764705882354,O5,de-protonated,0,-9999,C17 H32 O5,17,32,5,-9999,-9999,-9999,-9999,-9999,-9999
164,315.25415,315.2542165579568,315.2540831862391,2152374,-9999,734937.9,32.45,-1,0.4230610317906845,0.968045874912602,0,0.5808275249475612,1,2,0.2222222222222222,O4,de-protonated,0,-9999,C18 H36 O4,18,36,4,-9999,-9999,-9999,-9999,-9999,-9999
166,317.030414,317.0304837607827,317.0302908265391,4145790,-9999,693885.4,64.28,-1,0.6085672227445941,0.9350079393074092,0,0.5610047635844456,11,0.6666666666666666,0.5333333333333333,O8,de-protonated,0,-9999,C15 H10 O8,15,10,8,-9999,-9999,-9999,-9999,-9999,-9999
167,317.160747,317.16081699578945,317.16057672264907,900748.7,-9999,740329.6,12.35,-1,0.757575682515489,0.9011016613731972,0,0.5406609968239182,3,1.7333333333333334,0.4666666666666667,O7,de-protonated,0,-9999,C15 H26 O7,15,26,7,-9999,-9999,-9999,-9999,-9999,-9999
168,317.197092,317.197162061324,317.19696223199907,1117072.9,-9999,670364.6,15.77,-1,0.6299849894743623,0.9305182854803008,0,0.5583109712881805,2,1.875,0.375,O6,de-protonated,0,-9999,C16 H30 O6,16,30,6,-9999,-9999,-9999,-9999,-9999,-9999
171,317.212355,317.21242508884507,317.2122183732891,6546066.5,-9999,701753,101.67,-1,0.6516632840809274,0.9185635719214515,0.9663635684563328,0.937683570535404,6,1.5,0.15,O3,de-protonated,0,-9999,C20 H30 O3,20,30,3,-9999,-9999,-9999,-9999,-9999,-9999
172,318.215729,318.21580089805377,318.21557320835905,1755653.5,-9999,637500.7,25.87,-1,0.7155202758602924,0.9112881321113032,0.9663635684563328,0.933318306649315,6,1.5789473684210529,0.15789473684210523,13C1 O3,de-protonated,1,171,C19 H30 O3 13C1,19,30,3,-9999,-9999,-9999,1,-9999,-9999
175,319.228029,319.2281027233571,319.2278684377491,1835386.9,-9999,615295.3,27.13,-1,0.7339133927126036,0.9068905574245216,0,0.5441343344547129,5,1.6,0.15,O3,de-protonated,0,-9999,C20 H32 O3,20,32,3,-9999,-9999,-9999,-9999,-9999,-9999
176,320.135298,320.13537335927646,320.1350902499591,1190885.1,-9999,735492.5,16.93,-1,0.8843432850312214,0.8677042811670164,0,0.5206225687002098,3,1.7692307692307692,0.6153846153846154,N1 O8,de-protonated,0,-9999,C13 H23 O8 N1,13,23,8,1,-9999,-9999,-9999,-9999,-9999
177,321.008669,321.0087459340735,321.0087847918891,3256140.8,-9999,479438.6,49.61,-1,-0.12104907242379724,0.9973447858814296,0,0.5984068715288577,15,0.4,0.2,N4 S1 O3,de-protonated,0,-9999,C15 H6 O3 N4 S1,15,6,3,4,-9999,1,-9999,-9999,-9999
181,321.210022,321.21009929713813,321.2101241736591,937956.7,-9999,484118.4,12.93,-1,-0.0774462543221712,0.9989122768766416,0,0.5993473661259849,5,1.7222222222222223,0.05555555555555555,N2 P1 O1,de-protonated,0,-9999,C18 H31 O1 N2 P1,18,31,1,2,1,-9999,-9999,-9999,-9999
182,321.21073,321.21080729841475,321.21050429617907,1601892.8,-9999,655158,23.43,-1,0.9433135953831712,0.8509002291097552,0,0.510540137465853,0,2.125,0.25,S1 O4,de-protonated,0,-9999,C16 H34 O4 S1,16,34,4,-9999,-9999,1,-9999,-9999,-9999
183,323.006628,323.0067085366432,323.00667679160904,3190845.8,-9999,457549.6,48.01,-1,0.09827980795738482,0.9982489364403482,0,0.5989493618642089,14,0.5333333333333333,0.06666666666666667,N4 S2 O1,de-protonated,0,-9999,C15 H8 O1 N4 S2,15,8,1,4,-9999,2,-9999,-9999,-9999
184,323.007384,323.0074645380064,323.0074611820191,4965694,-9999,600778.6,75.76,-1,0.01038981356927599,0.9999804131280272,0,0.5999882478768163,10,0.75,0.5833333333333334,N2 P1 O7,de-protonated,0,-9999,C12 H9 O7 N2 P1,12,9,7,2,1,-9999,-9999,-9999,-9999
185,323.008028,323.0081085391676,323.0083305618891,1097277.9,-9999,510162,15.27,-1,-0.6873591189736465,0.9178441164588697,0,0.5507064698753217,9,1,0.15384615384615383,N2 S2 P1 O2,de-protonated,0,-9999,C13 H13 O2 N2 P1 S2,13,13,2,2,1,2,-9999,-9999,-9999
189,323.160094,323.1601748133616,323.16039727473907,1628496.5,-9999,474708.9,23.57,-1,-0.6883930683882195,0.9176072485559664,0,0.5505643491335798,5,1.6111111111111112,0.05555555555555555,S1 P1 O1,de-protonated,0,-9999,C18 H29 O1 P1 S1,18,29,1,-9999,1,1,-9999,-9999,-9999
191,323.162659,323.1627398179866,323.1628991981891,7584081,-9999,422495.7,116.71,-1,-0.4931884287627072,0.9654358860358784,0.9995969747911893,0.9791003215380027,1,2.0714285714285716,0.42857142857142855,P1 O6,de-protonated,0,-9999,C14 H29 O6 P1,14,29,6,-9999,1,-9999,-9999,-9999,-9999
192,323.163367,323.1634478192632,323.1637685780591,12616017,-9999,690447.7,195.41,-1,-0.9925580374296404,0.841398931909767,0.9200584520505292,0.872862739966072,0,2.2,0.06666666666666667,S2 P1 O1,de-protonated,0,-9999,C15 H33 O1 P1 S2,15,33,1,-9999,1,2,-9999,-9999,-9999
195,324.166048,324.1661306272223,324.1662540332591,1144332.6,-9999,467075,16,-1,-0.3806874876680816,0.9740466499105452,0.9995969747911893,0.9842667798628028,1,2.230769230769231,0.4615384615384616,13C1 P1 O6,de-protonated,1,191,C13 H29 O6 P1 13C1,13,29,6,-9999,1,-9999,1,-9999,-9999
195,324.166048,324.1661306272223,324.16639037887904,1144332.6,-9999,467075,16,-1,-0.8012911408014486,0.8900280472343488,0,0.5340168283406093,1,2.076923076923077,0.6153846153846154,N1 O8,de-protonated,0,-9999,C13 H27 O8 N1,13,27,8,1,-9999,-9999,-9999,-9999,-9999
196,324.166735,324.1668176284611,324.1671234131291,2148812.8,-9999,704926.6,31.71,-1,-0.9432932765704776,0.8462649125702152,0.9200584520505292,0.8757823283623409,0,2.357142857142857,0.07142857142857142,13C1 S2 P1 O1,de-protonated,1,192,C14 H33 O1 P1 S2 13C1,14,33,1,-9999,1,2,1,-9999,-9999
198,325.159802,325.15988641908496,325.1597888763091,2634824.8,-9999,434210.3,39.31,-1,0.2999841283717886,0.9838039359347108,0,0.5902823615608266,14,0.9166666666666666,0.04166666666666666,O1,de-protonated,0,-9999,C24 H22 O1,24,22,1,-9999,-9999,-9999,-9999,-9999,-9999
198,325.159802,325.15988641908496,325.15956440765905,2634824.8,-9999,434210.3,39.31,-1,0.9903181734621186,0.841623677502518,0.9200584520505292,0.8729975873217226,0,2.2,0.06666666666666667,S1 34S1 P1 O1,de-protonated,1,192,C15 H33 O1 P1 S1 34S1,15,33,1,-9999,1,1,-9999,-9999,1
199,325.160468,325.1605524202858,325.1607911979091,4277833,-9999,700187.3,65,-1,-0.7343370718258192,0.906788199516854,0,0.5440729197101123,0,2.2142857142857144,0.2857142857142857,S1 P1 O4,de-protonated,0,-9999,C14 H31 O4 P1 S1,14,31,4,-9999,1,1,-9999,-9999,-9999
204,325.179644,325.1797284548625,325.1798866731691,3524555.3,-9999,450786.9,53.22,-1,-0.4865562510627068,0.9579539078971858,0,0.5747723447383115,5,1.8,0.13333333333333333,N4 P1 O2,de-protonated,0,-9999,C15 H27 O2 N4 P1,15,27,2,4,1,-9999,-9999,-9999,-9999
207,325.183957,325.1840414626394,325.18428954768905,31716940,-9999,364227.3,494.13,-1,-0.7629060124002265,0.8787857639607647,0.9685583101666554,0.9146947824431212,4,1.6666666666666667,0.16666666666666666,S1 O3,de-protonated,0,-9999,C18 H30 O3 S1,18,30,3,-9999,-9999,1,-9999,-9999,-9999
211,326.18201,326.18209626225365,326.1820404433391,979914.4,-9999,585108.6,13.42,-1,0.17112810533372347,0.9947003990492108,0,0.5968202394295264,0,2.230769230769231,0.6153846153846154,N1 O8,de-protonated,0,-9999,C13 H29 O8 N1,13,29,8,1,-9999,-9999,-9999,-9999,-9999
213,326.184681,326.18476726706984,326.18503162413907,1486026.8,-9999,605676.5,21.34,-1,-0.8104512580201222,0.8876469748121685,0,0.5325881848873011,0,2.5,0.4166666666666667,N3 P1 O5,de-protonated,0,-9999,C12 H30 O5 N3 P1,12,30,5,3,1,-9999,-9999,-9999,-9999
215,326.187271,326.1873572717399,326.1876443827591,7491275,-9999,442856.4,115.26,-1,-0.8802020068348396,0.8684784535583621,0.9685583101666554,0.9085103962016794,4,1.7647058823529411,0.17647058823529413,13C1 S1 O3,de-protonated,1,207,C17 H30 O3 S1 13C1,17,30,3,-9999,-9999,1,1,-9999,-9999
