Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
95,283.118522,283.11853394542607,283.1187119096991,2058486.6,-9999,363773.8,32.49,-1,-0.6285853443125782,0.930815755763439,0,0.5584894534580633,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
97,283.155078,283.15508994682403,283.15509741904907,2906107,-9999,375518.2,46.68,-1,-0.02638915952480757,0.9998736493422532,0,0.5999241896053519,4,1.6,0.3333333333333333,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
100,283.191458,283.1914699482153,283.19148292839907,8749183,-9999,372262.6,144.48,-1,-0.04583536075557379,0.996807121127937,0.9829816147509826,0.9912769185771552,3,1.75,0.25,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
101,284.194774,284.19478598658384,284.1948377634691,1723123.9,-9999,437158.4,26.88,-1,-0.18218798642065429,0.993995371577368,0.9829816147509826,0.9895898688468138,3,1.8666666666666667,0.26666666666666666,13C1 O4,de-protonated,1,100,C15 H28 O4 13C1,15,28,4,-9999,-9999,-9999,1,N/A,-9999,N/A,-9999
102,285.06146,285.06147201972743,285.06159095545905,895576.4,-9999,544525.1,13.03,-1,-0.41722818995730254,0.9689071698405124,0,0.5813443019043073,6,1.1666666666666667,0.6666666666666666,O8,de-protonated,0,-9999,C12 H14 O8,12,14,8,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
103,285.097818,285.09783002111783,285.0979764648091,2320988.8,-9999,416521.3,36.88,-1,-0.5136609284087296,0.953253135267371,0,0.5719518811604226,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
104,285.126189,285.1262010222028,285.1261197656691,4202208,-9999,354065.5,68.37,-1,0.28498453160603743,0.9853714820630844,0,0.5912228892378506,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,N/A,-9999,N/A,-9999
106,285.134353,285.13436502251494,285.13436197415905,2208609,-9999,366032,35,-1,0.01069094539127843,0.9999792612991404,0,0.5999875567794842,4,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
107,285.170644,285.1706560239028,285.17074748350905,1151717.1,-9999,364885.3,17.31,-1,-0.32071875209569656,0.9815091863049156,0,0.5889055117829494,3,1.7333333333333334,0.3333333333333333,O5,de-protonated,0,-9999,C15 H26 O5,15,26,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
108,285.207152,285.20716402529894,285.2071329928591,4495529.5,-9999,333206.4,73.28,-1,0.10880667502932248,0.9978541541290654,0,0.5987124924774392,2,1.875,0.25,O4,de-protonated,0,-9999,C16 H30 O4,16,30,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
