Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,33S,34S
282,309.170851,309.1708638472586,309.17074748350905,902653.6,-9999,535930.4,12.35,-1,0.376373736850234,0.9746240120799458,0,0.5847744072479675,5,1.5294117647058822,0.29411764705882354,O5,de-protonated,0,-9999,C17 H26 O5,17,26,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
284,309.173512,309.1735248434305,309.1737386643091,7095038,-9999,451024.4,110.16,-1,-0.6915881002528282,0.9427279462553122,0.975018348683299,0.955644107226507,5,1.6875,0.125,N2 P1 O2,de-protonated,0,-9999,C16 H27 O2 N2 P1,16,27,2,2,1,-9999,-9999,N/A,-9999,-9999
289,310.17695200000003,310.17696339990255,310.1770934993791,990852.9,-9999,384201.9,13.74,-1,-0.41943611985178103,0.9685824567945762,0.975018348683299,0.9711568135500652,5,1.8,0.13333333333333333,13C1 N2 P1 O2,de-protonated,1,284,C15 H27 O2 N2 P1 13C1,15,27,2,2,1,-9999,1,N/A,-9999,-9999
289,310.17695200000003,310.17696339990255,310.1772298449991,990852.9,-9999,384201.9,13.74,-1,-0.859009207980091,0.8746859174816222,0,0.5248115504889733,5,1.6666666666666667,0.26666666666666666,N3 O4,de-protonated,0,-9999,C15 H25 O4 N3,15,25,4,3,-9999,-9999,-9999,N/A,-9999,-9999
292,311.075994,311.0760041065593,311.07620944871906,3352063.8,-9999,556682.9,51.03,-1,-0.6601024234836737,0.9239811746148502,0,0.5543887047689101,3,2.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H17 O7 N4 P1,8,17,7,4,1,-9999,-9999,N/A,-9999,-9999
294,311.11236,311.11237005424397,311.1125949580691,4258820.5,-9999,617204.9,65.35,-1,-0.7229017043568301,0.9095341789460916,0,0.5457205073676549,2,2.3333333333333335,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H21 O6 N4 P1,9,21,6,4,1,-9999,-9999,N/A,-9999,-9999
296,311.148716,311.148726001943,311.1489804674191,1689353.6,-9999,536145.8,24.77,-1,-0.8178251966309342,0.8857152343762326,0,0.5314291406257395,1,2.5,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H25 O5 N4 P1,10,25,5,4,1,-9999,-9999,N/A,-9999,-9999
298,311.165437,311.1654469778885,311.1652681799091,2055947.9,-9999,582784,30.56,-1,0.5746077653444985,0.9418496222796618,0,0.5651097733677971,9,1.2,0.15,O3,de-protonated,0,-9999,C20 H24 O3,20,24,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
309,312.171459,312.1714675306461,312.1717505413991,4200087.5,-9999,486113,63.79,-1,-0.906586686622002,0.43072745208097046,0.8370420509349343,0.593253291622556,9,1.2777777777777777,0.1111111111111111,N3 O2,de-protonated,0,-9999,C18 H23 O2 N3,18,23,2,3,-9999,-9999,-9999,N/A,-9999,-9999
311,312.972325,312.97233237853686,312.9723389757091,5955848,-9999,410314.6,91.25,-1,-0.0210790903697976,0.9999193805088136,0,0.5999516283052881,4,1.5714285714285714,0.8571428571428571,N2 S2 P1 O6,de-protonated,0,-9999,C7 H11 O6 N2 P1 S2,7,11,6,2,1,2,-9999,N/A,-9999,-9999
314,313.09163,313.09163720690714,313.0918595131791,3586329,-9999,594245.2,54.19,-1,-0.7100352985750451,0.9125819604156749,0,0.5475491762494048,2,2.375,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H19 O7 N4 P1,8,19,7,4,1,-9999,-9999,N/A,-9999,-9999
316,313.110885,313.11089217920727,313.1111384064691,961307.8,-9999,506092.4,13.13,-1,-0.7863893410656612,0.893857104705074,0,0.5363142628230444,10,1.1176470588235294,0.1176470588235294,N2 P1 O2,de-protonated,0,-9999,C17 H19 O2 N2 P1,17,19,2,2,1,-9999,-9999,N/A,-9999,-9999
322,315.034817,315.03482141147856,315.0346056172091,1072945.1,-9999,629178.8,14.87,-1,0.6849859210120587,0.9183866772052062,0,0.5510320063231237,16,0.4705882352941176,0.0588235294117647,N4 S1 O1,de-protonated,0,-9999,C17 H8 O1 N4 S1,17,8,1,4,-9999,1,-9999,N/A,-9999,-9999
323,315.035356,315.03536041070316,315.03560793880905,1353777.3,-9999,422634.6,19.27,-1,-0.7857146927209384,0.894029141940901,0,0.5364174851645406,2,2.4285714285714284,0.5714285714285714,N4 S2 P1 O4,de-protonated,0,-9999,C7 H17 O4 N4 P1 S2,7,17,4,4,1,2,-9999,N/A,-9999,-9999
