Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
53,323.040881,323.04087566492836,323.0406933192391,961445,-9999,594290.2,13.8,-1,0.5644666230573137,0.9438258163013766,0,0.566295489780826,4,1.8888888888888888,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H17 O3 N4 P1 S2,9,17,3,4,1,2,-9999
54,323.077227,323.07722167004266,323.0772410199191,2979624.8,-9999,541404.2,46.87,-1,-0.05989241570723769,0.9993493369256384,0,0.599609602155383,8,1.0666666666666669,0.5333333333333333,O8,de-protonated,0,-9999,C15 H16 O8,15,16,8,-9999,-9999,-9999,-9999
54,323.077227,323.07722167004266,323.0770788285891,2979624.8,-9999,541404.2,46.87,-1,0.44212809551393295,0.96515256592818,0,0.579091539556908,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2,-9999
55,323.113592,323.11358667515964,323.1136265292691,3225900.5,-9999,531952.5,50.9,-1,-0.12334394520468751,0.9972432955991192,0,0.5983459773594715,7,1.25,0.4375,O7,de-protonated,0,-9999,C16 H20 O7,16,20,7,-9999,-9999,-9999,-9999
55,323.113592,323.11358667515964,323.1134643379391,3225900.5,-9999,531952.5,50.9,-1,0.3786200020991287,0.9743241451975309,0,0.5845944871185185,2,2.272727272727273,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H25 O1 N4 P1 S2,11,25,1,4,1,2,-9999
56,323.114361,323.11435567526786,323.11449590913907,1082156.5,-9999,972830.1,15.77,-1,-0.43400674677965634,0.9663994592353552,0,0.5798396755412132,6,1.411764705882353,0.1176470588235294,S2 O2,de-protonated,0,-9999,C17 H24 O2 S2,17,24,2,-9999,-9999,2,-9999
57,323.150058,323.15005268029086,323.1500120386191,1327664.1,-9999,621952.7,19.8,-1,0.1257671986993417,0.997134070317634,0,0.5982804421905803,6,1.411764705882353,0.35294117647058826,O6,de-protonated,0,-9999,C17 H24 O6,17,24,6,-9999,-9999,-9999,-9999
58,325.056464,325.0564589485447,325.0565055750291,2042102.6,-9999,539409.7,31.5,-1,-0.14344116683700847,0.9962735868181538,0,0.5977641520908923,8,1,0.6428571428571429,O9,de-protonated,0,-9999,C14 H14 O9,14,14,9,-9999,-9999,-9999,-9999
58,325.056464,325.0564589485447,325.056343383699,2042102.6,-9999,539409.7,31.5,-1,0.35552250558922877,0.977326561186562,0,0.5863959367119371,3,2.111111111111111,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H19 O3 N4 P1 S2,9,19,3,4,1,2,-9999
59,325.092886,325.0928809536697,325.0928910843791,4217850.5,-9999,548674.6,67.16,-1,-0.03116250679340056,0.9998238103719514,0,0.5998942862231709,7,1.2,0.5333333333333333,O8,de-protonated,0,-9999,C15 H18 O8,15,18,8,-9999,-9999,-9999,-9999
59,325.092886,325.0928809536697,325.09272889304907,4217850.5,-9999,548674.6,67.16,-1,0.4677453757243747,0.9610792718714892,0,0.5766475631228936,2,2.3,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H23 O2 N4 P1 S2,10,23,2,4,1,2,-9999
60,325.093618,325.09361295377266,325.0937604642491,1145082.6,-9999,839076.2,16.8,-1,-0.4537474857329673,0.9633313109491688,0,0.5779987865695012,6,1.375,0.1875,S2 O3,de-protonated,0,-9999,C16 H22 O3 S2,16,22,3,-9999,-9999,2,-9999
61,325.129269,325.12926395878924,325.12927659372906,2734078.5,-9999,520814.6,42.84,-1,-0.03886127990035782,0.9997260139027307,0,0.5998356083416385,6,1.375,0.4375,O7,de-protonated,0,-9999,C16 H22 O7,16,22,7,-9999,-9999,-9999,-9999
61,325.129269,325.12926395878924,325.12911440239907,2734078.5,-9999,520814.6,42.84,-1,0.45999076534496897,0.9623346685862564,0,0.5774008011517539,1,2.4545454545454546,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H27 O1 N4 P1 S2,11,27,1,4,1,2,-9999
62,325.184291,325.18428596653143,325.18428954768905,6509572,-9999,550698,104.71,-1,-0.01101270180976099,0.9998989816358392,0.9856460599069172,0.9941978129442705,4,1.6666666666666667,0.16666666666666666,S1 O3,de-protonated,0,-9999,C18 H30 O3 S1,18,30,3,-9999,-9999,1,-9999
64,326.187639,326.18763410771436,326.1876443827591,1402991.6,-9999,624172.7,21.03,-1,-0.0315004106841294,0.9998199690538528,0.9856460599069172,0.9941504053950786,4,1.7647058823529411,0.17647058823529413,13C1 S1 O3,de-protonated,1,62,C17 H30 O3 S1 13C1,17,30,3,-9999,-9999,1,1
64,326.187639,326.18763410771436,326.1874006058591,1402991.6,-9999,624172.7,21.03,-1,0.7158518532619678,0.9112096576535944,0,0.5467257945921565,9,1.3157894736842106,0.10526315789473684,N3 O2,de-protonated,0,-9999,C19 H25 O2 N3,19,25,2,3,-9999,-9999,-9999
65,327.072132,327.072127232173,327.0721556394891,2359759.8,-9999,538377.6,36.7,-1,-0.08685336131035822,0.9986321770026066,0,0.599179306201564,7,1.1428571428571428,0.6428571428571429,O9,de-protonated,0,-9999,C14 H16 O9,14,16,9,-9999,-9999,-9999,-9999
65,327.072132,327.072127232173,327.07199344815905,2359759.8,-9999,538377.6,36.7,-1,0.4090353702544551,0.970098013491502,0,0.5820588080949012,2,2.3333333333333335,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H21 O3 N4 P1 S2,9,21,3,4,1,2,-9999
66,327.108545,327.10854023729667,327.10854114883904,3908307.8,-9999,521930.8,62.08,-1,-0.00278666637394768,0.9999985909594992,0,0.5999991545756994,6,1.3333333333333333,0.5333333333333333,O8,de-protonated,0,-9999,C15 H20 O8,15,20,8,-9999,-9999,-9999,-9999
66,327.108545,327.10854023729667,327.1083789575091,3908307.8,-9999,521930.8,62.08,-1,0.4930469469363771,0.9568493476824016,0,0.5741096086094408,1,2.5,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H25 O2 N4 P1 S2,10,25,2,4,1,2,-9999
67,327.109314,327.1093092374049,327.109410528709,1136851.9,-9999,865646,16.66,-1,-0.30965573252659645,0.9827519693213376,0,0.5896511815928026,5,1.5,0.1875,S2 O3,de-protonated,0,-9999,C16 H24 O3 S2,16,24,3,-9999,-9999,2,-9999
68,327.144872,327.14486724240834,327.1449266581891,979159.8,-9999,584978.7,14.08,-1,-0.18161914158662473,0.994032697570064,0,0.5964196185420384,5,1.5,0.4375,O7,de-protonated,0,-9999,C16 H24 O7,16,24,7,-9999,-9999,-9999,-9999
69,329.087824,329.0878195158046,329.0878057039491,1778608.8,-9999,508439.8,26.8,-1,0.041970122516806443,0.9996804308118143,0,0.5998082584870886,6,1.2857142857142858,0.6428571428571429,O9,de-protonated,0,-9999,C14 H18 O9,14,18,9,-9999,-9999,-9999,-9999
70,329.124157,329.1241525209171,329.12419121329907,1611444.9,-9999,550617.9,24.1,-1,-0.11756164692927532,0.9974953865241863,0,0.5984972319145118,5,1.4666666666666666,0.5333333333333333,O8,de-protonated,0,-9999,C15 H22 O8,15,22,8,-9999,-9999,-9999,-9999
71,331.045944,331.04593979133523,331.0459408909991,900499.1,-9999,551034.9,12.6,-1,-0.00332178623009629,0.999997997849341,0,0.5999987987096046,11,0.75,0.5,O8,de-protonated,0,-9999,C16 H12 O8,16,12,8,-9999,-9999,-9999,-9999
71,331.045944,331.04593979133523,331.0457786996691,900499.1,-9999,551034.9,12.6,-1,0.4866144699871424,0.9579440598658604,0,0.5747664359195161,6,1.5454545454545454,0.18181818181818185,N4 S2 P1 O2,de-protonated,0,-9999,C11 H17 O2 N4 P1 S2,11,17,2,4,1,2,-9999
72,331.082341,331.0823367964567,331.0823264003491,1018263.4,-9999,506567.4,14.51,-1,0.03140037014638937,0.99982111063802,0,0.599892666382812,10,0.9411764705882352,0.4117647058823529,O7,de-protonated,0,-9999,C17 H16 O7,17,16,7,-9999,-9999,-9999,-9999
72,331.082341,331.0823367964567,331.0821642090191,1018263.4,-9999,506567.4,14.51,-1,0.5212828000010955,0.9518897152412268,0,0.5711338291447361,5,1.75,0.08333333333333333,N4 S2 P1 O1,de-protonated,0,-9999,C12 H21 O1 N4 P1 S2,12,21,1,4,1,2,-9999
73,331.118697,331.1186928015724,331.1187119096991,1000603.7,-9999,626753,14.22,-1,-0.057707782627357,0.9993959242575988,0,0.5996375545545594,9,1.1111111111111112,0.3333333333333333,O6,de-protonated,0,-9999,C18 H20 O6,18,20,6,-9999,-9999,-9999,-9999
