Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
42,258.052121,258.05211684781665,258.0522731062191,2345255.8,-9999,523121.3,38.85,-1,-0.6055300368974437,0.9272469632061308,0.9926816338968144,0.9534208314824042,5,1.4,0.5,13C1 S1 O5,de-protonated,1,36,C10 H14 O5 S1 13C1,10,14,5,-9999,-9999,1,1,-9999,-9999,-9999
42,258.052121,258.05211684781665,258.0518929836991,2345255.8,-9999,523121.3,38.85,-1,0.8675158898616918,0.8723580379832381,0.9886477997961612,0.9188739427084072,10,0.9166666666666666,0.16666666666666666,13C1 N2 P1 O2,de-protonated,1,36,C12 H11 O2 N2 P1 13C1,12,11,2,2,1,-9999,1,-9999,-9999,-9999
42,258.052121,258.05211684781665,258.05202932931905,2345255.8,-9999,523121.3,38.85,-1,0.33915058843513457,0.9793454933992316,0,0.5876072960395389,10,0.75,0.3333333333333333,N3 O4,de-protonated,0,-9999,C12 H9 O4 N3,12,9,4,3,-9999,-9999,-9999,-9999,-9999,-9999
44,259.028011,259.0280058752835,259.02818282625907,3469240,-9999,567918.2,58.42,-1,-0.6831340653402469,0.9188089669700508,0,0.5512853801820303,5,1.2,0.6,S1 O6,de-protonated,0,-9999,C10 H12 O6 S1,10,12,6,-9999,-9999,1,-9999,-9999,-9999,-9999
44,259.028011,259.0280058752835,259.0278027037391,3469240,-9999,567918.2,58.42,-1,0.7843619189846548,0.8943737577525217,0,0.536624254651513,10,0.75,0.25,N2 P1 O3,de-protonated,0,-9999,C12 H9 O3 N2 P1,12,9,3,2,1,-9999,-9999,-9999,-9999,-9999
45,259.044533,259.0445278588183,259.04471410074905,887418.3,-9999,510641.2,13.46,-1,-0.7189566920718212,0.9188601817567048,0.9926816338968144,0.9483887626127484,5,1.2727272727272727,0.4545454545454546,34S1 O5,de-protonated,1,36,C11 H14 O5 34S1,11,14,5,-9999,-9999,-9999,-9999,-9999,-9999,1
46,263.074604,263.0745948426099,263.07473909646905,1117433,-9999,553441.8,17.34,-1,-0.5483379349050241,0.9469045419298936,0,0.5681427251579362,7,1.1428571428571428,0.21428571428571427,S1 O3,de-protonated,0,-9999,C14 H16 O3 S1,14,16,3,-9999,-9999,1,-9999,-9999,-9999,-9999
47,265.147322,265.1473107770215,265.1475239158191,1664020.9,-9999,446757.1,26.61,-1,-0.8038498508853507,0.8893650221283235,0,0.533619013276994,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999
48,265.147883,265.14787177646247,265.14790403833905,2984469,-9999,482722.3,49.3,-1,-0.12167502021398777,0.9973172914868974,0,0.5983903748921384,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999
49,267.090688,267.0906748403403,267.0907830840991,1917592.4,-9999,655023,30.96,-1,-0.4052695400140048,0.9706379442465674,0,0.5823827665479404,1,2,0.6,S1 O6,de-protonated,0,-9999,C10 H20 O6 S1,10,20,6,-9999,-9999,1,-9999,-9999,-9999,-9999
50,267.105945,267.1059318251358,267.1060392253891,1067546.4,-9999,701126.4,16.36,-1,-0.4020884499506538,0.9710903773801056,0,0.5826542264280633,5,1.4285714285714286,0.21428571428571427,S1 O3,de-protonated,0,-9999,C14 H20 O3 S1,14,20,3,-9999,-9999,1,-9999,-9999,-9999,-9999
51,269.048325,269.0483098894371,269.0485381486291,6230039.5,-9999,619244.3,104.33,-1,-0.8483940985890721,0.8719768020449246,0.997033629722164,0.9219995331158204,11,0.7857142857142857,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H11 O2 N2 P1,14,11,2,2,1,-9999,-9999,-9999,-9999,-9999
52,269.048788,269.04877288897575,269.0489182711491,12753944,-9999,556635.1,215.66,-1,-0.5403559110279005,0.9698559787203676,0.9796748606559328,0.9737835314945936,6,1.1666666666666667,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H14 O5 S1,12,14,5,-9999,-9999,1,-9999,-9999,-9999,-9999
52,269.048788,269.04877288897575,269.0485381486291,12753944,-9999,556635.1,215.66,-1,0.8724832635876583,0.43549549468258086,0.8684926696514785,0.6086943646701399,11,0.7857142857142857,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H11 O2 N2 P1,14,11,2,2,1,-9999,-9999,-9999,-9999,-9999
53,269.066565,269.0665498712599,269.0666763358891,1047321.9,-9999,702880,15.9,-1,-0.4700122323822093,0.9607086389956164,0,0.5764251833973698,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
54,269.069908,269.0698928679284,269.07004763920906,1170202.4,-9999,619240.7,17.99,-1,-0.5752081364492807,0.9417316564327964,0,0.5650389938596779,1,2,0.7777777777777778,S1 O7,de-protonated,0,-9999,C9 H18 O7 S1,9,18,7,-9999,-9999,1,-9999,-9999,-9999,-9999
54,269.069908,269.0698928679284,269.0696675166891,1170202.4,-9999,619240.7,17.99,-1,0.837520042202588,0.8804912099968156,0,0.5282947259980894,6,1.3636363636363635,0.3636363636363637,N2 P1 O4,de-protonated,0,-9999,C11 H15 O4 N2 P1,11,15,4,2,1,-9999,-9999,-9999,-9999,-9999
55,269.084671,269.0846558532162,269.08492365797906,1304476.3,-9999,628046.1,20.28,-1,-0.9952425399015532,0.835498836650394,0,0.5012993019902364,10,1,0.06666666666666667,N2 P1 O1,de-protonated,0,-9999,C15 H15 O1 N2 P1,15,15,1,2,1,-9999,-9999,-9999,-9999,-9999
56,269.085251,269.08523585263816,269.0853037804991,2024988.4,-9999,584540.9,32.58,-1,-0.25243987676441815,0.9885036150463848,0,0.5931021690278309,5,1.3846153846153846,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H18 O4 S1,13,18,4,-9999,-9999,1,-9999,-9999,-9999,-9999
57,269.103035,269.1030198349153,269.1030618452391,976094.6,-9999,631280.2,14.68,-1,-0.15611239614900327,0.9955876625979804,0,0.5973525975587881,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
58,269.131067,269.1310518069797,269.1312051460991,1201058.3,-9999,539276.2,18.52,-1,-0.56975600170790075,0.9427989538209348,0,0.5656793722925609,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,-9999,-9999
59,270.051669,270.0516528895444,270.05189298369913,918936.2,-9999,709714.5,13.7,-1,-0.8890667347918387,0.8663864371140699,0.997033629722164,0.9186453141573074,11,0.8461538461538461,0.15384615384615383,13C1 N2 P1 O2,de-protonated,1,51,C13 H11 O2 N2 P1 13C1,13,11,2,2,1,-9999,1,-9999,-9999,-9999
60,270.05223,270.05221388898536,270.0522731062191,1331864.3,-9999,572898.5,20.75,-1,-0.21928063429886757,0.9913131724140196,0.9796748606559328,0.9866578477107848,6,1.2727272727272727,0.4545454545454546,13C1 S1 O5,de-protonated,1,52,C11 H14 O5 S1 13C1,11,14,5,-9999,-9999,1,1,-9999,-9999,-9999
60,270.05223,270.05221388898536,270.05202932931905,1331864.3,-9999,572898.5,20.75,-1,0.6834226232891973,0.9187432278009162,0,0.5512459366805497,11,0.6923076923076923,0.3076923076923077,N3 O4,de-protonated,0,-9999,C13 H9 O4 N3,13,9,4,3,-9999,-9999,-9999,-9999,-9999,-9999
61,271.06024,271.0602228844427,271.06016546108907,1301784,-9999,695741.5,20.23,-1,0.2118472609659909,0.9918897835832988,0,0.5951338701499793,6,1.4444444444444444,0.4444444444444444,N4 P1 O4,de-protonated,0,-9999,C9 H13 O4 N4 P1,9,13,4,4,1,-9999,-9999,-9999,-9999,-9999
62,271.063981,271.06396388071454,271.0641882130891,20190488,-9999,630656.7,342.55,-1,-0.8275987176184341,0.8634961475512035,0.973419419872935,0.9074654564798962,10,0.9285714285714286,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H13 O2 N2 P1,14,13,2,2,1,-9999,-9999,-9999,-9999,-9999
