Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
69,269.102979,269.1031100959276,269.1030618452391,1020284.4,-9999,360202.6,15.55,-1,0.17930189339698843,0.9941835569079864,0,0.5965101341447918,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
70,269.131129,269.1312600385857,269.1312051460991,3641247.5,-9999,442196.3,60.58,-1,0.2039618058664372,0.9924800759400476,0,0.5954880455640285,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
72,269.139346,269.13947702184754,269.1394473545891,2242848.5,-9999,554343.5,36.55,-1,0.1102300637719462,0.9977977060580924,0,0.5986786236348555,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
74,270.134591,270.1347199945207,270.1346963267891,880017.8,-9999,708055.1,13.13,-1,0.08761455654174233,0.998608113115135,0,0.599164867869081,4,1.6153846153846154,0.38461538461538464,N1 O5,de-protonated,0,-9999,C13 H21 O5 N1,13,21,5,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
77,271.082235,271.08236206415773,271.0823264003491,953467.9,-9999,574713.8,14.39,-1,0.13156080344159612,0.9968643680767084,0,0.598118620846025,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
78,271.118689,271.1188159899005,271.1187119096991,895039.9,-9999,534064.3,13.39,-1,0.3838916196207083,0.9736137675562662,0,0.5841682605337597,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
80,275.165128,275.16524674725224,275.1652681799091,911396.4,-9999,494725,13.57,-1,-0.07789012402269879,0.9988997798372738,0,0.5993398679023643,6,1.411764705882353,0.17647058823529413,O3,de-protonated,0,-9999,C17 H24 O3,17,24,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
81,275.16541,275.16552874667786,275.1652681799091,900852.5,-9999,725103.3,13.39,-1,0.946946431439155,0.8498406600226898,0,0.5099043960136138,6,1.411764705882353,0.17647058823529413,O3,de-protonated,0,-9999,C17 H24 O3,17,24,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
85,277.108114,277.1082287893649,277.1081472256691,915901.8,-9999,533014.6,13.65,-1,0.2943388587362623,0.984403039361813,0,0.5906418236170877,7,1.2,0.3333333333333333,O5,de-protonated,0,-9999,C15 H18 O5,15,18,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
86,277.144502,277.144616715242,277.1445327350191,2460545.5,-9999,489317.8,40.01,-1,0.3030195909352886,0.9834772464631878,0,0.5900863478779127,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
89,277.180716,277.1808306414737,277.1809182443691,987077.2,-9999,699758,14.86,-1,-0.31604951726183644,0.9820388405789716,0,0.589223304347383,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
90,277.18104,277.18115464081365,277.1809182443691,1071429.3,-9999,456001.3,16.3,-1,0.8528597352979116,0.8763582752699951,0,0.525814965161997,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
95,279.08724,279.0873507578598,279.08741178077906,871238.2,-9999,445782.3,12.79,-1,-0.2186516363946137,0.9913627210503207,0,0.5948176326301924,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
96,279.123657,279.1237676836779,279.12379729012906,998793.9,-9999,367112.7,14.96,-1,-0.10606924759511176,0.9979606602197034,0,0.598776396131822,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
97,279.163591,279.1637016023318,279.1635541027991,1094733.9,-9999,455925.4,16.58,-1,0.5283624260688435,0.950607087712008,0,0.5703642526272048,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
99,281.066688,281.0667947256988,281.0666763358891,944010.6,-9999,413013.8,14.02,-1,0.42121610161359296,0.9683195127202388,0,0.5809917076321433,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
99,281.066688,281.0667947256988,281.06651414455905,944010.6,-9999,413013.8,14.02,-1,0.9982730977466352,0.8345834514556931,0,0.5007500708734158,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,-9999,N/A,-9999,-9999
100,281.102872,281.1029786519915,281.1030618452391,1280270.1,-9999,529466.9,19.72,-1,-0.2959528332068494,0.9842328812850016,0,0.5905397287710009,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
102,281.115986,281.11609262527816,281.1159490048091,888271.4,-9999,511247.2,13.08,-1,0.5108940618296277,0.9537435881149128,0,0.5722461528689478,1,2.090909090909091,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H23 O6 P1,11,23,6,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
103,281.139403,281.1395095775774,281.1394473545891,954641.8,-9999,410175.7,14.2,-1,0.2213242891342853,0.9911512204868808,0,0.5946907322921285,5,1.4666666666666666,0.3333333333333333,O5,de-protonated,0,-9999,C15 H22 O5,15,22,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
