Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S,36S
344,295.181402,295.18140069583444,295.1815869496291,974174.2,-9999,807539,14.06,-1,-0.6309803960908494,0.9303063844960124,0,0.5581838306976074,9,1.263157894736842,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H24 O1 N2,19,24,1,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
352,297.097012,297.0970105851098,297.0969448936091,3009816,-9999,493055.4,47.16,-1,0.22111133028304203,0.9911681655519112,0,0.5947008993311468,2,2.375,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H19 O6 N4 P1,8,19,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
377,303.001485,303.0014832438238,303.00159141117905,2333029,-9999,454776.5,35.83,-1,-0.3569860960741181,0.977141650448692,0,0.5862849902692151,11,0.6666666666666666,0.16666666666666666,N4 S2 O2,de-protonated,0,-9999,C12 H8 O2 N4 S2,12,8,2,4,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
379,303.050098,303.05009624101393,303.0499947002291,941673.9,-9999,711131.3,13.31,-1,0.33506281674866367,0.9798353651174192,0,0.5879012190704516,6,1.4444444444444444,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H13 O6 N4 P1,9,13,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
380,303.086488,303.08648623891054,303.0863802095791,1069421.6,-9999,641723.5,15.38,-1,0.34983205571553955,0.97803860344406,0,0.586823162066436,5,1.7,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H17 O5 N4 P1,10,17,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
381,304.001587,304.00158518601665,304.0016475257891,1006732,-9999,522307,14.36,-1,-0.20506392962886935,0.9923988978434822,0,0.5954393387060893,11,0.6153846153846154,0.4615384615384616,N1 P1 O6,de-protonated,0,-9999,C13 H8 O6 N1 P1,13,8,6,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
390,305.065641,305.06563912451304,305.0656447646891,1390523,-9999,562170.8,20.57,-1,-0.01848840136931441,0.9999379789546676,0,0.5999627873728005,5,1.6666666666666667,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H15 O6 N4 P1,9,15,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
391,305.102201,305.1021991223998,305.10203027403907,1619646.9,-9999,443392.3,24.28,-1,0.5534160508985915,0.9459437555206702,0,0.5675662533124021,4,1.9,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H19 O5 N4 P1,10,19,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
392,305.138488,305.13848612030233,305.13841578338906,1078594.6,-9999,617004.8,15.52,-1,0.2305082206296045,0.9904052247062536,0,0.5942431348237521,3,2.090909090909091,0.3636363636363637,N4 P1 O4,de-protonated,0,-9999,C11 H23 O4 N4 P1,11,23,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
401,307.045029,307.0450270101019,307.0449093197991,1386317.5,-9999,471905.4,20.34,-1,0.3832999642735158,0.973693959555971,0,0.5842163757335826,5,1.625,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H13 O7 N4 P1,8,13,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
403,307.081582,307.0815800079891,307.08129482914904,2085905.5,-9999,415253.6,31.58,-1,0.9286753861173118,0.8551415765149563,0,0.5130849459089737,4,1.8888888888888888,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H17 O6 N4 P1,9,17,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
405,307.117906,307.1179040058895,307.11768033849904,2381077.5,-9999,477267.8,36.32,-1,0.7282791085525502,0.9082472350096482,0,0.5449483410057889,3,2.1,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H21 O5 N4 P1,10,21,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
411,309.06079,309.0607878935884,309.0605593842591,1804265.9,-9999,451360.6,27.05,-1,0.7393674875863153,0.9055692606228452,0,0.5433415563737072,4,1.875,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H15 O7 N4 P1,8,15,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
413,309.097239,309.0972368914816,309.0969448936091,3533806,-9999,480163.5,54.83,-1,0.944680551998348,0.8505018595359531,0,0.5103011157215719,3,2.111111111111111,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H19 O6 N4 P1,9,19,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
415,309.13347,309.13346788938736,309.1333304029591,2256754,-9999,437242.4,34.32,-1,0.4447479930662204,0.9647457429200827,0,0.5788474457520497,2,2.3,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H23 O5 N4 P1,10,23,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
417,309.169948,309.16994588727886,309.1697159123091,3511798,-9999,444135.6,54.47,-1,0.7438470132995858,0.9044781978481196,0,0.5426869187088718,1,2.4545454545454546,0.3636363636363637,N4 P1 O4,de-protonated,0,-9999,C11 H27 O4 N4 P1,11,27,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
425,310.946807,310.9468047845742,310.946792932479,993470.1,-9999,712669.2,14.02,-1,0.03811615196619871,0.9997364186454142,0,0.5998418511872485,10,0.5555555555555556,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H5 O3 N4 P1 S2,9,5,3,4,1,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
428,311.075957,311.0759547771092,311.07620944871906,1242316.9,-9999,729268.7,18.02,-1,-0.8186791600607644,0.8854906656275212,0,0.5312943993765127,3,2.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H17 O7 N4 P1,8,17,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
429,311.076522,311.07651977707656,311.07620944871906,2555085,-9999,495682.2,39.1,-1,0.9975959204661362,0.8347881483562845,0,0.5008728890137707,3,2.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H17 O7 N4 P1,8,17,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
430,311.091781,311.0917787761946,311.0918457125291,1294222.6,-9999,363014.1,18.85,-1,-0.21516582784831348,0.9916347759536372,0,0.5949808655721822,2,2,0.7,N2 S1 O7,de-protonated,0,-9999,C10 H20 O7 N2 S1,10,20,7,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
431,311.112792,311.1127897749801,311.1125949580691,4257233,-9999,410065.9,66.44,-1,0.6261942273065099,0.9313226344653696,0,0.5587935806792217,2,2.3333333333333335,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H21 O6 N4 P1,9,21,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
432,311.165251,311.1652487719479,311.1652681799091,2468567,-9999,565475.5,37.71,-1,-0.06237187493217605,0.999294368181392,0,0.5995766209088351,9,1.2,0.15,O3,de-protonated,0,-9999,C20 H24 O3,20,24,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
443,313.092103,313.0921006605734,313.0918595131791,3291063.5,-9999,456493.4,50.51,-1,0.770212916729141,0.8979504145368815,0,0.5387702487221289,2,2.375,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H19 O7 N4 P1,8,19,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
444,313.092856,313.0928536605299,313.0928910843791,925367.5,-9999,976058.5,12.82,-1,-0.1195295399129806,0.997410943606887,0,0.5984465661641322,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,-9999,C14 H18 O8,14,18,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
460,317.102438,317.102435428771,317.10241039655904,1018018.9,-9999,464305.2,14.29,-1,0.07894046574473071,0.998869923904239,0,0.5993219543425434,0,2.4444444444444446,0.8888888888888888,N2 S1 O8,de-protonated,0,-9999,C9 H22 O8 N2 S1,9,22,8,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
461,317.138673,317.1386704266766,317.13841578338906,2640807.5,-9999,412347.6,39.81,-1,0.8029405295798513,0.8896008352855075,0,0.5337605011713045,4,1.9166666666666667,0.3333333333333333,N4 P1 O4,de-protonated,0,-9999,C12 H23 O4 N4 P1,12,23,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
467,319.154328,319.1543253101692,319.15406584784904,1212716.8,-9999,462760.7,17.24,-1,0.8129688697017471,0.8869889341224036,0,0.5321933604734421,3,2.0833333333333335,0.3333333333333333,N4 P1 O4,de-protonated,0,-9999,C12 H25 O4 N4 P1,12,25,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
474,321.060774,321.06077119997417,321.0605593842591,1504429.3,-9999,467379.2,21.85,-1,0.6597375756665714,0.9240619109371788,0,0.5544371465623072,5,1.6666666666666667,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H15 O7 N4 P1,9,15,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
475,321.096779,321.0967761978931,321.0969448936091,1469618.3,-9999,578698.6,21.3,-1,-0.5253731579795665,0.9511505576221,0,0.57069033457326,4,1.9,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H19 O6 N4 P1,10,19,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
477,321.133074,321.1330711957952,321.1333304029591,1227191.3,-9999,676452,17.47,-1,-0.8071636897779296,0.888503921068923,0,0.5331023526413537,3,2.090909090909091,0.4545454545454546,N4 P1 O5,de-protonated,0,-9999,C11 H23 O5 N4 P1,11,23,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
480,321.209878,321.2098751913558,321.2101241736591,2087361.8,-9999,453129.2,31.06,-1,-0.7751384048575934,0.8967110963671916,0,0.5380266578203149,5,1.7222222222222223,0.05555555555555555,N2 P1 O1,de-protonated,0,-9999,C18 H31 O1 N2 P1,18,31,1,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
483,323.076259,323.0762560834766,323.07620944871906,1969991.3,-9999,287084.4,28.8,-1,0.14434599697726355,0.996226515033672,0,0.5977359090202031,4,1.8888888888888888,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H17 O7 N4 P1,9,17,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
484,323.076775,323.0767720834468,323.0770788285891,3649991.3,-9999,400122,54.98,-1,-0.9494487921588944,0.8491092125595849,0,0.5094655275357509,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
486,323.14876,323.148757079286,323.1489804674191,1121873.6,-9999,540400.2,15.58,-1,-0.691285279003669,0.916943106144504,0,0.5501658636867024,2,2.272727272727273,0.4545454545454546,N4 P1 O5,de-protonated,0,-9999,C11 H25 O5 N4 P1,11,25,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
495,325.12819,325.12818696487244,325.1282450225291,1849586.5,-9999,622548.1,26.92,-1,-0.1785684803880462,0.9942309052855002,0,0.5965385431713001,2,2.3,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H23 O6 N4 P1,10,23,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
496,325.128829,325.1288259648355,325.12911440239907,3538162.5,-9999,448312.2,53.23,-1,-0.8871477538101012,0.866922438433218,0,0.5201534630599308,1,2.4545454545454546,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H27 O1 N4 P1 S2,11,27,1,4,1,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
497,325.180775,325.18077196183293,325.180918244369,3666170.3,-9999,626050.5,55.23,-1,-0.44984969254326945,0.48197357125506296,0.8149093904448103,0.6151478989309619,9,1.238095238095238,0.14285714285714285,O3,de-protonated,0,-9999,C21 H26 O3,21,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
501,326.187186,326.18718290366115,326.1874006058591,6536594,-9999,420320.2,99.95,-1,-0.6674144910794954,0.46117759804358904,0.8295321147073604,0.6085194047090976,9,1.3157894736842106,0.10526315789473684,N3 O2,de-protonated,0,-9999,C19 H25 O2 N3,19,25,2,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
505,327.107476,327.1074728504673,327.10750957763906,2349087.3,-9999,452995.7,34.7,-1,-0.1122785956108887,0.997715184388656,0,0.5986291106331936,2,2.3333333333333335,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H21 O7 N4 P1,9,21,7,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
506,327.108138,327.10813485042894,327.1083789575091,5217823.5,-9999,472763.3,79.4,-1,-0.7462574971076087,0.9038889047387688,0,0.5423333428432612,1,2.5,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H25 O2 N4 P1 S2,10,25,2,4,1,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
507,327.14371,327.14370684837286,327.14389508698906,1031076.9,-9999,608183.1,14.16,-1,-0.575400057988881,0.9416939232466056,0,0.5650163539479633,1,2.5,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H25 O6 N4 P1,10,25,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
515,328.958385,328.9583817434824,328.9583891877091,2191940.3,-9999,456814.9,31.68,-1,-0.0226296909915837,0.9999070839158972,0,0.5999442503495384,13,0.4,0.3333333333333333,S2 O5,de-protonated,0,-9999,C15 H6 O5 S2,15,6,5,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
517,329.102624,329.10262073514514,329.10241039655904,1028571.4,-9999,518466.3,13.87,-1,0.6391280630460335,0.9285611803684374,0,0.5571367082210624,1,2.2,0.8,N2 S1 O8,de-protonated,0,-9999,C10 H22 O8 N2 S1,10,22,8,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
521,329.152024,329.15202073228977,329.15233451415907,9301859,-9999,372680.4,140.52,-1,-0.9533028825635548,0.8761960144885177,0.9890434376739184,0.921334983762678,4,1.6875,0.3125,P1 O5,de-protonated,0,-9999,C16 H27 O5 P1,16,27,5,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
531,330.028778,330.0287746816123,330.0289111020591,1583218.8,-9999,333321.6,22.36,-1,-0.41335907930120863,0.9694723137422124,0,0.5816833882453275,7,1.0833333333333333,0.6666666666666666,N1 S1 O8,de-protonated,0,-9999,C12 H13 O8 N1 S1,12,13,8,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
531,330.028778,330.0287746816123,330.0285309795391,1583218.8,-9999,333321.6,22.36,-1,0.7384272882968024,0.9057975913142784,0,0.543478554788567,12,0.7142857142857143,0.35714285714285715,N3 P1 O5,de-protonated,0,-9999,C14 H10 O5 N3 P1,14,10,5,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
533,330.031721,330.0317176814422,330.0319022828591,4031987.3,-9999,418479.6,59.84,-1,-0.5593441591966387,0.9448121971180814,0,0.5668873182708488,7,1.2727272727272727,0.4545454545454546,N3 S1 P1 O5,de-protonated,0,-9999,C11 H14 O5 N3 P1 S1,11,14,5,3,1,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
535,330.155447,330.15544367429067,330.1556893492291,1471239.6,-9999,295083.1,20.64,-1,-0.7441184457447091,0.9044119166078408,0.9890434376739184,0.9382645250342718,4,1.8,0.3333333333333333,13C1 P1 O5,de-protonated,1,521,C15 H27 O5 P1 13C1,15,27,5,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,N/A
