Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
86,294.93774,294.937812920801,294.9376537428191,1007299.4,-9999,765866.3,14.89,-1,0.5397004412180922,0.9485206199572906,0,0.5691123719743744,10,0.3636363636363637,0.5454545454545454,S2 O6,de-protonated,0,-9999,C11 H4 O6 S2,11,4,6,-9999,-9999,2,-9999,N/A,N/A,-9999
87,295.082281,295.08235391876644,295.0823264003491,883920.7,-9999,648450.6,12.83,-1,0.09325674534460283,0.9984232177651136,0,0.5990539306590682,7,1.1428571428571428,0.5,O7,de-protonated,0,-9999,C14 H16 O7,14,16,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
87,295.082281,295.08235391876644,295.0821642090191,883920.7,-9999,648450.6,12.83,-1,0.6429048257414578,0.92774573953969,0,0.556647443723814,2,2.3333333333333335,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H21 O1 N4 P1 S2,9,21,1,4,1,2,-9999,N/A,N/A,-9999
88,295.118701,295.1187739182538,295.1187119096991,1141460,-9999,598505.8,17.14,-1,0.21011393794688857,0.9920214266787258,0,0.5952128560072355,6,1.3333333333333333,0.4,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
89,295.131725,295.1317979180705,295.1315990692691,1876821.3,-9999,518245.8,29.45,-1,0.6737631688054432,0.9209312741721792,0,0.5525587645033075,1,2.0833333333333335,0.5,P1 O6,de-protonated,0,-9999,C12 H25 O6 P1,12,25,6,-9999,1,-9999,-9999,N/A,N/A,-9999
90,297.097898,297.09797089039483,297.0979764648091,1015306.1,-9999,677831.8,14.92,-1,-0.01876288199774726,0.9999361238029704,0,0.5999616742817822,6,1.2857142857142858,0.5,O7,de-protonated,0,-9999,C14 H18 O7,14,18,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
91,297.134362,297.1344348898816,297.13436197415905,1138445.5,-9999,724639.2,16.97,-1,0.24539646671871349,0.9891327442230564,0,0.5934796465338339,5,1.4666666666666666,0.4,O6,de-protonated,0,-9999,C15 H22 O6,15,22,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
93,297.152913,297.1529858896205,297.1529894187691,11887887,-9999,600129.1,195.72,-1,-0.01187653747363321,0.9993303373274234,0.9878073583489524,0.994721145736035,4,1.625,0.1875,S1 O3,de-protonated,0,-9999,C16 H26 O3 S1,16,26,3,-9999,-9999,1,-9999,N/A,N/A,-9999
95,298.156246,298.1563188754977,298.1563442538391,2259563.8,-9999,643878.8,35.61,-1,-0.08511756305971234,0.9986862680532632,0.9878073583489524,0.9943347041715388,4,1.7333333333333334,0.2,13C1 S1 O3,de-protonated,1,93,C15 H26 O3 S1 13C1,15,26,3,-9999,-9999,1,1,N/A,N/A,-9999
95,298.156246,298.1563188754977,298.1561004769391,2259563.8,-9999,643878.8,35.61,-1,0.7324973670151901,0.9072323143308028,0,0.5443393885984817,9,1.2352941176470589,0.1176470588235294,N3 O2,de-protonated,0,-9999,C17 H21 O2 N3,17,21,2,3,-9999,-9999,-9999,N/A,N/A,-9999
97,299.259159,299.2592318599732,299.2591685666691,1304401.8,-9999,544004.5,19.72,-1,0.21149996658316783,0.9919162452696426,0,0.5951497471617856,1,2,0.16666666666666666,O3,de-protonated,0,-9999,C18 H36 O3,18,36,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
104,305.051997,305.0520697784339,305.05228957446906,1668850.3,-9999,651143.2,25.59,-1,-0.720519211464223,0.9101018973393584,0,0.546061138403615,4,1.5,0.4166666666666667,S2 O5,de-protonated,0,-9999,C12 H18 O5 S2,12,18,5,-9999,-9999,2,-9999,N/A,N/A,-9999
104,305.051997,305.0520697784339,305.0519094519491,1668850.3,-9999,651143.2,25.59,-1,0.5255711564611083,0.951114645881034,0,0.5706687875286205,9,1.0714285714285714,0.14285714285714285,N2 S1 P1 O2,de-protonated,0,-9999,C14 H15 O2 N2 P1 S1,14,15,2,2,1,1,-9999,N/A,N/A,-9999
