Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S
152,299.114716,299.1146900000539,299.1149639397891,2013236.6,-9999,503636.7,31.09,-1,-0.9158342719292444,0.8588246387946041,0,0.5152947832767625,10,1.0666666666666669,0.2,N4 O3,de-protonated,0,-9999,C15 H16 O3 N4,15,16,3,4,-9999,-9999,-9999,N/A,-9999,-9999
153,299.151091,299.15106500665524,299.1508814184891,1672568.4,-9999,413562.1,25.5,-1,0.6136975604186886,0.9339446943535956,0,0.5603668166121574,3,1.75,0.0625,S2 O1,de-protonated,0,-9999,C16 H28 O1 S2,16,28,1,-9999,-9999,2,-9999,N/A,-9999,-9999
153,299.151091,299.15106500665524,299.1513494491391,1672568.4,-9999,413562.1,25.5,-1,-0.95083135805245,0.8487045273433974,0,0.5092227164060384,9,1.25,0.125,N4 O2,de-protonated,0,-9999,C16 H20 O2 N4,16,20,2,4,-9999,-9999,-9999,N/A,-9999,-9999
160,301.13047,301.1304443658704,301.1301459735991,1705218.8,-9999,540928.4,25.82,-1,0.9909080020517056,0.8368049891634733,0,0.5020829934980839,3,1.7333333333333334,0.13333333333333333,S2 O2,de-protonated,0,-9999,C15 H26 O2 S2,15,26,2,-9999,-9999,2,-9999,N/A,-9999,-9999
160,301.13047,301.1304443658704,301.1306140042491,1705218.8,-9999,540928.4,25.82,-1,-0.5633382020631883,0.9440437884126438,0,0.5664262730475863,9,1.2,0.2,N4 O3,de-protonated,0,-9999,C15 H18 O3 N4,15,18,3,4,-9999,-9999,-9999,N/A,-9999,-9999
161,301.166771,301.1667453724582,301.1665314829491,1737222.5,-9999,582149.2,26.34,-1,0.7102034480549932,0.9125424170907224,0,0.5475254502544333,2,1.875,0.0625,S2 O1,de-protonated,0,-9999,C16 H30 O1 S2,16,30,1,-9999,-9999,2,-9999,N/A,-9999,-9999
161,301.166771,301.1667453724582,301.1669995135991,1737222.5,-9999,582149.2,26.34,-1,-0.8438545434794438,0.8787912598732966,0,0.527274755923978,8,1.375,0.125,N4 O2,de-protonated,0,-9999,C16 H22 O2 N4,16,22,2,4,-9999,-9999,-9999,N/A,-9999,-9999
162,301.203208,301.2031823790708,301.2033850229491,5147146,-9999,443739.4,81.85,-1,-0.6727808793988127,0.952364406139409,0.9985439294268104,0.9708362154543696,7,1.5294117647058822,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H26 O1 N4,17,26,1,4,-9999,-9999,-9999,N/A,-9999,-9999
165,302.206674,302.20664856117855,302.20673985801915,956914.4,-9999,490640.7,13.64,-1,-0.30210061045316466,0.9835764867464296,0.9985439294268104,0.989563463818582,7,1.625,0.0625,13C1 N4 O1,de-protonated,1,162,C16 H26 O1 N4 13C1,16,26,1,4,-9999,-9999,1,N/A,-9999,-9999
166,303.004135,303.0041097059007,303.0038966301391,2590662.3,-9999,472263.1,40.23,-1,0.7032112919707101,0.9141802782016326,0,0.5485081669209796,15,0.5,0.05555555555555555,S1 P1 O1,de-protonated,0,-9999,C18 H9 O1 P1 S1,18,9,1,-9999,1,1,-9999,N/A,-9999,-9999
166,303.004135,303.0041097059007,303.0040933346291,2590662.3,-9999,472263.1,40.23,-1,0.05402986947422161,0.9994704503938406,0,0.5996822702363044,7,1,0.875,N4 S1 O7,de-protonated,0,-9999,C8 H8 O7 N4 S1,8,8,7,4,-9999,1,-9999,N/A,-9999,-9999
169,303.146299,303.14627373170043,303.14626406870906,1080853.1,-9999,435896.1,15.66,-1,0.03187567362525922,0.9998156545011476,0,0.5998893927006886,8,1.3333333333333333,0.2,N4 O3,de-protonated,0,-9999,C15 H20 O3 N4,15,20,3,4,-9999,-9999,-9999,N/A,-9999,-9999
170,303.182595,303.1825697382874,303.1826495780591,863000.9,-9999,590284.9,12.11,-1,-0.26333885477977687,0.9874958487641602,0,0.5924975092584961,7,1.5,0.125,N4 O2,de-protonated,0,-9999,C16 H24 O2 N4,16,24,2,4,-9999,-9999,-9999,N/A,-9999,-9999
171,303.218988,303.218962744892,303.2190350874091,2810332.8,-9999,511383.2,43.81,-1,-0.23858171401959205,0.9897248703837856,0,0.5938349222302713,6,1.6470588235294117,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H28 O1 N4,17,28,1,4,-9999,-9999,-9999,N/A,-9999,-9999
172,304.064557,304.06453189834474,304.0645225657191,7057718.5,-9999,465228.4,112.95,-1,0.03069291210726639,0.9983039505424464,0.9706580677225568,0.9872455974144904,14,0.7058823529411765,0.0588235294117647,N3 P1 O1,de-protonated,0,-9999,C17 H12 O1 N3 P1,17,12,1,3,1,-9999,-9999,N/A,-9999,-9999
173,305.053451,305.05342607780796,305.0536269849891,957856.8,-9999,539613.4,13.65,-1,-0.658596270793749,0.9243142248835364,0,0.5545885349301218,9,1.0769230769230769,0.07692307692307693,N4 S2 O1,de-protonated,0,-9999,C13 H14 O1 N4 S2,13,14,1,4,-9999,2,-9999,N/A,-9999,-9999
174,305.067943,305.06791808043795,305.06787740078914,1598370.4,-9999,555567.2,24.08,-1,0.13334622167252774,0.9967788210920272,0.9706580677225568,0.9863305197442388,14,0.75,0.0625,13C1 N3 P1 O1,de-protonated,1,172,C16 H12 O1 N3 P1 13C1,16,12,1,3,1,-9999,1,N/A,-9999,-9999
174,305.067943,305.06791808043795,305.0680137464091,1598370.4,-9999,555567.2,24.08,-1,-0.31358899282308494,0.98231493809655,0,0.58938896285793,14,0.625,0.1875,N4 O3,de-protonated,0,-9999,C16 H10 O3 N4,16,10,3,4,-9999,-9999,-9999,N/A,-9999,-9999
